#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x10 - 0x1F
VCVTSH2SS         ; Vdq{K}{z},Hdq,Wsh{sae}      ; n/a     ; evex m:6 p:0 l:i w:0 0x13 /r            ; s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E3, w:W|R|R|R
VFMSUB213SH       ; Vdq{K}{z},Hdq,Wsh{er}       ; n/a     ; evex m:6 p:1 l:i w:0 0xAB /r            ; s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E3, w:RW|R|R|R
VFNMADD213PH      ; Vfv{K}{z},Hfv,Wfv|B16{er}   ; n/a     ; evex m:6 p:1 l:x w:0 0xAC /r            ; s:AVX512FP16, t:AVX512FP16, l:fv, e:E2, w:RW|R|R|R
VFNMADD213SH      ; Vdq{K}{z},Hdq,Wsh{er}       ; n/a     ; evex m:6 p:1 l:i w:0 0xAD /r            ; s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E3, w:RW|R|R|R
VFNMSUB213PH      ; Vfv{K}{z},Hfv,Wfv|B16{er}   ; n/a     ; evex m:6 p:1 l:x w:0 0xAE /r            ; s:AVX512FP16, t:AVX512FP16, l:fv, e:E2, w:RW|R|R|R
VFNMSUB213SH      ; Vdq{K}{z},Hdq,Wsh{er}       ; n/a     ; evex m:6 p:1 l:i w:0 0xAF /r            ; s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E3, w:RW|R|R|R

# 0xB0 - 0xBF
VFMADDSUB231PH    ; Vfv{K}{z},Hfv,Wfv|B16{er}   ; n/a     ; evex m:6 p:1 l:x w:0 0xB6 /r            ; s:AVX512FP16, t:AVX512FP16, l:fv, e:E2, w:RW|R|R|R
VFMSUBADD231PH    ; Vfv{K}{z},Hfv,Wfv|B16{er}   ; n/a     ; evex m:6 p:1 l:x w:0 0xB7 /r            ; s:AVX512FP16, t:AVX512FP16, l:fv, e:E2, w:RW|R|R|R
VFMADD231PH       ; Vfv{K}{z},Hfv,Wfv|B16{er}   ; n/a     ; evex m:6 p:1 l:x w:0 0xB8 /r            ; s:AVX512FP16, t:AVX512FP16, l:fv, e:E2, w:RW|R|R|R
VFMADD231SH       ; Vdq{K}{z},Hdq,Wsh{er}       ; n/a     ; evex m:6 p:1 l:i w:0 0xB9 /r            ; s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E3, w:RW|R|R|R
VFMSUB231PH       ; Vfv{K}{z},Hfv,Wfv|B16{er}   ; n/a     ; evex m:6 p:1 l:x w:0 0xBA /r            ; s:AVX512FP16, t:AVX512FP16, l:fv, e:E2, w:RW|R|R|R
VFMSUB231SH       ; Vdq{K}{z},Hdq,Wsh{er}       ; n/a     ; evex m:6 p:1 l:i w:0 0xBB /r            ; s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E3, w:RW|R|R|R
VFNMADD231PH      ; Vfv{K}{z},Hfv,Wfv|B16{er}   ; n/a     ; evex m:6 p:1 l:x w:0 0xBC /r            ; s:AVX512FP16, t:AVX512FP16, l:fv, e:E2, w:RW|R|R|R
VFNMADD231SH      ; Vdq{K}{z},Hdq,Wsh{er}       ; n/a     ; evex m:6 p:1 l:i w:0 0xBD /r            ; s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E3, w:RW|R|R|R
VFNMSUB231PH      ; Vfv{K}{z},Hfv,Wfv|B16{er}   ; n/a     ; evex m:6 p:1 l:x w:0 0xBE /r            ; s:AVX512FP16, t:AVX512FP16, l:fv, e:E2, w:RW|R|R|R
VFNMSUB231SH      ; Vdq{K}{z},Hdq,Wsh{er}       ; n/a     ; evex m:6 p:1 l:i w:0 0xBF /r            ; s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E3, w:RW|R|R|R

# 0xD0 - 0xD7
VFMULCPH          ; Vfv{K}{z},Hfv,Wfv|B32{er}   ; n/a     ; evex m:6 p:2 l:x w:0 0xD6 /r            ; s:AVX512FP16, t:AVX512FP16, l:fv, e:E4S, w:W|R|R|R
VFCMULCPH         ; Vfv{K}{z},Hfv,Wfv|B32{er}   ; n/a     ; evex m:6 p:3 l:x w:0 0xD6 /r            ; s:AVX512FP16, t:AVX512FP16, l:fv, e:E4S, w:W|R|R|R
VFMULCSH          ; Vdq{K}{z},Hdq,Wd{er}        ; n/a     ; evex m:6 p:2 l:i w:0 0xD7 /r            ; s:AVX512FP16, t:AVX512FP16, l:t1s, e:E10S, w:W|R|R|R
VFCMULCSH         ; Vdq{K}{z},Hdq,Wd{er}        ; n/a     ; evex m:6 p:3 l:i w:0 0xD7 /r            ; s:AVX512FP16, t:AVX512FP16, l:t1s, e:E10S, w:W|R|R|R
