#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x00 - 0x0F
VPSHUFB           ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:i 0x00 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPABSB            ; Vx,Wx               ; n/a             ;  vex m:2 p:1 l:x w:i 0x1C /r          ; s:AVX, t:AVX, w:W|R, e:4
VPABSW            ; Vx,Wx               ; n/a             ;  vex m:2 p:1 l:x w:i 0x1D /r          ; s:AVX, t:AVX, w:W|R, e:4
VPABSD            ; Vx,Wx               ; n/a             ;  vex m:2 p:1 l:x w:i 0x1E /r          ; s:AVX, t:AVX, w:W|R, e:4

# 0x20 - 0x2F
VPMOVSXBW         ; Vdq,Wq              ; n/a             ;  vex m:2 p:1 l:0 w:i 0x20 /r          ; s:AVX, t:AVX, w:W|R, e:5
VPMOVSXBW         ; Vqq,Wdq             ; n/a             ;  vex m:2 p:1 l:1 w:i 0x20 /r          ; s:AVX2, t:AVX2, w:W|R, e:5
VPMOVSXBD         ; Vdq,Wd              ; n/a             ;  vex m:2 p:1 l:0 w:i 0x21 /r          ; s:AVX, t:AVX, w:W|R, e:5
VPMOVSXBD         ; Vqq,Wq              ; n/a             ;  vex m:2 p:1 l:1 w:i 0x21 /r          ; s:AVX2, t:AVX2, w:W|R, e:5
VPMOVSXBQ         ; Vdq,Ww              ; n/a             ;  vex m:2 p:1 l:0 w:i 0x22 /r          ; s:AVX, t:AVX, w:W|R, e:5
VPMOVSXBQ         ; Vqq,Wd              ; n/a             ;  vex m:2 p:1 l:1 w:i 0x22 /r          ; s:AVX2, t:AVX2, w:W|R, e:5
VPMOVSXWD         ; Vdq,Wq              ; n/a             ;  vex m:2 p:1 l:0 w:i 0x23 /r          ; s:AVX, t:AVX, w:W|R, e:5
VPMOVSXWD         ; Vqq,Wdq             ; n/a             ;  vex m:2 p:1 l:1 w:i 0x23 /r          ; s:AVX2, t:AVX2, w:W|R, e:5
VPMOVSXWQ         ; Vdq,Wd              ; n/a             ;  vex m:2 p:1 l:0 w:i 0x24 /r          ; s:AVX, t:AVX, w:W|R, e:5
VPMOVSXWQ         ; Vqq,Wq              ; n/a             ;  vex m:2 p:1 l:1 w:i 0x24 /r          ; s:AVX2, t:AVX2, w:W|R, e:5
VPMOVSXDQ         ; Vdq,Wq              ; n/a             ;  vex m:2 p:1 l:0 w:i 0x25 /r          ; s:AVX, t:AVX, w:W|R, e:5
VPMOVSXDQ         ; Vqq,Wdq             ; n/a             ;  vex m:2 p:1 l:1 w:i 0x25 /r          ; s:AVX2, t:AVX2, w:W|R, e:5
VPMULDQ           ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:i 0x28 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPCMPEQQ          ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:i 0x29 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VMOVNTDQA         ; Vx,Mx               ; n/a             ;  vex m:2 p:1 l:x w:i 0x2A /r:mem      ; s:AVX, t:AVX, w:W|R, e:1
VPACKUSDW         ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:i 0x2B /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VMASKMOVPS        ; Vx,Hx,Mx            ; n/a             ;  vex m:2 p:1 l:x w:0 0x2C /r:mem      ; s:AVX, t:AVX, w:W|R|R, e:6
VMASKMOVPD        ; Vx,Hx,Mx            ; n/a             ;  vex m:2 p:1 l:x w:0 0x2D /r:mem      ; s:AVX, t:AVX, w:W|R|R, e:6
VMASKMOVPS        ; Mx,Hx,Vx            ; n/a             ;  vex m:2 p:1 l:x w:0 0x2E /r:mem      ; s:AVX, t:AVX, w:W|R|R, e:6
VMASKMOVPD        ; Mx,Hx,Vx            ; n/a             ;  vex m:2 p:1 l:x w:0 0x2F /r:mem      ; s:AVX, t:AVX, w:W|R|R, e:6

# 0x30 - 0x3F
VPMOVZXBW         ; Vdq,Wq              ; n/a             ;  vex m:2 p:1 l:0 w:i 0x30 /r          ; s:AVX, t:AVX, w:W|R, e:5
VPMOVZXBW         ; Vqq,Wdq             ; n/a             ;  vex m:2 p:1 l:1 w:i 0x30 /r          ; s:AVX2, t:AVX2, w:W|R, e:5
VPMOVZXBD         ; Vdq,Wd              ; n/a             ;  vex m:2 p:1 l:0 w:i 0x31 /r          ; s:AVX, t:AVX, w:W|R, e:5
VPMOVZXBD         ; Vqq,Wq              ; n/a             ;  vex m:2 p:1 l:1 w:i 0x31 /r          ; s:AVX2, t:AVX2, w:W|R, e:5
VPMOVZXBQ         ; Vdq,Ww              ; n/a             ;  vex m:2 p:1 l:0 w:i 0x32 /r          ; s:AVX, t:AVX, w:W|R, e:5
VPMOVZXBQ         ; Vqq,Wd              ; n/a             ;  vex m:2 p:1 l:1 w:i 0x32 /r          ; s:AVX2, t:AVX2, w:W|R, e:5
VPMOVZXWD         ; Vdq,Wq              ; n/a             ;  vex m:2 p:1 l:0 w:i 0x33 /r          ; s:AVX, t:AVX, w:W|R, e:5
VPMOVZXWD         ; Vqq,Wdq             ; n/a             ;  vex m:2 p:1 l:1 w:i 0x33 /r          ; s:AVX2, t:AVX2, w:W|R, e:5
VPMOVZXWQ         ; Vdq,Wd              ; n/a             ;  vex m:2 p:1 l:0 w:i 0x34 /r          ; s:AVX, t:AVX, w:W|R, e:5
VPMOVZXWQ         ; Vqq,Wq              ; n/a             ;  vex m:2 p:1 l:1 w:i 0x34 /r          ; s:AVX2, t:AVX2, w:W|R, e:5
VPMOVZXDQ         ; Vdq,Wq              ; n/a             ;  vex m:2 p:1 l:0 w:i 0x35 /r          ; s:AVX, t:AVX, w:W|R, e:5
VPMOVZXDQ         ; Vqq,Wdq             ; n/a             ;  vex m:2 p:1 l:1 w:i 0x35 /r          ; s:AVX2, t:AVX2, w:W|R, e:5
VPERMD            ; Vqq,Hqq,Wqq         ; n/a             ;  vex m:2 p:1 l:1 w:0 0x36 /r          ; s:AVX2, t:AVX2, w:W|R|R, e:4
VPCMPGTQ          ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:i 0x37 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPMINSB           ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:i 0x38 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPMINSD           ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:i 0x39 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPMINUW           ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:i 0x3A /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPMINUD           ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:i 0x3B /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPMAXSB           ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:i 0x3C /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPMAXSD           ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:i 0x3D /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPMAXUW           ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:i 0x3E /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPMAXUD           ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:i 0x3F /r          ; s:AVX, t:AVX, w:W|R|R, e:4

# 0x40 - 0x4F
VPMULLD           ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:i 0x40 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPHMINPOSUW       ; Vdq,Wdq             ; n/a             ;  vex m:2 p:1 l:0 w:i 0x41 /r          ; s:AVX, t:AVX, w:W|R, e:4
VPSRLVD           ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:0 0x45 /r          ; s:AVX2, t:AVX2, w:W|R|R, e:4
VPSRLVQ           ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:1 0x45 /r          ; s:AVX2, t:AVX2, w:W|R|R, e:4
VPSRAVD           ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:0 0x46 /r          ; s:AVX2, t:AVX2, w:W|R|R, e:4
VPSLLVD           ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:0 0x47 /r          ; s:AVX2, t:AVX2, w:W|R|R, e:4
VPSLLVQ           ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:1 0x47 /r          ; s:AVX2, t:AVX2, w:W|R|R, e:4

LDTILECFG         ; Moq                 ; n/a             ;  vex m:2 p:0 l:0 w:0 0x49 /0:mem      ; s:AMXTILE, t:AMX, w:R, m:NOTSX|O64, e:AMX_E1
STTILECFG         ; Moq                 ; n/a             ;  vex m:2 p:1 l:0 w:0 0x49 /0:mem      ; s:AMXTILE, t:AMX, w:W, m:NOTSX|O64, e:AMX_E2
TILELOADD         ; rTt,Mt              ; n/a             ;  vex m:2 p:3 l:0 w:0 0x4B /r:mem sibmem ;s:AMXTILE, t:AMX, w:W|R, m:NOTSX|O64, e:AMX_E3
TILESTORED        ; Mt,rTt              ; n/a             ;  vex m:2 p:2 l:0 w:0 0x4B /r:mem sibmem ;s:AMXTILE, t:AMX, w:W|R, m:NOTSX|O64, e:AMX_E3
TILELOADDT1       ; rTt,Mt              ; n/a             ;  vex m:2 p:1 l:0 w:0 0x4B /r:mem sibmem ;s:AMXTILE, t:AMX, w:W|R, m:NOTSX|O64, e:AMX_E3
TILERELEASE       ; n/a                 ; n/a             ;  vex m:2 p:0 l:0 w:0 0x49 /0xC0       ; s:AMXTILE, t:AMX, m:NOTSX|O64, e:AMX_E6
TILEZERO          ; rTt                 ; n/a             ;  vex m:2 p:3 l:0 w:0 0x49 /r:reg rm:0 ; s:AMXTILE, t:AMX, w:W, m:NOTSX|O64, e:AMX_E5

# 0x50 - 0x5F
VPDPBUUD          ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:0 l:x w:0 0x50 /r          ; s:AVXVNNIINT8, t:AVXVNNIINT8, w:RW|R|R, e:4
VPDPBUSD          ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:0 0x50 /r          ; s:AVXVNNI, t:AVXVNNI, w:RW|R|R, e:4
VPDPBSUD          ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:2 l:x w:0 0x50 /r          ; s:AVXVNNIINT8, t:AVXVNNIINT8, w:RW|R|R, e:4
VPDPBSSD          ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:3 l:x w:0 0x50 /r          ; s:AVXVNNIINT8, t:AVXVNNIINT8, w:RW|R|R, e:4
VPDPBUUDS         ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:0 l:x w:0 0x51 /r          ; s:AVXVNNIINT8, t:AVXVNNIINT8, w:RW|R|R, e:4
VPDPBUSDS         ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:0 0x51 /r          ; s:AVXVNNI, t:AVXVNNI, w:RW|R|R, e:4
VPDPBSUDS         ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:2 l:x w:0 0x51 /r          ; s:AVXVNNIINT8, t:AVXVNNIINT8, w:RW|R|R, e:4
VPDPBSSDS         ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:3 l:x w:0 0x51 /r          ; s:AVXVNNIINT8, t:AVXVNNIINT8, w:RW|R|R, e:4
VPDPWSSD          ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:0 0x52 /r          ; s:AVXVNNI, t:AVXVNNI, w:RW|R|R, e:4
VPDPWSSDS         ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:0 0x53 /r          ; s:AVXVNNI, t:AVXVNNI, w:RW|R|R, e:4

VPBROADCASTD      ; Vx,Wd               ; n/a             ;  vex m:2 p:1 l:x w:0 0x58 /r          ; s:AVX2, t:BROADCAST, w:W|R, e:6
VPBROADCASTQ      ; Vx,Wq               ; n/a             ;  vex m:2 p:1 l:x w:0 0x59 /r          ; s:AVX2, t:BROADCAST, w:W|R, e:6
VBROADCASTI128    ; Vqq,Mdq             ; n/a             ;  vex m:2 p:1 l:1 w:0 0x5A /r:mem      ; s:AVX2, t:BROADCAST, w:W|R, e:6

TDPBF16PS         ; rTt,mTt,vTt         ; n/a             ;  vex m:2 p:2 l:0 w:0 0x5C /r:reg      ; s:AMXBF16, t:AMX, w:RW|R|R, m:NOTSX|O64, e:AMX_E4
TDPFP16PS         ; rTt,mTt,vTt         ; n/a             ;  vex m:2 p:3 l:0 w:0 0x5C /r:reg      ; s:AMXFP16, t:AMX, w:RW|R|R, m:NOTSX|O64, e:AMX_E4
TDPBUUD           ; rTt,mTt,vTt         ; n/a             ;  vex m:2 p:0 l:0 w:0 0x5E /r:reg      ; s:AMXINT8, t:AMX, w:RW|R|R, m:NOTSX|O64, e:AMX_E4
TDPBUSD           ; rTt,mTt,vTt         ; n/a             ;  vex m:2 p:1 l:0 w:0 0x5E /r:reg      ; s:AMXINT8, t:AMX, w:RW|R|R, m:NOTSX|O64, e:AMX_E4
TDPBSUD           ; rTt,mTt,vTt         ; n/a             ;  vex m:2 p:2 l:0 w:0 0x5E /r:reg      ; s:AMXINT8, t:AMX, w:RW|R|R, m:NOTSX|O64, e:AMX_E4
TDPBSSD           ; rTt,mTt,vTt         ; n/a             ;  vex m:2 p:3 l:0 w:0 0x5E /r:reg      ; s:AMXINT8, t:AMX, w:RW|R|R, m:NOTSX|O64, e:AMX_E4

# 0x60 - 0x6F
TCMMRLFP16PS      ; rTt,mTt,vTt         ; n/a             ;  vex m:2 p:0 l:0 w:0 0x6C /r:reg      ; s:AMXCOMPLEX, t:AMX, w:RW|R|R, m:NOTSX|O64, e:AMX_E4
TCMMIMFP16PS      ; rTt,mTt,vTt         ; n/a             ;  vex m:2 p:1 l:0 w:0 0x6C /r:reg      ; s:AMXCOMPLEX, t:AMX, w:RW|R|R, m:NOTSX|O64, e:AMX_E4

# 0x70 - 0x7F
VCVTNEPS2BF16     ; Vx,Wx               ; n/a             ;  vex m:2 p:2 l:x w:0 0x72 /r          ; s:AVXNECONVERT, t:AVXNECONVERT, w:W|R, e:4
VPBROADCASTB      ; Vx,Wb               ; n/a             ;  vex m:2 p:1 l:x w:0 0x78 /r          ; s:AVX2, t:BROADCAST, w:W|R, e:6
VPBROADCASTW      ; Vx,Ww               ; n/a             ;  vex m:2 p:1 l:x w:0 0x79 /r          ; s:AVX2, t:BROADCAST, w:W|R, e:6

# 0x80 - 0x8F
VPMASKMOVD        ; Vx,Hx,Mx            ; n/a             ;  vex m:2 p:1 l:x w:0 0x8C /r:mem      ; s:AVX2, t:AVX2, w:W|R|R, e:6
VPMASKMOVQ        ; Vx,Hx,Mx            ; n/a             ;  vex m:2 p:1 l:x w:1 0x8C /r:mem      ; s:AVX2, t:AVX2, w:W|R|R, e:6
VPMASKMOVD        ; Mx,Hx,Vx            ; n/a             ;  vex m:2 p:1 l:x w:0 0x8E /r:mem      ; s:AVX2, t:AVX2, w:W|R|R, e:6
VPMASKMOVQ        ; Mx,Hx,Vx            ; n/a             ;  vex m:2 p:1 l:x w:1 0x8E /r:mem      ; s:AVX2, t:AVX2, w:W|R|R, e:6

# 0x90 - 0x9F
VPGATHERDD        ; Vx,Mvm32n,Hx        ; n/a             ;  vex m:2 p:1 l:x w:0 0x90 /r:mem vsib ; s:AVX2GATHER, t:AVX2GATHER, w:CRW|R|RW, e:12
VPGATHERDQ        ; Vx,Mvm32h,Hx        ; n/a             ;  vex m:2 p:1 l:x w:1 0x90 /r:mem vsib ; s:AVX2GATHER, t:AVX2GATHER, w:CRW|R|RW, e:12
VPGATHERQD        ; Vdq,Mvm64n,Hdq      ; n/a             ;  vex m:2 p:1 l:x w:0 0x91 /r:mem vsib ; s:AVX2GATHER, t:AVX2GATHER, w:CRW|R|RW, e:12
VPGATHERQQ        ; Vx,Mvm64n,Hx        ; n/a             ;  vex m:2 p:1 l:x w:1 0x91 /r:mem vsib ; s:AVX2GATHER, t:AVX2GATHER, w:CRW|R|RW, e:12
VGATHERDPS        ; Vx,Mvm32n,Hx        ; n/a             ;  vex m:2 p:1 l:x w:0 0x92 /r:mem vsib ; s:AVX2GATHER, t:AVX2GATHER, w:CRW|R|RW, e:12
VGATHERDPD        ; Vx,Mvm32h,Hx        ; n/a             ;  vex m:2 p:1 l:x w:1 0x92 /r:mem vsib ; s:AVX2GATHER, t:AVX2GATHER, w:CRW|R|RW, e:12
VGATHERQPS        ; Vdq,Mvm64n,Hdq      ; n/a             ;  vex m:2 p:1 l:x w:0 0x93 /r:mem vsib ; s:AVX2GATHER, t:AVX2GATHER, w:CRW|R|RW, e:12
VGATHERQPD        ; Vx,Mvm64n,Hx        ; n/a             ;  vex m:2 p:1 l:x w:1 0x93 /r:mem vsib ; s:AVX2GATHER, t:AVX2GATHER, w:CRW|R|RW, e:12

VFMADDSUB132PS    ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:0 0x96 /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFMADDSUB132PD    ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:1 0x96 /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFMSUBADD132PS    ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:0 0x97 /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFMSUBADD132PD    ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:1 0x97 /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFMADD132PS       ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:0 0x98 /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFMADD132PD       ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:1 0x98 /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFMADD132SS       ; Vdq,Hdq,Wss         ; n/a             ;  vex m:2 p:1 l:i w:0 0x99 /r          ; s:FMA, t:VFMA, w:RW|R|R, e:3
VFMADD132SD       ; Vdq,Hdq,Wsd         ; n/a             ;  vex m:2 p:1 l:i w:1 0x99 /r          ; s:FMA, t:VFMA, w:RW|R|R, e:3
VFMSUB132PS       ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:0 0x9A /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFMSUB132PD       ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:1 0x9A /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFMSUB132SS       ; Vdq,Hdq,Wss         ; n/a             ;  vex m:2 p:1 l:i w:0 0x9B /r          ; s:FMA, t:VFMA, w:RW|R|R, e:3
VFMSUB132SD       ; Vdq,Hdq,Wsd         ; n/a             ;  vex m:2 p:1 l:i w:1 0x9B /r          ; s:FMA, t:VFMA, w:RW|R|R, e:3
VFNMADD132PS      ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:0 0x9C /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFNMADD132PD      ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:1 0x9C /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFNMADD132SS      ; Vdq,Hdq,Wss         ; n/a             ;  vex m:2 p:1 l:i w:0 0x9D /r          ; s:FMA, t:VFMA, w:RW|R|R, e:3
VFNMADD132SD      ; Vdq,Hdq,Wsd         ; n/a             ;  vex m:2 p:1 l:i w:1 0x9D /r          ; s:FMA, t:VFMA, w:RW|R|R, e:3
VFNMSUB132PS      ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:0 0x9E /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFNMSUB132PD      ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:1 0x9E /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFNMSUB132SS      ; Vdq,Hdq,Wss         ; n/a             ;  vex m:2 p:1 l:i w:0 0x9F /r          ; s:FMA, t:VFMA, w:RW|R|R, e:3
VFNMSUB132SD      ; Vdq,Hdq,Wsd         ; n/a             ;  vex m:2 p:1 l:i w:1 0x9F /r          ; s:FMA, t:VFMA, w:RW|R|R, e:3

# 0xA0 - 0xAF
VFMADDSUB213PS    ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:0 0xA6 /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFMADDSUB213PD    ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:1 0xA6 /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFMSUBADD213PS    ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:0 0xA7 /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFMSUBADD213PD    ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:1 0xA7 /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFMADD213PS       ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:0 0xA8 /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFMADD213PD       ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:1 0xA8 /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFMADD213SS       ; Vdq,Hdq,Wss         ; n/a             ;  vex m:2 p:1 l:i w:0 0xA9 /r          ; s:FMA, t:VFMA, w:RW|R|R, e:3
VFMADD213SD       ; Vdq,Hdq,Wsd         ; n/a             ;  vex m:2 p:1 l:i w:1 0xA9 /r          ; s:FMA, t:VFMA, w:RW|R|R, e:3
VFMSUB213PS       ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:0 0xAA /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFMSUB213PD       ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:1 0xAA /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFMSUB213SS       ; Vdq,Hdq,Wss         ; n/a             ;  vex m:2 p:1 l:i w:0 0xAB /r          ; s:FMA, t:VFMA, w:RW|R|R, e:3
VFMSUB213SD       ; Vdq,Hdq,Wsd         ; n/a             ;  vex m:2 p:1 l:i w:1 0xAB /r          ; s:FMA, t:VFMA, w:RW|R|R, e:3
VFNMADD213PS      ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:0 0xAC /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFNMADD213PD      ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:1 0xAC /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFNMADD213SS      ; Vdq,Hdq,Wss         ; n/a             ;  vex m:2 p:1 l:i w:0 0xAD /r          ; s:FMA, t:VFMA, w:RW|R|R, e:3
VFNMADD213SD      ; Vdq,Hdq,Wsd         ; n/a             ;  vex m:2 p:1 l:i w:1 0xAD /r          ; s:FMA, t:VFMA, w:RW|R|R, e:3
VFNMSUB213PS      ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:0 0xAE /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFNMSUB213PD      ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:1 0xAE /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFNMSUB213SS      ; Vdq,Hdq,Wss         ; n/a             ;  vex m:2 p:1 l:i w:0 0xAF /r          ; s:FMA, t:VFMA, w:RW|R|R, e:3
