#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x00 - 0x0F
ADD          ; Eb,Gb       ; Fv                ;            0x00 /r        ; s:I86, t:ARITH, w:RW|R|W, f:ARITH, p:HLE|LOCK
PUSH         ; SS          ; Kv                ;            0x16           ; s:I86, t:PUSH, w:R|W, m:NO64|NOSGX
POP          ; SS          ; Kv                ;            0x17           ; s:I86, t:POP, w:W|R, m:NO64|NOSGX
SBB          ; Eb,Gb       ; Fv                ;            0x18 /r        ; s:I86, t:ARITH, w:RW|R|RW, f:ARITHC, p:HLE|LOCK
SBB          ; Ev,Gv       ; Fv                ;            0x19 /r        ; s:I86, t:ARITH, w:RW|R|RW, f:ARITHC, p:HLE|LOCK
SBB          ; Gb,Eb       ; Fv                ;            0x1A /r        ; s:I86, t:ARITH, w:RW|R|RW, f:ARITHC
SBB          ; Gv,Ev       ; Fv                ;            0x1B /r        ; s:I86, t:ARITH, w:RW|R|RW, f:ARITHC
SBB          ; AL,Ib       ; Fv                ;            0x1C ib        ; s:I86, t:ARITH, w:RW|R|RW, f:ARITHC
SBB          ; rAX,Iz      ; Fv                ;            0x1D iz        ; s:I86, t:ARITH, w:RW|R|RW, f:ARITHC, a:OP2SEXO1
PUSH         ; DS          ; Kv                ;            0x1E           ; s:I86, t:PUSH, w:R|W, m:NO64|NOSGX
POP          ; DS          ; Kv                ;            0x1F           ; s:I86, t:POP, w:W|R, m:NO64|NOSGX

# 0x20 - 0x2F
AND          ; Eb,Gb       ; Fv                ;            0x20 /r        ; s:I86, t:LOGIC, w:RW|R|W, f:LOGIC, p:HLE|LOCK
AND          ; Ev,Gv       ; Fv                ;            0x21 /r        ; s:I86, t:LOGIC, w:RW|R|W, f:LOGIC, p:HLE|LOCK
AND          ; Gb,Eb       ; Fv                ;            0x22 /r        ; s:I86, t:LOGIC, w:RW|R|W, f:LOGIC
AND          ; Gv,Ev       ; Fv                ;            0x23 /r        ; s:I86, t:LOGIC, w:RW|R|W, f:LOGIC
AND          ; AL,Ib       ; Fv                ;            0x24 ib        ; s:I86, t:LOGIC, w:RW|R|W, f:LOGIC
AND          ; rAX,Iz      ; Fv                ;            0x25 iz        ; s:I86, t:LOGIC, w:RW|R|W, f:LOGIC, a:OP2SEXO1
es           ; n/a         ; n/a               ;            0x26           ; s:UNKNOWN, t:UNKNOWN, a:PREFIX
DAA          ; n/a         ; AL,Fv             ;            0x27           ; s:I86, t:DECIMAL, w:RW|RW, f:DAAS, m:NO64
SUB          ; Eb,Gb       ; Fv                ;            0x28 /r        ; s:I86, t:ARITH, w:RW|R|W, f:ARITH, p:HLE|LOCK
SUB          ; Ev,Gv       ; Fv                ;            0x29 /r        ; s:I86, t:ARITH, w:RW|R|W, f:ARITH, p:HLE|LOCK
SUB          ; Gb,Eb       ; Fv                ;            0x2A /r        ; s:I86, t:ARITH, w:RW|R|W, f:ARITH
SUB          ; Gv,Ev       ; Fv                ;            0x2B /r        ; s:I86, t:ARITH, w:RW|R|W, f:ARITH
SUB          ; AL,Ib       ; Fv                ;            0x2C ib        ; s:I86, t:ARITH, w:RW|R|W, f:ARITH
SUB          ; rAX,Iz      ; Fv                ;            0x2D iz        ; s:I86, t:ARITH, w:RW|R|W, f:ARITH, a:OP2SEXO1
cs           ; n/a         ; n/a               ;            0x2E           ; s:UNKNOWN, t:UNKNOWN, a:PREFIX
BHNT         ; n/a         ; n/a               ;            0x2E           ; s:UNKNOWN, t:UNKNOWN, a:PREFIX
DAS          ; n/a         ; AL,Fv             ;            0x2F           ; s:I86, t:DECIMAL, w:RW|RW, f:DAAS|SF=m, m:NO64

# 0x30 - 0x3F
XOR          ; Eb,Gb       ; Fv                ;            0x30 /r        ; s:I86, t:LOGIC, w:RW|R|W, f:LOGIC, p:HLE|LOCK
XOR          ; Ev,Gv       ; Fv                ;            0x31 /r        ; s:I86, t:LOGIC, w:RW|R|W, f:LOGIC, p:HLE|LOCK
XOR          ; Gb,Eb       ; Fv                ;            0x32 /r        ; s:I86, t:LOGIC, w:RW|R|W, f:LOGIC
XOR          ; Gv,Ev       ; Fv                ;            0x33 /r        ; s:I86, t:LOGIC, w:RW|R|W, f:LOGIC
XOR          ; AL,Ib       ; Fv                ;            0x34 ib        ; s:I86, t:LOGIC, w:RW|R|W, f:LOGIC
XOR          ; rAX,Iz      ; Fv                ;            0x35 iz        ; s:I86, t:LOGIC, w:RW|R|W, f:LOGIC, a:OP2SEXO1
ss           ; n/a         ; n/a               ;            0x36           ; s:UNKNOWN, t:UNKNOWN, a:PREFIX
AAA          ; n/a         ; AH,AL,Fv          ;            0x37           ; s:I86, t:DECIMAL, w:RW|RW|RW, f:AAAS, m:NO64
CMP          ; Eb,Gb       ; Fv                ;            0x38 /r        ; s:I86, t:ARITH, w:R|R|W, f:ARITH
CMP          ; Ev,Gv       ; Fv                ;            0x39 /r        ; s:I86, t:ARITH, w:R|R|W, f:ARITH
CMP          ; Gb,Eb       ; Fv                ;            0x3A /r        ; s:I86, t:ARITH, w:R|R|W, f:ARITH
CMP          ; Gv,Ev       ; Fv                ;            0x3B /r        ; s:I86, t:ARITH, w:R|R|W, f:ARITH
CMP          ; AL,Ib       ; Fv                ;            0x3C ib        ; s:I86, t:ARITH, w:R|R|W, f:ARITH
CMP          ; rAX,Iz      ; Fv                ;            0x3D iz        ; s:I86, t:ARITH, w:R|R|W, f:ARITH, a:OP2SEXO1
ds           ; n/a         ; n/a               ;            0x3E           ; s:UNKNOWN, t:UNKNOWN, a:PREFIX
BHT          ; n/a         ; n/a               ;            0x3E           ; s:UNKNOWN, t:UNKNOWN, a:PREFIX
AAS          ; n/a         ; AH,AL,Fv          ;            0x3F           ; s:I86, t:DECIMAL, w:RW|RW|RW, f:AAAS, m:NO64

# 0x40 - 0x4F
INC          ; Zv          ; Fv                ;            0x40           ; s:I86, t:ARITH, w:RW|W, f:INCDEC, m:NO64
INC          ; Zv          ; Fv                ;            0x41           ; s:I86, t:ARITH, w:RW|W, f:INCDEC, m:NO64
INC          ; Zv          ; Fv                ;            0x42           ; s:I86, t:ARITH, w:RW|W, f:INCDEC, m:NO64
INC          ; Zv          ; Fv                ;            0x43           ; s:I86, t:ARITH, w:RW|W, f:INCDEC, m:NO64
INC          ; Zv          ; Fv                ;            0x44           ; s:I86, t:ARITH, w:RW|W, f:INCDEC, m:NO64
INC          ; Zv          ; Fv                ;            0x45           ; s:I86, t:ARITH, w:RW|W, f:INCDEC, m:NO64
INC          ; Zv          ; Fv                ;            0x46           ; s:I86, t:ARITH, w:RW|W, f:INCDEC, m:NO64
INC          ; Zv          ; Fv                ;            0x47           ; s:I86, t:ARITH, w:RW|W, f:INCDEC, m:NO64
DEC          ; Zv          ; Fv                ;            0x48           ; s:I86, t:ARITH, w:RW|W, f:INCDEC, m:NO64
DEC          ; Zv          ; Fv                ;            0x49           ; s:I86, t:ARITH, w:RW|W, f:INCDEC, m:NO64
DEC          ; Zv          ; Fv                ;            0x4A           ; s:I86, t:ARITH, w:RW|W, f:INCDEC, m:NO64
DEC          ; Zv          ; Fv                ;            0x4B           ; s:I86, t:ARITH, w:RW|W, f:INCDEC, m:NO64
DEC          ; Zv          ; Fv                ;            0x4C           ; s:I86, t:ARITH, w:RW|W, f:INCDEC, m:NO64
DEC          ; Zv          ; Fv                ;            0x4D           ; s:I86, t:ARITH, w:RW|W, f:INCDEC, m:NO64
DEC          ; Zv          ; Fv                ;            0x4E           ; s:I86, t:ARITH, w:RW|W, f:INCDEC, m:NO64
DEC          ; Zv          ; Fv                ;            0x4F           ; s:I86, t:ARITH, w:RW|W, f:INCDEC, m:NO64

# 0x50 - 0x5F
PUSH         ; Zv          ; Kv                ;            0x50           ; s:I86, t:PUSH, w:R|W, a:D64  
PUSH         ; Zv          ; Kv                ;            0x51           ; s:I86, t:PUSH, w:R|W, a:D64 
PUSH         ; Zv          ; Kv                ;            0x52           ; s:I86, t:PUSH, w:R|W, a:D64 
PUSH         ; Zv          ; Kv                ;            0x53           ; s:I86, t:PUSH, w:R|W, a:D64 
PUSH         ; Zv          ; Kv                ;            0x54           ; s:I86, t:PUSH, w:R|W, a:D64 
PUSH         ; Zv          ; Kv                ;            0x55           ; s:I86, t:PUSH, w:R|W, a:D64 
PUSH         ; Zv          ; Kv                ;            0x56           ; s:I86, t:PUSH, w:R|W, a:D64 
PUSH         ; Zv          ; Kv                ;            0x57           ; s:I86, t:PUSH, w:R|W, a:D64 
POP          ; Zv          ; Kv                ;            0x58           ; s:I86, t:POP,  w:W|R, a:D64 
POP          ; Zv          ; Kv                ;            0x59           ; s:I86, t:POP,  w:W|R, a:D64 
POP          ; Zv          ; Kv                ;            0x5A           ; s:I86, t:POP,  w:W|R, a:D64 
POP          ; Zv          ; Kv                ;            0x5B           ; s:I86, t:POP,  w:W|R, a:D64 
POP          ; Zv          ; Kv                ;            0x5C           ; s:I86, t:POP,  w:W|R, a:D64 
POP          ; Zv          ; Kv                ;            0x5D           ; s:I86, t:POP,  w:W|R, a:D64 
POP          ; Zv          ; Kv                ;            0x5E           ; s:I86, t:POP,  w:W|R, a:D64 
POP          ; Zv          ; Kv                ;            0x5F           ; s:I86, t:POP,  w:W|R, a:D64 

# 0x60 - 0x6F
PUSHA        ; n/a         ; BANK,Kv8          ;       ds16 0x60           ; s:I386, t:PUSH, w:R|W, m:NO64
PUSHAD       ; n/a         ; BANK,Kv8          ;       ds32 0x60           ; s:I386, t:PUSH, w:R|W, m:NO64
POPA         ; n/a         ; BANK,Kv8          ;       ds16 0x61           ; s:I386, t:POP, w:W|R, m:NO64
POPAD        ; n/a         ; BANK,Kv8          ;       ds32 0x61           ; s:I386, t:POP, w:W|R, m:NO64
BOUND        ; Gv,Ma       ; n/a               ;            0x62 /r:mem    ; s:I186, t:INTERRUPT, w:R|R, m:NO64
ARPL         ; Ew,Gw       ; Fv                ;            0x63 /r        ; s:I286PROT, t:SYSTEM, w:RW|R|W, f:ZF=m, m:NOREAL|NO64
MOVSXD       ; Gv,Ez       ; n/a               ;        o64 0x63 /r        ; s:LONGMODE, t:DATAXFER, w:W|R, m:O64
fs           ; n/a         ; n/a               ;            0x64           ; s:UNKNOWN, t:UNKNOWN, a:PREFIX
BHALT        ; n/a         ; n/a               ;            0x64           ; s:UNKNOWN, t:UNKNOWN, a:PREFIX
gs           ; n/a         ; n/a               ;            0x65           ; s:UNKNOWN, t:UNKNOWN, a:PREFIX
size         ; n/a         ; n/a               ;            0x66           ; s:UNKNOWN, t:UNKNOWN, a:PREFIX
addr         ; n/a         ; n/a               ;            0x67           ; s:UNKNOWN, t:UNKNOWN, a:PREFIX
PUSH         ; Iz          ; Kv                ;            0x68 iz        ; s:I86, t:PUSH, w:R|W, a:D64|OP1SEXDW
IMUL         ; Gv,Ev,Iz    ; Fv                ;            0x69 /r iz     ; s:I86, t:ARITH, w:W|R|R|W, f:MUL, a:OP3SEXO1
PUSH         ; Ib          ; Kv                ;            0x6A ib        ; s:I86, t:PUSH, w:R|W, a:D64|OP1SEXDW
IMUL         ; Gv,Ev,Ib    ; Fv                ;            0x6B /r ib     ; s:I86, t:ARITH, w:W|R|R|W, f:MUL, a:OP3SEXO1
INSB         ; Yb,DX       ; aDI,Fv            ;            0x6C           ; s:I86, t:IOSTRINGOP, c:INS,  w:W|R|RW|R, f:IOS, a:OP1DEF|OP2DEF, p:REP, m:NOSGX
INSB         ; Yb,DX       ; aCX,aDI,Fv        ;        rep 0x6C           ; s:I86, t:IOSTRINGOP, c:INS,  w:CW|R|RCW|RCW|R, f:IOS, a:OP1DEF|OP2DEF, p:REP, m:NOSGX
INSW         ; Yz,DX       ; aDI,Fv            ;       ds16 0x6D           ; s:I86, t:IOSTRINGOP, c:INS,  w:W|R|RW|R, f:IOS, a:OP1DEF|OP2DEF, p:REP, m:NOSGX
INSW         ; Yz,DX       ; aCX,aDI,Fv        ;   rep ds16 0x6D           ; s:I86, t:IOSTRINGOP, c:INS,  w:CW|R|RCW|RCW|R, f:IOS, a:OP1DEF|OP2DEF, p:REP, m:NOSGX
INSD         ; Yz,DX       ; aDI,Fv            ;            0x6D           ; s:I86, t:IOSTRINGOP, c:INS,  w:W|R|RW|R, f:IOS, a:OP1DEF|OP2DEF, p:REP, m:NOSGX
INSD         ; Yz,DX       ; aCX,aDI,Fv        ;        rep 0x6D           ; s:I86, t:IOSTRINGOP, c:INS,  w:CW|R|RCW|RCW|R, f:IOS, a:OP1DEF|OP2DEF, p:REP, m:NOSGX
OUTSB        ; DX,Xb       ; aSI,Fv            ;            0x6E           ; s:I86, t:IOSTRINGOP, c:OUTS, w:R|R|RW|R, f:IOS, a:OP1DEF|OP2DEF|SERIAL, p:REP, m:NOSGX
OUTSB        ; DX,Xb       ; aCX,aSI,Fv        ;        rep 0x6E           ; s:I86, t:IOSTRINGOP, c:OUTS, w:R|CR|RCW|RCW|R, f:IOS, a:OP1DEF|OP2DEF|SERIAL, p:REP, m:NOSGX
OUTSW        ; DX,Xz       ; aSI,Fv            ;       ds16 0x6F           ; s:I86, t:IOSTRINGOP, c:OUTS, w:R|R|RW|R, f:IOS, a:OP1DEF|OP2DEF|SERIAL, p:REP, m:NOSGX
OUTSW        ; DX,Xz       ; aCX,aSI,Fv        ;   rep ds16 0x6F           ; s:I86, t:IOSTRINGOP, c:OUTS, w:R|CR|RCW|RCW|R, f:IOS, a:OP1DEF|OP2DEF|SERIAL, p:REP, m:NOSGX
OUTSD        ; DX,Xz       ; aSI,Fv            ;            0x6F           ; s:I86, t:IOSTRINGOP, c:OUTS, w:R|R|RW|R, f:IOS, a:OP1DEF|OP2DEF|SERIAL, p:REP, m:NOSGX
OUTSD        ; DX,Xz       ; aCX,aSI,Fv        ;        rep 0x6F           ; s:I86, t:IOSTRINGOP, c:OUTS, w:R|CR|RCW|RCW|R, f:IOS, a:OP1DEF|OP2DEF|SERIAL, p:REP, m:NOSGX

# 0x70 - 0x7F
JO           ; Jb          ; rIP,Fv            ;            0x70 cb        ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CO,   a:F64|COND, p:BND|BH
JNO          ; Jb          ; rIP,Fv            ;            0x71 cb        ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CNO,  a:F64|COND, p:BND|BH
JC           ; Jb          ; rIP,Fv            ;            0x72 cb        ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CC,   a:F64|COND, p:BND|BH
JNC          ; Jb          ; rIP,Fv            ;            0x73 cb        ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CNC,  a:F64|COND, p:BND|BH
JZ           ; Jb          ; rIP,Fv            ;            0x74 cb        ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CZ,   a:F64|COND, p:BND|BH
JNZ          ; Jb          ; rIP,Fv            ;            0x75 cb        ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CNZ,  a:F64|COND, p:BND|BH
JBE          ; Jb          ; rIP,Fv            ;            0x76 cb        ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CBE,  a:F64|COND, p:BND|BH
JNBE         ; Jb          ; rIP,Fv            ;            0x77 cb        ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CNBE, a:F64|COND, p:BND|BH
JS           ; Jb          ; rIP,Fv            ;            0x78 cb        ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CS,   a:F64|COND, p:BND|BH
JNS          ; Jb          ; rIP,Fv            ;            0x79 cb        ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CNS,  a:F64|COND, p:BND|BH
JP           ; Jb          ; rIP,Fv            ;            0x7A cb        ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CP,   a:F64|COND, p:BND|BH
JNP          ; Jb          ; rIP,Fv            ;            0x7B cb        ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CNP,  a:F64|COND, p:BND|BH
JL           ; Jb          ; rIP,Fv            ;            0x7C cb        ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CL,   a:F64|COND, p:BND|BH
JNL          ; Jb          ; rIP,Fv            ;            0x7D cb        ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CNL,  a:F64|COND, p:BND|BH
JLE          ; Jb          ; rIP,Fv            ;            0x7E cb        ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CLE,  a:F64|COND, p:BND|BH
JNLE         ; Jb          ; rIP,Fv            ;            0x7F cb        ; s:I86, t:COND_BR, c:Jcc, w:R|CRCW|R, f:CNLE, a:F64|COND, p:BND|BH

# 0x80 - 0x8F
ADD          ; Eb,Ib       ; Fv                ;            0x80 /0 ib     ; s:I86, t:ARITH, w:RW|R|W,  f:ARITH,  p:HLE|LOCK
OR           ; Eb,Ib       ; Fv                ;            0x80 /1 ib     ; s:I86, t:LOGIC, w:RW|R|W,  f:LOGIC,  p:HLE|LOCK
ADC          ; Eb,Ib       ; Fv                ;            0x80 /2 ib     ; s:I86, t:ARITH, w:RW|R|RW, f:ARITHC, p:HLE|LOCK
SBB          ; Eb,Ib       ; Fv                ;            0x80 /3 ib     ; s:I86, t:ARITH, w:RW|R|RW, f:ARITHC, p:HLE|LOCK
AND          ; Eb,Ib       ; Fv                ;            0x80 /4 ib     ; s:I86, t:LOGIC, w:RW|R|W,  f:LOGIC,  p:HLE|LOCK
SUB          ; Eb,Ib       ; Fv                ;            0x80 /5 ib     ; s:I86, t:ARITH, w:RW|R|W,  f:ARITH,  p:HLE|LOCK
XOR          ; Eb,Ib       ; Fv                ;            0x80 /6 ib     ; s:I86, t:LOGIC, w:RW|R|W,  f:LOGIC,  p:HLE|LOCK
CMP          ; Eb,Ib       ; Fv                ;            0x80 /7 ib     ; s:I86, t:ARITH, w:R|R|W,   f:ARITH

ADD          ; Ev,Iz       ; Fv                ;            0x81 /0 iz     ; s:I86, t:ARITH, w:RW|R|W,  f:ARITH,  a:OP2SEXO1, p:HLE|LOCK
OR           ; Ev,Iz       ; Fv                ;            0x81 /1 iz     ; s:I86, t:LOGIC, w:RW|R|W,  f:LOGIC,  a:OP2SEXO1, p:HLE|LOCK
ADC          ; Ev,Iz       ; Fv                ;            0x81 /2 iz     ; s:I86, t:ARITH, w:RW|R|RW, f:ARITHC, a:OP2SEXO1, p:HLE|LOCK
SBB          ; Ev,Iz       ; Fv                ;            0x81 /3 iz     ; s:I86, t:ARITH, w:RW|R|RW, f:ARITHC, a:OP2SEXO1, p:HLE|LOCK
AND          ; Ev,Iz       ; Fv                ;            0x81 /4 iz     ; s:I86, t:LOGIC, w:RW|R|W,  f:LOGIC,  a:OP2SEXO1, p:HLE|LOCK
SUB          ; Ev,Iz       ; Fv                ;            0x81 /5 iz     ; s:I86, t:ARITH, w:RW|R|W,  f:ARITH,  a:OP2SEXO1, p:HLE|LOCK
XOR          ; Ev,Iz       ; Fv                ;            0x81 /6 iz     ; s:I86, t:LOGIC, w:RW|R|W,  f:LOGIC,  a:OP2SEXO1, p:HLE|LOCK
CMP          ; Ev,Iz       ; Fv                ;            0x81 /7 iz     ; s:I86, t:ARITH, w:R|R|W,   f:ARITH,  a:OP2SEXO1

ADD          ; Eb,Ib       ; Fv                ;            0x82 /0 iz     ; s:I86, t:ARITH, w:RW|R|W,  f:ARITH,  a:OP2SEXO1, m:NO64, p:HLE|LOCK
OR           ; Eb,Ib       ; Fv                ;            0x82 /1 iz     ; s:I86, t:LOGIC, w:RW|R|W,  f:LOGIC,  a:OP2SEXO1, m:NO64, p:HLE|LOCK
ADC          ; Eb,Ib       ; Fv                ;            0x82 /2 iz     ; s:I86, t:ARITH, w:RW|R|RW, f:ARITHC, a:OP2SEXO1, m:NO64, p:HLE|LOCK
SBB          ; Eb,Ib       ; Fv                ;            0x82 /3 iz     ; s:I86, t:ARITH, w:RW|R|RW, f:ARITHC, a:OP2SEXO1, m:NO64, p:HLE|LOCK
AND          ; Eb,Ib       ; Fv                ;            0x82 /4 iz     ; s:I86, t:LOGIC, w:RW|R|W,  f:LOGIC,  a:OP2SEXO1, m:NO64, p:HLE|LOCK
SUB          ; Eb,Ib       ; Fv                ;            0x82 /5 iz     ; s:I86, t:ARITH, w:RW|R|W,  f:ARITH,  a:OP2SEXO1, m:NO64, p:HLE|LOCK
XOR          ; Eb,Ib       ; Fv                ;            0x82 /6 iz     ; s:I86, t:LOGIC, w:RW|R|W,  f:LOGIC,  a:OP2SEXO1, m:NO64, p:HLE|LOCK
CMP          ; Eb,Ib       ; Fv                ;            0x82 /7 iz     ; s:I86, t:ARITH, w:R|R|W,   f:ARITH,  a:OP2SEXO1, m:NO64

ADD          ; Ev,Ib       ; Fv                ;            0x83 /0 ib     ; s:I86, t:ARITH, w:RW|R|W,  f:ARITH,  a:OP2SEXO1, p:HLE|LOCK
OR           ; Ev,Ib       ; Fv                ;            0x83 /1 ib     ; s:I86, t:LOGIC, w:RW|R|W,  f:LOGIC,  a:OP2SEXO1, p:HLE|LOCK
ADC          ; Ev,Ib       ; Fv                ;            0x83 /2 ib     ; s:I86, t:ARITH, w:RW|R|RW, f:ARITHC, a:OP2SEXO1, p:HLE|LOCK
SBB          ; Ev,Ib       ; Fv                ;            0x83 /3 ib     ; s:I86, t:ARITH, w:RW|R|RW, f:ARITHC, a:OP2SEXO1, p:HLE|LOCK
AND          ; Ev,Ib       ; Fv                ;            0x83 /4 ib     ; s:I86, t:LOGIC, w:RW|R|W,  f:LOGIC,  a:OP2SEXO1, p:HLE|LOCK
SUB          ; Ev,Ib       ; Fv                ;            0x83 /5 ib     ; s:I86, t:ARITH, w:RW|R|W,  f:ARITH,  a:OP2SEXO1, p:HLE|LOCK
XOR          ; Ev,Ib       ; Fv                ;            0x83 /6 ib     ; s:I86, t:LOGIC, w:RW|R|W,  f:LOGIC,  a:OP2SEXO1, p:HLE|LOCK
CMP          ; Ev,Ib       ; Fv                ;            0x83 /7 ib     ; s:I86, t:ARITH, w:R|R|W,   f:ARITH,  a:OP2SEXO1

TEST         ; Eb,Gb       ; Fv                ;            0x84 /r        ; s:I86, t:LOGIC, w:R|R|W, f:LOGIC
TEST         ; Ev,Gv       ; Fv                ;            0x85 /r        ; s:I86, t:LOGIC, w:R|R|W, f:LOGIC
XCHG         ; Eb,Gb       ; n/a               ;            0x86 /r        ; s:I86, t:DATAXFER, w:RW|RW, p:HLE|LOCK|HLEWOL
XCHG         ; Ev,Gv       ; n/a               ;            0x87 /r        ; s:I86, t:DATAXFER, w:RW|RW, p:HLE|LOCK|HLEWOL
MOV          ; Eb,Gb       ; n/a               ;            0x88 /r        ; s:I86, t:DATAXFER, w:W|R, p:XRELEASE|HLEWOL
MOV          ; Ev,Gv       ; n/a               ;            0x89 /r        ; s:I86, t:DATAXFER, w:W|R, p:XRELEASE|HLEWOL
MOV          ; Gb,Eb       ; n/a               ;            0x8A /r        ; s:I86, t:DATAXFER, w:W|R
MOV          ; Gv,Ev       ; n/a               ;            0x8B /r        ; s:I86, t:DATAXFER, w:W|R
MOV          ; Mw,Sw       ; n/a               ;            0x8C /r:mem    ; s:I86, t:DATAXFER, w:W|R
MOV          ; Rv,Sw       ; n/a               ;            0x8C /r:reg    ; s:I86, t:DATAXFER, w:W|R
LEA          ; Gv,M0       ; n/a               ;            0x8D /r:mem    ; s:I86, t:MISC, w:W|N, a:AG
MOV          ; Sw,Mw       ; n/a               ;            0x8E /r:mem    ; s:I86, t:DATAXFER, w:W|R
MOV          ; Sw,Rv       ; n/a               ;            0x8E /r:reg    ; s:I86, t:DATAXFER, w:W|R
POP          ; Ev          ; Kv                ;            0x8F /0        ; s:I86, t:POP, w:W|R, a:D64

# 0x90 - 0x9F
NOP          ; n/a         ; n/a               ;            0x90           ; s:I86, t:NOP
PAUSE        ; n/a         ; n/a               ;      a0xF3 0x90           ; s:PAUSE, t:MISC, m:NOTSX
XCHG         ; Zv,rAX      ; n/a               ;       rexb 0x90           ; s:I86, t:DATAXFER, w:RW|RW
XCHG         ; Zv,rAX      ; n/a               ;            0x91           ; s:I86, t:DATAXFER, w:RW|RW
XCHG         ; Zv,rAX      ; n/a               ;            0x92           ; s:I86, t:DATAXFER, w:RW|RW
XCHG         ; Zv,rAX      ; n/a               ;            0x93           ; s:I86, t:DATAXFER, w:RW|RW
XCHG         ; Zv,rAX      ; n/a               ;            0x94           ; s:I86, t:DATAXFER, w:RW|RW
XCHG         ; Zv,rAX      ; n/a               ;            0x95           ; s:I86, t:DATAXFER, w:RW|RW
XCHG         ; Zv,rAX      ; n/a               ;            0x96           ; s:I86, t:DATAXFER, w:RW|RW
XCHG         ; Zv,rAX      ; n/a               ;            0x97           ; s:I86, t:DATAXFER, w:RW|RW
CBW          ; n/a         ; AX,AL             ;       ds16 0x98           ; s:I386, t:CONVERT, w:W|R
