#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x00 - 0x0F
SLDT         ; Mw          ; LDTR                    ;            0x0F 0x00 /0:mem        ; s:I286PROT, t:SYSTEM, w:W|R, m:NOREAL|NOSGX
MWAIT        ;             ; EAX,ECX                 ;         NP 0x0F 0x01 /0xC9         ; s:SSE3, t:MISC, w:RW|R, i:MONITOR, m:KERNEL|NOV86
CLAC         ;             ; Fv                      ;         NP 0x0F 0x01 /0xCA         ; s:SMAP, t:SMAP, w:W, f:AC=0, m:KERNEL|NOV86
ERETU        ;             ; CS,rIP,Fv,SS,rSP,Kv5,SSP,GSBASE,KGSBASE ;0xF3 0x0F 0x01 /0xCA; s:FRED, t:RET, w:W|W|W|W|W|R|CRCW|RW|RW, m:KERNEL|O64|NOTSX, a:F64
ERETS        ;             ; rIP,Fv,rSP,Kv5,SSP      ;       0xF2 0x0F 0x01 /0xCA         ; s:FRED, t:RET, w:W|W|W|R|CRCW, m:KERNEL|O64|NOTSX, a:F64
STAC         ;             ; Fv                      ;         NP 0x0F 0x01 /0xCB         ; s:SMAP, t:SMAP, w:W, f:AC=1, m:KERNEL|NOV86
TDCALL       ;             ;                         ;       0x66 0x0F 0x01 /0xCC         ; s:TDX, t:TDX, m:KERNEL|VMXNROOT
SEAMRET      ;             ;                         ;       0x66 0x0F 0x01 /0xCD         ; s:TDX, t:TDX, f:VMX, m:SEAMR
SEAMOPS      ;             ; RAX,RCX,RDX,R8,R9       ;       0x66 0x0F 0x01 /0xCE         ; s:TDX, t:TDX, w:RW|R|R|R|R, m:SEAMR
SEAMCALL     ;             ; RAX                     ;       0x66 0x0F 0x01 /0xCF         ; s:TDX, t:TDX, w:R, f:VMX, m:SEAMN
ENCLS        ;             ; EAX,RBX,RCX,RDX         ;         NP 0x0F 0x01 /0xCF         ; s:SGX, t:SGX, w:R|CRW|CRW|CRW, m:KERNEL|NOSMM|NOTSX
XGETBV       ;             ; ECX,EDX,EAX,XCR         ;         NP 0x0F 0x01 /0xD0         ; s:XSAVE, t:XSAVE, w:R|W|W|R
XSETBV       ;             ; ECX,EDX,EAX,XCR         ;         NP 0x0F 0x01 /0xD1         ; s:XSAVE, t:XSAVE, w:R|R|R|W, m:KERNEL
VMFUNC       ;             ;                         ;         NP 0x0F 0x01 /0xD4         ; s:VTX, t:VTX, m:VMX|NOSGX
XEND         ;             ; yIP                     ;         NP 0x0F 0x01 /0xD5         ; s:TSX, t:COND_BR, w:CW, i:RTM
XTEST        ;             ; Fv                      ;         NP 0x0F 0x01 /0xD6         ; s:TSX, t:LOGIC, w:W, i:RTM, f:CF=0|PF=0|AF=0|ZF=m|SF=0|OF=0
ENCLU        ;             ; EAX,RBX,RCX,RDX         ;         NP 0x0F 0x01 /0xD7         ; s:SGX, t:SGX, w:R|CRW|CRW|CRW, m:USER|NOSMM|NOTSX
VMRUN        ;             ; rAX                     ;            0x0F 0x01 /0xD8         ; s:SVM, t:SYSTEM, w:R, m:VMXROOT
VMMCALL      ;             ;                         ;         NP 0x0F 0x01 /0xD9         ; s:SVM, t:SYSTEM, m:VMX
VMMCALL      ;             ;                         ;       0x66 0x0F 0x01 /0xD9         ; s:SVM, t:SYSTEM, m:VMX
VMGEXIT      ;             ;                         ;       0xF3 0x0F 0x01 /0xD9         ; s:SVM, t:SYSTEM, m:VMX
VMGEXIT      ;             ;                         ;       0xF2 0x0F 0x01 /0xD9         ; s:SVM, t:SYSTEM, m:VMX
VMLOAD       ;             ; rAX                     ;            0x0F 0x01 /0xDA         ; s:SVM, t:SYSTEM, w:R, m:VMXROOT
VMSAVE       ;             ;                         ;            0x0F 0x01 /0xDB         ; s:SVM, t:SYSTEM, m:VMXROOT
STGI         ;             ;                         ;            0x0F 0x01 /0xDC         ; s:SVM, t:SYSTEM, m:VMXROOT
CLGI         ;             ;                         ;            0x0F 0x01 /0xDD         ; s:SVM, t:SYSTEM, m:VMXROOT
SKINIT       ;             ; EAX                     ;            0x0F 0x01 /0xDE         ; s:SVM, t:SYSTEM, w:R, m:VMXROOT
INVLPGA      ;             ; rAX,ECX                 ;            0x0F 0x01 /0xDF         ; s:SVM, t:SYSTEM, w:R|R, m:VMXROOT
SERIALIZE    ;             ;                         ;         NP 0x0F 0x01 /0xE8         ; s:SERIALIZE, t:MISC, a:SERIAL
SETSSBSY     ;             ; SHS0,SSP                ;       0xF3 0x0F 0x01 /0xE8         ; s:CET_SS, t:CET, a:SHS, w:RW|RW
XSUSLDTRK    ;             ;                         ;       0xF2 0x0F 0x01 /0xE8         ; s:TSXLDTRK, t:MISC
XRESLDTRK    ;             ;                         ;       0xF2 0x0F 0x01 /0xE9         ; s:TSXLDTRK, t:MISC
SAVEPREVSSP  ;             ; SHSS,SSP                ;       0xF3 0x0F 0x01 /0xEA         ; s:CET_SS, t:CET, w:RW|R, f:CF=t
UIRET        ;             ; rIP,Fv,sSP,UIF,Kv3,SHS1 ;       0xF3 0x0F 0x01 /0xEC         ; s:UINTR, t:RET, a:F64, w:W|W|W|W|R|R, m:O64|NOTSX|NOSGX
TESTUI       ;             ; UIF,Fv                  ;       0xF3 0x0F 0x01 /0xED         ; s:UINTR, t:UINTR, w:R|W, f:UINTR, m:O64|NOSGX
RDPKRU       ;             ; EDX,EAX,ECX,PKRU        ;         NP 0x0F 0x01 /0xEE         ; s:PKU, t:MISC, w:W|W|R|R
CLUI         ;             ; UIF                     ;       0xF3 0x0F 0x01 /0xEE         ; s:UINTR, t:UINTR, w:W, m:O64|NOTSX|NOSGX
WRPKRU       ;             ; EDX,EAX,ECX,PKRU        ;         NP 0x0F 0x01 /0xEF         ; s:PKU, t:MISC, w:R|R|R|W
STUI         ;             ; UIF                     ;       0xF3 0x0F 0x01 /0xEF         ; s:UINTR, t:UINTR, w:W, m:O64|NOTSX|NOSGX
SWAPGS       ;             ; GSBASE,KGSBASE          ;            0x0F 0x01 /0xF8         ; s:LONGMODE, t:SYSTEM, w:RW|RW, m:KERNEL|O64
RDTSCP       ;             ; EAX,EDX,ECX,TSC,TSCAUX  ;            0x0F 0x01 /0xF9         ; s:RDTSCP, t:SYSTEM, w:W|W|W|R|R
MONITORX     ;             ; pAXb,ECX,EDX            ;         NP 0x0F 0x01 /0xFA         ; s:MWAITT, t:SYSTEM, w:R|R|R, m:KERNEL|NOV86
MCOMMIT      ;             ; Fv                      ;       0xF3 0x0F 0x01 /0xFA         ; s:MCOMMIT, t:MISC, w:W, f:CF=m|PF=0|AF=0|ZF=0|SF=0|OF=0
MWAITX       ;             ; EAX,ECX,EBX             ;         NP 0x0F 0x01 /0xFB         ; s:MWAITT, t:SYSTEM, w:R|R|R, m:KERNEL|NOV86
CLZERO       ;             ; rAX                     ;            0x0F 0x01 /0xFC         ; s:CLZERO, t:MISC, w:R
RDPRU        ;             ; EAX,EDX,ECX,Fv          ;         NP 0x0F 0x01 /0xFD         ; s:RDPRU, t:MISC, w:W|W|R|W, f:CF=m|PF=0|AF=0|ZF=0|SF=0|OF=0
RMPQUERY     ;             ; pAXb,EAX,RCX,RDX,Fv     ;       0xF3 0x0F 0x01 /0xFD         ; s:SNP, t:SYSTEM, w:R|RW|W|RW|W, f:OF=m|ZF=m|AF=m|PF=m|SF=m, a:I67, m:O64|KERNEL, i:RMPQUERY
RMPREAD      ;             ; RAX,pCXdq,Fv            ;       0xF2 0x0F 0x01 /0xFD         ; s:SNP, t:SYSTEM, w:RW|W|W, f:OF=m|ZF=m|AF=m|PF=m|SF=m, a:I67, m:O64|KERNEL, i:RMPREAD
INVLPGB      ;             ; rAX,ECX,EDX             ;         NP 0x0F 0x01 /0xFE         ; s:INVLPGB, t:SYSTEM, w:R|R|R, m:NOREAL|KERNEL
RMPADJUST    ;             ; pAXb,EAX,RCX,RDX,Fv     ;       0xF3 0x0F 0x01 /0xFE         ; s:SNP, t:SYSTEM, w:R|RW|R|R|W, f:OF=m|ZF=m|AF=m|PF=m|SF=m, a:I67, m:O64|KERNEL
RMPUPDATE    ;             ; RAX,pCXdq,Fv            ;       0xF2 0x0F 0x01 /0xFE         ; s:SNP, t:SYSTEM, w:RW|R|W, f:OF=m|ZF=m|AF=m|PF=m|SF=m, a:I67, m:O64|KERNEL
TLBSYNC      ;             ;                         ;         NP 0x0F 0x01 /0xFF         ; s:INVLPGB, t:SYSTEM, m:NOREAL|KERNEL
PSMASH       ;             ; RAX,Fv                  ;       0xF3 0x0F 0x01 /0xFF         ; s:SNP, t:SYSTEM, w:RW|W, f:OF=m|ZF=m|AF=m|PF=m|SF=m, m:O64|KERNEL
PVALIDATE    ;             ; rAX,ECX,EDX,Fv          ;       0xF2 0x0F 0x01 /0xFF         ; s:SNP, t:SYSTEM, w:RW|R|R|W, f:OF=m|ZF=m|AF=m|PF=m|SF=m|CF=m, m:KERNEL
LAR          ; Gv,Mw       ; Fv                      ;            0x0F 0x02 /r:mem        ; s:I286PROT, t:SYSTEM, w:CW|R|W, f:ZF=m, m:NOREAL
LAR          ; Gv,Rz       ; Fv                      ;            0x0F 0x02 /r:reg        ; s:I286PROT, t:SYSTEM, w:CW|R|W, f:ZF=m, m:NOREAL
LSL          ; Gv,Mw       ; Fv                      ;            0x0F 0x03 /r:mem        ; s:I286PROT, t:SYSTEM, w:RW|R|W, f:ZF=m, m:NOREAL
LSL          ; Gv,Rz       ; Fv                      ;            0x0F 0x03 /r:reg        ; s:I286PROT, t:SYSTEM, w:RW|R|W, f:ZF=m, m:NOREAL
#LOADALL     ;             ; BANK                    ;            0x0F 0x05               ; s:I486REAL, t:UNDOC, w:R
SYSCALL      ;             ; STAR,LSTAR,FMASK,SS,RCX,R11,CS,rIP,Fv,SSP ; 0x0F 0x05        ; s:AMD, t:SYSCALL, w:R|R|R|W|W|W|W|RW|RW|RW, a:F64|CETT, i:FSC, m:NOSGX
CLTS         ;             ; CR0                     ;            0x0F 0x06               ; s:I286REAL, t:SYSTEM, w:W, m:KERNEL|NOV86
#LOADALLD    ;             ; BANK                    ;            0x0F 0x07               ; s:I486REAL, t:UNDOC, w:R
SYSRET       ;             ; STAR,SS,rCX,R11,CS,rIP,Fv,SSP ;      0x0F 0x07               ; s:AMD, t:SYSRET, w:R|W|R|R|W|W|W|W, i:FSC, m:KERNEL
INVD         ;             ;                         ;            0x0F 0x08               ; s:I486REAL, t:SYSTEM, a:SERIAL, m:KERNEL|NOV86
WBINVD       ;             ;                         ;            0x0F 0x09               ; s:I486REAL, t:SYSTEM, a:SERIAL, m:KERNEL|NOV86
WBNOINVD     ;             ;                         ;       repz 0x0F 0x09               ; s:WBNOINVD, t:WBNOINVD, m:KERNEL|NOV86
# Not supported by regular x86 CPUs.
#CL1INVMB    ;             ;                         ;            0x0F 0x0A               ; s:SCC, t:SYSTEM, m:NO64
UD2          ;             ;                         ;            0x0F 0x0B               ; s:PPRO, t:MISC
PREFETCHE    ; Mb          ;                         ;            0x0F 0x0D /0:mem        ; s:PREFETCH_NOP, t:PREFETCH, w:P
NOP          ; Ev,Gv       ;                         ;            0x0F 0x0D /0:reg        ; s:PPRO, t:NOP, w:N|N
PREFETCHW    ; Mb          ;                         ;            0x0F 0x0D /1:mem        ; s:PREFETCH_NOP, t:PREFETCH, w:P
NOP          ; Ev,Gv       ;                         ;            0x0F 0x0D /1:reg        ; s:PPRO, t:NOP, w:N|N
PREFETCHWT1  ; Mb          ;                         ;            0x0F 0x0D /2:mem        ; s:PREFETCH_NOP, t:PREFETCH, w:P
NOP          ; Ev,Gv       ;                         ;            0x0F 0x0D /2:reg        ; s:PPRO, t:NOP, w:N|N
PREFETCHM    ; Mb          ;                         ;            0x0F 0x0D /3:mem        ; s:PREFETCH_NOP, t:PREFETCH, w:P
NOP          ; Ev,Gv       ;                         ;            0x0F 0x0D /3:reg        ; s:PPRO, t:NOP, w:N|N
PREFETCH     ; Mb          ;                         ;            0x0F 0x0D /4:mem        ; s:PREFETCH_NOP, t:PREFETCH, w:P
NOP          ; Ev,Gv       ;                         ;            0x0F 0x0D /4:reg        ; s:PPRO, t:NOP, w:N|N
PREFETCH     ; Mb          ;                         ;            0x0F 0x0D /5:mem        ; s:PREFETCH_NOP, t:PREFETCH, w:P
NOP          ; Ev,Gv       ;                         ;            0x0F 0x0D /5:reg        ; s:PPRO, t:NOP, w:N|N
PREFETCH     ; Mb          ;                         ;            0x0F 0x0D /6:mem        ; s:PREFETCH_NOP, t:PREFETCH, w:P
NOP          ; Ev,Gv       ;                         ;            0x0F 0x0D /6:reg        ; s:PPRO, t:NOP, w:N|N
PREFETCH     ; Mb          ;                         ;            0x0F 0x0D /7:mem        ; s:PREFETCH_NOP, t:PREFETCH, w:P
NOP          ; Ev,Gv       ;                         ;            0x0F 0x0D /7:reg        ; s:PPRO, t:NOP, w:N|N

FEMMS        ;             ;                         ;            0x0F 0x0E               ; s:3DNOW, t:MMX, c:FEMMS

# 0x10 - 0x1F
MOVUPS       ; Vps,Wps     ;                         ;         NP 0x0F 0x10 /r            ; s:SSE, t:DATAXFER, w:W|R, e:4
MOVUPD       ; Vpd,Wpd     ;                         ;       0x66 0x0F 0x10 /r            ; s:SSE2, t:DATAXFER, w:W|R, e:4
MOVSS        ; Vss,Wss     ;                         ;       0xF3 0x0F 0x10 /r            ; s:SSE, t:DATAXFER, w:W|R, e:5
MOVSD        ; Vsd,Wsd     ;                         ;       0xF2 0x0F 0x10 /r            ; s:SSE2, t:DATAXFER, w:W|R, e:5
MOVUPS       ; Wps,Vps     ;                         ;         NP 0x0F 0x11 /r            ; s:SSE, t:DATAXFER, w:W|R, e:4
MOVUPD       ; Wpd,Vpd     ;                         ;       0x66 0x0F 0x11 /r            ; s:SSE2, t:DATAXFER, w:W|R, e:4
MOVSS        ; Wss,Vss     ;                         ;       0xF3 0x0F 0x11 /r            ; s:SSE, t:DATAXFER, w:W|R, e:5
MOVSD        ; Wsd,Vsd     ;                         ;       0xF2 0x0F 0x11 /r            ; s:SSE2, t:DATAXFER, w:W|R, e:5
MOVHLPS      ; Vq,Wq       ;                         ;         NP 0x0F 0x12 /r            ; s:SSE, t:DATAXFER, w:W|R, e:5
MOVLPD       ; Vsd,Mq      ;                         ;       0x66 0x0F 0x12 /r:mem        ; s:SSE2, t:DATAXFER, w:W|R, e:5
MOVSLDUP     ; Vx,Wx       ;                         ;       0xF3 0x0F 0x12 /r            ; s:SSE3, t:DATAXFER, w:W|R, e:4
MOVDDUP      ; Vdq,Wq      ;                         ;       0xF2 0x0F 0x12 /r            ; s:SSE3, t:DATAXFER, w:W|R, e:5
MOVLPS       ; Mq,Vps      ;                         ;         NP 0x0F 0x13 /r:mem        ; s:SSE, t:DATAXFER, w:W|R, e:5
MOVLPD       ; Mq,Vpd      ;                         ;       0x66 0x0F 0x13 /r:mem        ; s:SSE2, t:DATAXFER, w:W|R, e:5
UNPCKLPS     ; Vx,Wx       ;                         ;         NP 0x0F 0x14 /r            ; s:SSE, t:SSE, w:RW|R, e:4
UNPCKLPD     ; Vx,Wx       ;                         ;       0x66 0x0F 0x14 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
UNPCKHPS     ; Vx,Wx       ;                         ;         NP 0x0F 0x15 /r            ; s:SSE, t:SSE, w:RW|R, e:4
UNPCKHPD     ; Vx,Wx       ;                         ;       0x66 0x0F 0x15 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
MOVHPS       ; Vq,Mq       ;                         ;         NP 0x0F 0x16 /r:mem        ; s:SSE, t:DATAXFER, w:W|R, e:5
MOVLHPS      ; Vq,Uq       ;                         ;         NP 0x0F 0x16 /r:reg        ; s:SSE, t:DATAXFER, w:W|R, e:7
MOVHPD       ; Vq,Mq       ;                         ;       0x66 0x0F 0x16 /r:mem        ; s:SSE2, t:DATAXFER, w:W|R, e:5
MOVSHDUP     ; Vx,Wx       ;                         ;       0xF3 0x0F 0x16 /r            ; s:SSE3, t:DATAXFER, w:W|R, e:4
MOVHPS       ; Mq,Vq       ;                         ;         NP 0x0F 0x17 /r:mem        ; s:SSE, t:DATAXFER, w:W|R, e:5
MOVHPD       ; Mq,Vq       ;                         ;       0x66 0x0F 0x17 /r:mem        ; s:SSE2, t:DATAXFER, w:W|R, e:5

# Default wide-nops/PREFETCH instructions.
PREFETCHNTA  ; Mb          ;                         ;            0x0F 0x18 /0:mem        ; s:SSE, t:PREFETCH, w:P
NOP          ; Ev          ;                         ;            0x0F 0x18 /0:reg        ; s:PPRO, t:WIDENOP, w:N
PREFETCHT0   ; Mb          ;                         ;            0x0F 0x18 /1:mem        ; s:SSE, t:PREFETCH, w:P
NOP          ; Ev          ;                         ;            0x0F 0x18 /1:reg        ; s:PPRO, t:WIDENOP, w:N
PREFETCHT1   ; Mb          ;                         ;            0x0F 0x18 /2:mem        ; s:SSE, t:PREFETCH, w:P
NOP          ; Ev          ;                         ;            0x0F 0x18 /2:reg        ; s:PPRO, t:WIDENOP, w:N
PREFETCHT2   ; Mb          ;                         ;            0x0F 0x18 /3:mem        ; s:SSE, t:PREFETCH, w:P
NOP          ; Ev          ;                         ;            0x0F 0x18 /3:reg        ; s:PPRO, t:WIDENOP, w:N
NOP          ; Ev          ;                         ;            0x0F 0x18 /4            ; s:PPRO, t:WIDENOP, w:N
NOP          ; Ev          ;                         ;            0x0F 0x18 /5            ; s:PPRO, t:WIDENOP, w:N
NOP          ; Ev          ;                         ;            0x0F 0x18 /6            ; s:PPRO, t:WIDENOP, w:N
NOP          ; Ev          ;                         ;            0x0F 0x18 /7            ; s:PPRO, t:WIDENOP, w:N
NOP          ; Ev          ;                         ;            0x0F 0x19 /r            ; s:PPRO, t:WIDENOP, w:N

# PREFETCHITI instructions. Most of them duplicates of the above, since they are also present when the PREFETCHIT feature
# is enabled (which applies to the entire opcode).
PREFETCHNTA  ; Mb          ;                         ;       piti 0x0F 0x18 /0:mem        ; s:SSE, t:PREFETCH, w:P
NOP          ; Ev          ;                         ;       piti 0x0F 0x18 /0:reg        ; s:PPRO, t:WIDENOP, w:N
PREFETCHT0   ; Mb          ;                         ;       piti 0x0F 0x18 /1:mem        ; s:SSE, t:PREFETCH, w:P
NOP          ; Ev          ;                         ;       piti 0x0F 0x18 /1:reg        ; s:PPRO, t:WIDENOP, w:N
PREFETCHT1   ; Mb          ;                         ;       piti 0x0F 0x18 /2:mem        ; s:SSE, t:PREFETCH, w:P
NOP          ; Ev          ;                         ;       piti 0x0F 0x18 /2:reg        ; s:PPRO, t:WIDENOP, w:N
PREFETCHT2   ; Mb          ;                         ;       piti 0x0F 0x18 /3:mem        ; s:SSE, t:PREFETCH, w:P
NOP          ; Ev          ;                         ;       piti 0x0F 0x18 /3:reg        ; s:PPRO, t:WIDENOP, w:N
NOP          ; Ev          ;                         ;       piti 0x0F 0x18 /4            ; s:PPRO, t:WIDENOP, w:N
NOP          ; Ev          ;                         ;       piti 0x0F 0x18 /5            ; s:PPRO, t:WIDENOP, w:N
PREFETCHIT1  ; Mb          ;                         ;piti riprel 0x0F 0x18 /6:mem        ; s:PREFETCHITI, t:PREFETCH, w:N, m:O64
NOP          ; Ev          ;                         ;       piti 0x0F 0x18 /6:mem        ; s:PPRO, t:WIDENOP, w:N
NOP          ; Ev          ;                         ;       piti 0x0F 0x18 /6:reg        ; s:PPRO, t:WIDENOP, w:N
PREFETCHIT0  ; Mb          ;                         ;piti riprel 0x0F 0x18 /7:mem        ; s:PREFETCHITI, t:PREFETCH, w:N, m:O64
NOP          ; Ev          ;                         ;       piti 0x0F 0x18 /7:mem        ; s:PPRO, t:WIDENOP, w:N
NOP          ; Ev          ;                         ;       piti 0x0F 0x18 /7:reg        ; s:PPRO, t:WIDENOP, w:N


# MPX instructions. According to the SDM, MPX instructions have 64 bit op & address size in 64 bit mode, no matter 
# if 0x66 or 0x67 prefixes are used. 16 bit addressing cause #UD. However, these checks are not handled here.

# NOP instructions. Decode by default if MPX, CLDEMODE or CET is not enabled.
NOP          ; Ev,Gv       ;                         ;            0x0F 0x1A /r            ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Gv,Ev       ;                         ;            0x0F 0x1B /r            ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Ev,Gv       ;                         ;            0x0F 0x1C /r            ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Ev,Gv       ;                         ;            0x0F 0x1D /r            ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Ev,Gv       ;                         ;            0x0F 0x1E /r            ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Ev,Gv       ;                         ;            0x0F 0x1F /r            ; s:PPRO, t:WIDENOP, w:N|N

# Features that are mapped onto wide NOPs.

# MPX instructions.
BNDLDX       ; rBl,Mmib    ;                         ; mpx     NP 0x0F 0x1A /r:mem mib    ; s:MPX, t:MPX, w:W|R, a:AG|NOA16|NORIPREL|I67|NOREX2
NOP          ; Gv,Ev       ;                         ; mpx     NP 0x0F 0x1A /r:reg        ; s:PPRO, t:WIDENOP, w:N|N
BNDMOV       ; rBl,mBl     ;                         ; mpx   0x66 0x0F 0x1A /r            ; s:MPX, t:MPX, w:W|R, a:NOA16|I67|NOREX2
BNDCL        ; rBl,Ey      ;                         ; mpx   0xF3 0x0F 0x1A /r            ; s:MPX, t:MPX, w:R|R, a:AG|F64|I67|NOREX2
BNDCU        ; rBl,Ey      ;                         ; mpx   0xF2 0x0F 0x1A /r            ; s:MPX, t:MPX, w:R|R, a:AG|F64|I67|NOREX2
BNDSTX       ; Mmib,rBl    ;                         ; mpx     NP 0x0F 0x1B /r:mem mib    ; s:MPX, t:MPX, w:W|R, a:AG|NOA16|NORIPREL|I67|NOREX2
NOP          ; Gv,Ev       ;                         ; mpx     NP 0x0F 0x1B /r:reg        ; s:PPRO, t:WIDENOP, w:N|N
BNDMOV       ; mBl,rBl     ;                         ; mpx   0x66 0x0F 0x1B /r            ; s:MPX, t:MPX, w:W|R, a:NOA16|I67|NOREX2
BNDMK        ; rBl,My      ;                         ; mpx   0xF3 0x0F 0x1B /r:mem        ; s:MPX, t:MPX, w:W|R, a:F64|NOA16|NORIPREL|I67|NOREX2
NOP          ; Gv,Ev       ;                         ; mpx   0xF3 0x0F 0x1B /r:reg        ; s:PPRO, t:WIDENOP, w:N|N
BNDCN        ; rBl,Ey      ;                         ; mpx   0xF2 0x0F 0x1B /r            ; s:MPX, t:MPX, w:R|R, a:AG|F64|I67|NOREX2

# CLDEMOTE instruction.
CLDEMOTE     ; Mb          ;                         ; cldm    NP 0x0F 0x1C /0:mem        ; s:CLDEMOTE, t:CLDEMOTE, w:P
