#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x00 - 0x0F
VPSHUFB           ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:2 p:1 l:x w:i 0x00 /r            ; s:AVX512BW, t:AVX512, l:fvm, e:E4NFnb, w:W|R|R|R
VPROLVD           ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:2 p:1 l:x w:0 0x15 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPROLVQ           ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:2 p:1 l:x w:1 0x15 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPERMPS           ; Vuv{K}{z},Huv,Wuv|B32       ; n/a     ; evex m:2 p:1 l:1 w:0 0x16 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4NF, w:W|R|R|R
VPERMPS           ; Vuv{K}{z},Huv,Wuv|B32       ; n/a     ; evex m:2 p:1 l:2 w:0 0x16 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4NF, w:W|R|R|R
VPERMPD           ; Vuv{K}{z},Huv,Wuv|B64       ; n/a     ; evex m:2 p:1 l:1 w:1 0x16 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4NF, w:W|R|R|R
VPERMPD           ; Vuv{K}{z},Huv,Wuv|B64       ; n/a     ; evex m:2 p:1 l:2 w:1 0x16 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4NF, w:W|R|R|R
VPMOVUSWB         ; Whv{K}{z},Vfv               ; n/a     ; evex m:2 p:2 l:x w:0 0x10 /r            ; s:AVX512BW, t:DATAXFER, l:hvm, e:E6, w:W|R|R
VPMOVUSDB         ; Wqv{K}{z},Vfv               ; n/a     ; evex m:2 p:2 l:x w:0 0x11 /r            ; s:AVX512F, t:DATAXFER, l:qvm, e:E6, w:W|R|R
VPMOVUSQB         ; Wev{K}{z},Vfv               ; n/a     ; evex m:2 p:2 l:x w:0 0x12 /r            ; s:AVX512F, t:DATAXFER, l:ovm, e:E6, w:W|R|R
VPMOVUSDW         ; Whv{K}{z},Vfv               ; n/a     ; evex m:2 p:2 l:x w:0 0x13 /r            ; s:AVX512F, t:DATAXFER, l:hv, l:hvm, e:E6, w:W|R|R
VPMOVUSQW         ; Wqv{K}{z},Vfv               ; n/a     ; evex m:2 p:2 l:x w:0 0x14 /r            ; s:AVX512F, t:DATAXFER, l:qvm, e:E6, w:W|R|R
VPMOVUSQD         ; Whv{K}{z},Vfv               ; n/a     ; evex m:2 p:2 l:x w:0 0x15 /r            ; s:AVX512F, t:DATAXFER, l:hvm, e:E6, w:W|R|R
VBROADCASTSS      ; Vfv{K}{z},Wss               ; n/a     ; evex m:2 p:1 l:x w:0 0x18 /r            ; s:AVX512F, t:BROADCAST, l:t1s, e:E6, w:W|R|R
VBROADCASTF32X2   ; Vuv{K}{z},Wq                ; n/a     ; evex m:2 p:1 l:x w:0 0x19 /r            ; s:AVX512DQ, t:BROADCAST, a:NOL0, l:t2, e:E6, w:W|R|R
VBROADCASTSD      ; Vuv{K}{z},Wsd               ; n/a     ; evex m:2 p:1 l:x w:1 0x19 /r            ; s:AVX512F, t:BROADCAST, a:NOL0, l:t1s, e:E6, w:W|R|R
VBROADCASTF32X4   ; Vuv{K}{z},Mdq               ; n/a     ; evex m:2 p:1 l:x w:0 0x1A /r:mem        ; s:AVX512F, t:BROADCAST, a:NOL0, l:t4, e:E6, w:W|R|R
VBROADCASTF64X2   ; Vuv{K}{z},Mdq               ; n/a     ; evex m:2 p:1 l:x w:1 0x1A /r:mem        ; s:AVX512DQ, t:BROADCAST, a:NOL0, l:t2, e:E6, w:W|R|R
VBROADCASTF32X8   ; Voq{K}{z},Mqq               ; n/a     ; evex m:2 p:1 l:2 w:0 0x1B /r:mem        ; s:AVX512DQ, t:BROADCAST, l:t8, e:E6, w:W|R|R
VBROADCASTF64X4   ; Voq{K}{z},Mqq               ; n/a     ; evex m:2 p:1 l:2 w:1 0x1B /r:mem        ; s:AVX512F, t:BROADCAST, l:t4, e:E6, w:W|R|R
VPABSB            ; Vfv{K}{z},Wfv               ; n/a     ; evex m:2 p:1 l:x w:x 0x1C /r            ; s:AVX512BW, t:AVX512, l:fvm, e:E4nb, w:W|R|R
VPABSW            ; Vfv{K}{z},Wfv               ; n/a     ; evex m:2 p:1 l:x w:x 0x1D /r            ; s:AVX512BW, t:AVX512, l:fvm, e:E4nb, w:W|R|R
VPABSD            ; Vfv{K}{z},Wfv|B32           ; n/a     ; evex m:2 p:1 l:x w:0 0x1E /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R
VPABSQ            ; Vfv{K}{z},Wfv|B64           ; n/a     ; evex m:2 p:1 l:x w:1 0x1F /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R

# 0x20 - 0x2F
VPMOVSXBW         ; Vfv{K}{z},Whv               ; n/a     ; evex m:2 p:1 l:x w:i 0x20 /r            ; s:AVX512BW, t:DATAXFER, l:hvm, e:E5, w:W|R|R
VPMOVSXBD         ; Vfv{K}{z},Wqv               ; n/a     ; evex m:2 p:1 l:x w:i 0x21 /r            ; s:AVX512F, t:DATAXFER, l:qvm, e:E5, w:W|R|R
VPMOVSXBQ         ; Vfv{K}{z},Wev               ; n/a     ; evex m:2 p:1 l:x w:i 0x22 /r            ; s:AVX512F, t:DATAXFER, l:ovm, e:E5, w:W|R|R
VPMOVSXWD         ; Vfv{K}{z},Whv               ; n/a     ; evex m:2 p:1 l:x w:i 0x23 /r            ; s:AVX512F, t:DATAXFER, l:hvm, e:E5, w:W|R|R
VPMOVSXWQ         ; Vfv{K}{z},Wqv               ; n/a     ; evex m:2 p:1 l:x w:i 0x24 /r            ; s:AVX512F, t:DATAXFER, l:qvm, e:E5, w:W|R|R
VPMOVSXDQ         ; Vfv{K}{z},Whv               ; n/a     ; evex m:2 p:1 l:x w:0 0x25 /r            ; s:AVX512F, t:DATAXFER, l:hvm, e:E5, w:W|R|R
VPTESTMB          ; rKq{K},Hfv,Wfv              ; n/a     ; evex m:2 p:1 l:x w:0 0x26 /r            ; s:AVX512BW, t:LOGICAL, l:fvm, e:E4nb, w:W|R|R|R
VPTESTMW          ; rKq{K},Hfv,Wfv              ; n/a     ; evex m:2 p:1 l:x w:1 0x26 /r            ; s:AVX512BW, t:LOGICAL, l:fvm, e:E4nb, w:W|R|R|R
VPTESTMD          ; rKq{K},Hfv,Wfv|B32          ; n/a     ; evex m:2 p:1 l:x w:0 0x27 /r            ; s:AVX512F, t:LOGICAL, l:fv, e:E4, w:W|R|R|R
VPTESTMQ          ; rKq{K},Hfv,Wfv|B64          ; n/a     ; evex m:2 p:1 l:x w:1 0x27 /r            ; s:AVX512F, t:LOGICAL, l:fv, e:E4, w:W|R|R|R
VPMOVSWB          ; Whv{K}{z},Vfv               ; n/a     ; evex m:2 p:2 l:x w:0 0x20 /r            ; s:AVX512BW, t:DATAXFER, l:hvm, e:E6, w:W|R|R
VPMOVSDB          ; Wqv{K}{z},Vfv               ; n/a     ; evex m:2 p:2 l:x w:0 0x21 /r            ; s:AVX512F, t:DATAXFER, l:qvm, e:E6, w:W|R|R
VPMOVSQB          ; Wev{K}{z},Vfv               ; n/a     ; evex m:2 p:2 l:x w:0 0x22 /r            ; s:AVX512F, t:DATAXFER, l:ovm, e:E6, w:W|R|R
VPMOVSDW          ; Whv{K}{z},Vfv               ; n/a     ; evex m:2 p:2 l:x w:0 0x23 /r            ; s:AVX512F, t:DATAXFER, l:hvm, e:E6, w:W|R|R
VPMOVSQW          ; Wqv{K}{z},Vfv               ; n/a     ; evex m:2 p:2 l:x w:0 0x24 /r            ; s:AVX512F, t:DATAXFER, l:qvm, e:E6, w:W|R|R
VPMOVSQD          ; Whv{K}{z},Vfv               ; n/a     ; evex m:2 p:2 l:x w:0 0x25 /r            ; s:AVX512F, t:DATAXFER, l:hvm, e:E6, w:W|R|R
VPTESTNMB         ; rKq{K},Hfv,Wfv              ; n/a     ; evex m:2 p:2 l:x w:0 0x26 /r            ; s:AVX512BW, t:LOGICAL, l:fvm, e:E4nb, w:W|R|R|R
VPTESTNMW         ; rKq{K},Hfv,Wfv              ; n/a     ; evex m:2 p:2 l:x w:1 0x26 /r            ; s:AVX512BW, t:LOGICAL, l:fvm, e:E4nb, w:W|R|R|R
VPTESTNMD         ; rKq{K},Hfv,Wfv|B32          ; n/a     ; evex m:2 p:2 l:x w:0 0x27 /r            ; s:AVX512F, t:LOGICAL, l:fv, e:E4, w:W|R|R|R
VPTESTNMQ         ; rKq{K},Hfv,Wfv|B64          ; n/a     ; evex m:2 p:2 l:x w:1 0x27 /r            ; s:AVX512F, t:LOGICAL, l:fv, e:E4, w:W|R|R|R
VPMULDQ           ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:2 p:1 l:x w:1 0x28 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPCMPEQQ          ; rKq{K},Hfv,Wfv|B64          ; n/a     ; evex m:2 p:1 l:x w:1 0x29 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VMOVNTDQA         ; Vfv,Mfv                     ; n/a     ; evex m:2 p:1 l:x w:0 0x2A /r:mem        ; s:AVX512F, t:DATAXFER, l:fvm, e:E1NF, w:W|R
VPACKUSDW         ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:2 p:1 l:x w:0 0x2B /r            ; s:AVX512BW, t:AVX512, l:fv, e:E4NF, w:W|R|R|R
VSCALEFPS         ; Vfv{K}{z},Hfv,Wfv|B32{er}   ; n/a     ; evex m:2 p:1 l:x w:0 0x2C /r            ; s:AVX512F, t:AVX512, l:fv, e:E2, w:W|R|R|R
VSCALEFPD         ; Vfv{K}{z},Hfv,Wfv|B64{er}   ; n/a     ; evex m:2 p:1 l:x w:1 0x2C /r            ; s:AVX512F, t:AVX512, l:fv, e:E2, w:W|R|R|R
VSCALEFSS         ; Vss{K}{z},Hss,Wss{er}       ; n/a     ; evex m:2 p:1 l:i w:0 0x2D /r            ; s:AVX512F, t:AVX512, l:t1s, e:E3, w:W|R|R|R
VSCALEFSD         ; Vsd{K}{z},Hsd,Wsd{er}       ; n/a     ; evex m:2 p:1 l:i w:1 0x2D /r            ; s:AVX512F, t:AVX512, l:t1s, e:E3, w:W|R|R|R
VPMOVM2B          ; Vfv,mKq                     ; n/a     ; evex m:2 p:2 l:x w:0 0x28 /r:reg        ; s:AVX512BW, t:DATAXFER, e:E7NM, w:W|R
VPMOVM2W          ; Vfv,mKq                     ; n/a     ; evex m:2 p:2 l:x w:1 0x28 /r:reg        ; s:AVX512BW, t:DATAXFER, e:E7NM, w:W|R
VPMOVB2M          ; rKq,Ufv                     ; n/a     ; evex m:2 p:2 l:x w:0 0x29 /r:reg        ; s:AVX512BW, t:DATAXFER, e:E7NM, w:W|R
VPMOVW2M          ; rKq,Ufv                     ; n/a     ; evex m:2 p:2 l:x w:1 0x29 /r:reg        ; s:AVX512BW, t:DATAXFER, e:E7NM, w:W|R
VPBROADCASTMB2Q   ; Vfv,mKq                     ; n/a     ; evex m:2 p:2 l:x w:1 0x2A /r:reg        ; s:AVX512CD, t:BROADCAST, e:E6NF, w:W|R

# 0x30 - 0x3F
VPMOVZXBW         ; Vfv{K}{z},Whv               ; n/a     ; evex m:2 p:1 l:x w:i 0x30 /r            ; s:AVX512BW, t:DATAXFER, l:hvm, e:E5, w:W|R|R
VPMOVZXBD         ; Vfv{K}{z},Wqv               ; n/a     ; evex m:2 p:1 l:x w:i 0x31 /r            ; s:AVX512F, t:DATAXFER, l:qvm, e:E5, w:W|R|R
VPMOVZXBQ         ; Vfv{K}{z},Wev               ; n/a     ; evex m:2 p:1 l:x w:i 0x32 /r            ; s:AVX512F, t:DATAXFER, l:ovm, e:E5, w:W|R|R
VPMOVZXWD         ; Vfv{K}{z},Whv               ; n/a     ; evex m:2 p:1 l:x w:i 0x33 /r            ; s:AVX512F, t:DATAXFER, l:hvm, e:E5, w:W|R|R
VPMOVZXWQ         ; Vfv{K}{z},Wqv               ; n/a     ; evex m:2 p:1 l:x w:i 0x34 /r            ; s:AVX512F, t:DATAXFER, l:qvm, e:E5, w:W|R|R
VPMOVZXDQ         ; Vfv{K}{z},Whv               ; n/a     ; evex m:2 p:1 l:x w:0 0x35 /r            ; s:AVX512F, t:DATAXFER, l:hvm, e:E5, w:W|R|R
VPERMD            ; Vuv{K}{z},Huv,Wuv|B32       ; n/a     ; evex m:2 p:1 l:x w:0 0x36 /r            ; s:AVX512F, t:AVX512, a:NOL0, l:fv, e:E4NF, w:W|R|R|R
VPERMQ            ; Vuv{K}{z},Huv,Wuv|B64       ; n/a     ; evex m:2 p:1 l:x w:1 0x36 /r            ; s:AVX512F, t:AVX512, a:NOL0, l:fv, e:E4NF, w:W|R|R|R
VPCMPGTQ          ; rKq{K},Hfv,Wfv|B64          ; n/a     ; evex m:2 p:1 l:x w:1 0x37 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPMOVWB           ; Whv{K}{z},Vfv               ; n/a     ; evex m:2 p:2 l:x w:0 0x30 /r            ; s:AVX512BW, t:DATAXFER, l:hvm, e:E6, w:W|R|R
VPMOVDB           ; Wqv{K}{z},Vfv               ; n/a     ; evex m:2 p:2 l:x w:0 0x31 /r            ; s:AVX512F, t:DATAXFER, l:qvm, e:E6, w:W|R|R
VPMOVQB           ; Wev{K}{z},Vfv               ; n/a     ; evex m:2 p:2 l:x w:0 0x32 /r            ; s:AVX512F, t:DATAXFER, l:ovm, e:E6, w:W|R|R
VPMOVDW           ; Whv{K}{z},Vfv               ; n/a     ; evex m:2 p:2 l:x w:0 0x33 /r            ; s:AVX512F, t:DATAXFER, l:hvm, e:E6, w:W|R|R
VPMOVQW           ; Wqv{K}{z},Vfv               ; n/a     ; evex m:2 p:2 l:x w:0 0x34 /r            ; s:AVX512F, t:DATAXFER, l:qvm, e:E6, w:W|R|R
VPMOVQD           ; Whv{K}{z},Vfv               ; n/a     ; evex m:2 p:2 l:x w:0 0x35 /r            ; s:AVX512F, t:DATAXFER, l:hvm, e:E6, w:W|R|R
VPMINSB           ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:2 p:1 l:x w:i 0x38 /r            ; s:AVX512BW, t:AVX512, l:fvm, e:E4nb, w:W|R|R|R
VPMINSD           ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:2 p:1 l:x w:0 0x39 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPMINSQ           ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:2 p:1 l:x w:1 0x39 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPMINUW           ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:2 p:1 l:x w:i 0x3A /r            ; s:AVX512BW, t:AVX512, l:fvm, e:E4nb, w:W|R|R|R
VPMINUD           ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:2 p:1 l:x w:0 0x3B /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPMINUQ           ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:2 p:1 l:x w:1 0x3B /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPMAXSB           ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:2 p:1 l:x w:i 0x3C /r            ; s:AVX512BW, t:AVX512, l:fvm, e:E4nb, w:W|R|R|R
VPMAXSD           ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:2 p:1 l:x w:0 0x3D /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPMAXSQ           ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:2 p:1 l:x w:1 0x3D /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPMAXUW           ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:2 p:1 l:x w:i 0x3E /r            ; s:AVX512BW, t:AVX512, l:fvm, e:E4nb, w:W|R|R|R
VPMAXUD           ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:2 p:1 l:x w:0 0x3F /r            ; s:AVX512F, t:AVX512, l:fv, e:E4nb, w:W|R|R|R
VPMAXUQ           ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:2 p:1 l:x w:1 0x3F /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPMOVM2D          ; Vfv,mKq                     ; n/a     ; evex m:2 p:2 l:x w:0 0x38 /r:reg        ; s:AVX512DQ, t:DATAXFER, e:E7NM, w:W|R
VPMOVM2Q          ; Vfv,mKq                     ; n/a     ; evex m:2 p:2 l:x w:1 0x38 /r:reg        ; s:AVX512DQ, t:DATAXFER, e:E7NM, w:W|R
VPMOVD2M          ; rKq,Ufv                     ; n/a     ; evex m:2 p:2 l:x w:0 0x39 /r:reg        ; s:AVX512DQ, t:DATAXFER, e:E7NM, w:W|R
VPMOVQ2M          ; rKq,Ufv                     ; n/a     ; evex m:2 p:2 l:x w:1 0x39 /r:reg        ; s:AVX512DQ, t:DATAXFER, e:E7NM, w:W|R
VPBROADCASTMW2D   ; Vfv,mKq                     ; n/a     ; evex m:2 p:2 l:x w:0 0x3A /r:reg        ; s:AVX512CD, t:BROADCAST, e:E6NF, w:W|R

# 0x40 - 0x4F
VPMULLD           ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:2 p:1 l:x w:0 0x40 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPMULLQ           ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:2 p:1 l:x w:1 0x40 /r            ; s:AVX512DQ, t:AVX512, l:fv, e:E4, w:W|R|R|R
VGETEXPPS         ; Vfv{K}{z},Wfv|B32{sae}      ; n/a     ; evex m:2 p:1 l:x w:0 0x42 /r            ; s:AVX512F, t:AVX512, l:fv, e:E2, w:W|R|R
VGETEXPPD         ; Vfv{K}{z},Wfv|B64{sae}      ; n/a     ; evex m:2 p:1 l:x w:1 0x42 /r            ; s:AVX512F, t:AVX512, l:fv, e:E2, w:W|R|R
VGETEXPSS         ; Vdq{K}{z},Hdq,Wss{sae}      ; n/a     ; evex m:2 p:1 l:x w:0 0x43 /r            ; s:AVX512F, t:AVX512, l:t1s, e:E3, w:W|R|R|R
VGETEXPSD         ; Vdq{K}{z},Hdq,Wsd{sae}      ; n/a     ; evex m:2 p:1 l:x w:1 0x43 /r            ; s:AVX512F, t:AVX512, l:t1s, e:E3, w:W|R|R|R
VPLZCNTD          ; Vfv{K}{z},Wfv|B32           ; n/a     ; evex m:2 p:1 l:x w:0 0x44 /r            ; s:AVX512CD, t:CONFLICT, l:fv, e:E4, w:W|R|R
VPLZCNTQ          ; Vfv{K}{z},Wfv|B64           ; n/a     ; evex m:2 p:1 l:x w:1 0x44 /r            ; s:AVX512CD, t:CONFLICT, l:fv, e:E4, w:W|R|R
VPSRLVD           ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:2 p:1 l:x w:0 0x45 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPSRLVQ           ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:2 p:1 l:x w:1 0x45 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPSRAVD           ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:2 p:1 l:x w:0 0x46 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPSRAVQ           ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:2 p:1 l:x w:1 0x46 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPSLLVD           ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:2 p:1 l:x w:0 0x47 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPSLLVQ           ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:2 p:1 l:x w:1 0x47 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VRCP14PS          ; Vfv{K}{z},Wfv|B32           ; n/a     ; evex m:2 p:1 l:x w:0 0x4C /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R
VRCP14PD          ; Vfv{K}{z},Wfv|B64           ; n/a     ; evex m:2 p:1 l:x w:1 0x4C /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R
VRCP14SS          ; Vdq{K}{z},Hdq,Wss           ; n/a     ; evex m:2 p:1 l:x w:0 0x4D /r            ; s:AVX512F, t:AVX512, l:t1s, e:E10, w:W|R|R|R
VRCP14SD          ; Vdq{K}{z},Hdq,Wsd           ; n/a     ; evex m:2 p:1 l:x w:1 0x4D /r            ; s:AVX512F, t:AVX512, l:t1s, e:E10, w:W|R|R|R
VRSQRT14PS        ; Vfv{K}{z},Wfv|B32           ; n/a     ; evex m:2 p:1 l:x w:0 0x4E /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R
VRSQRT14PD        ; Vfv{K}{z},Wfv|B64           ; n/a     ; evex m:2 p:1 l:x w:1 0x4E /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R
VRSQRT14SS        ; Vdq{K}{z},Hdq,Wss           ; n/a     ; evex m:2 p:1 l:x w:0 0x4F /r            ; s:AVX512F, t:AVX512, l:t1s, e:E10, w:W|R|R|R
VRSQRT14SD        ; Vdq{K}{z},Hdq,Wsd           ; n/a     ; evex m:2 p:1 l:x w:1 0x4F /r            ; s:AVX512F, t:AVX512, l:t1s, e:E10, w:W|R|R|R

# 0x50 - 0x5F
VPDPBUSD          ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:2 p:1 l:x w:0 0x50 /r            ; s:AVX512VNNI, t:VNNI, l:fv, e:E4, w:RW|R|R|R
VPDPBUSDS         ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:2 p:1 l:x w:0 0x51 /r            ; s:AVX512VNNI, t:VNNI, l:fv, e:E4, w:RW|R|R|R
VPDPWSSD          ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:2 p:1 l:x w:0 0x52 /r            ; s:AVX512VNNI, t:VNNI, l:fv, e:E4, w:RW|R|R|R
VDPBF16PS         ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:2 p:2 l:x w:0 0x52 /r            ; s:AVX512BF16, t:AVX512BF16, l:fv, e:E4, w:W|R|R|R
VP4DPWSSD         ; Voq{K}{z},Hoq+3,Mdq         ; n/a     ; evex m:2 p:3 l:2 w:0 0x52 /r:mem        ; s:AVX5124VNNIW, t:VNNIW, l:t1_4x, e:E4, w:RW|R|R|R
VPDPWSSDS         ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:2 p:1 l:x w:0 0x53 /r            ; s:AVX512VNNI, t:VNNI, l:fv, e:E4, w:RW|R|R|R
VP4DPWSSDS        ; Voq{K}{z},Hoq+3,Mdq         ; n/a     ; evex m:2 p:3 l:2 w:0 0x53 /r:mem        ; s:AVX5124VNNIW, t:VNNIW, l:t1_4x, e:E4, w:RW|R|R|R
VPOPCNTB          ; Vfv{K}{z},Wfv               ; n/a     ; evex m:2 p:1 l:x w:0 0x54 /r            ; s:AVX512BITALG, t:VPOPCNT, l:fvm, e:E4, w:W|R|R
VPOPCNTW          ; Vfv{K}{z},Wfv               ; n/a     ; evex m:2 p:1 l:x w:1 0x54 /r            ; s:AVX512BITALG, t:VPOPCNT, l:fvm, e:E4, w:W|R|R
VPOPCNTD          ; Vfv{K}{z},Wfv|B32           ; n/a     ; evex m:2 p:1 l:x w:0 0x55 /r            ; s:AVX512VPOPCNTDQ, t:VPOPCNT, l:fv, e:E4, w:W|R|R
VPOPCNTQ          ; Vfv{K}{z},Wfv|B64           ; n/a     ; evex m:2 p:1 l:x w:1 0x55 /r            ; s:AVX512VPOPCNTDQ, t:VPOPCNT, l:fv, e:E4, w:W|R|R
VPBROADCASTD      ; Vfv{K}{z},Wd                ; n/a     ; evex m:2 p:1 l:x w:0 0x58 /r            ; s:AVX512F, t:BROADCAST, l:t1s, e:E6, w:W|R|R
VBROADCASTI32X2   ; Vfv{K}{z},Wq                ; n/a     ; evex m:2 p:1 l:x w:0 0x59 /r            ; s:AVX512DQ, t:BROADCAST, l:t2, e:E6, w:W|R|R
VPBROADCASTQ      ; Vfv{K}{z},Wq                ; n/a     ; evex m:2 p:1 l:x w:1 0x59 /r            ; s:AVX512F, t:BROADCAST, l:t1s, e:E6, w:W|R|R
VBROADCASTI32X4   ; Vuv{K}{z},Mdq               ; n/a     ; evex m:2 p:1 l:x w:0 0x5A /r:mem        ; s:AVX512F, t:BROADCAST, a:NOL0, l:t4, e:E6, w:W|R|R
