#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x00 - 0x0F
ROUNDPS           ; Vx,Wx,Ib            ; n/a             ;         0x66 0x0F 0x3A 0x08 /r ib     ; s:SSE4, t:SSE, w:W|R|R, e:2
PCMPISTRI         ; Vdq,Wdq,Ib          ; yCX,Fv          ;         0x66 0x0F 0x3A 0x63 /r ib     ; s:SSE42, t:SSE, w:R|R|R|W|W, f:PCMPSTR, e:4

# 0x70 - 0x7F

# 0x80 - 0x8F

# 0x90 - 0x9F

# 0xA0 - 0xAF

# 0xB0 - 0xBF

# 0xC0 - 0xCF
SHA1RNDS4         ; Vdq,Wdq,Ib          ; n/a             ;           NP 0x0F 0x3A 0xCC /r ib     ; s:SHA, t:SHA, w:RW|R|R, e:4
GF2P8AFFINEQB     ; Vdq,Wdq,Ib          ; n/a             ;         0x66 0x0F 0x3A 0xCE /r ib     ; s:GFNI, t:GFNI, w:RW|R|R, e:4
GF2P8AFFINEINVQB  ; Vdq,Wdq,Ib          ; n/a             ;         0x66 0x0F 0x3A 0xCF /r ib     ; s:GFNI, t:GFNI, w:RW|R|R, e:4

# 0xD0 - 0xDF
AESKEYGENASSIST   ; Vdq,Wdq,Ib          ; n/a             ;         0x66 0x0F 0x3A 0xDF /r ib     ; s:AES, t:AES, w:W|R|R, e:4

# 0xE0 - 0xEF

# 0xF0 - 0xFF
HRESET            ; Ib                  ; EAX             ;         0xF3 0x0F 0x3A 0xF0 /0xC0 ib  ; s:HRESET, t:HRESET, w:N|R, m:KERNEL|NOV86|NOTSX
