#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x00 - 0x0F
SLDT         ; Mw          ; LDTR                    ;            0x0F 0x00 /0:mem        ; s:I286PROT, t:SYSTEM, w:W|R, m:NOREAL|NOSGX
CLAC         ; n/a         ; Fv                      ;         NP 0x0F 0x01 /0xCA         ; s:SMAP, t:SMAP, w:W, f:AC=0, m:KERNEL|NOV86
ERETU        ; n/a         ; rIP,Fv,rSP,CS,SS,Kv5,SSP,GSBASE,KGSBASE ;0xF3 0x0F 0x01 /0xCA; s:FRED, t:RET, w:W|W|W|W|W|R|CRCW|RW|RW, m:KERNEL|O64|NOTSX, a:F64
ERETS        ; n/a         ; rIP,Fv,rSP,Kv5,SSP      ;       0xF2 0x0F 0x01 /0xCA         ; s:FRED, t:RET, w:W|W|W|R|CRCW, m:KERNEL|O64|NOTSX, a:F64
STAC         ; n/a         ; Fv                      ;         NP 0x0F 0x01 /0xCB         ; s:SMAP, t:SMAP, w:W, f:AC=1, m:KERNEL|NOV86
TDCALL       ; n/a         ; n/a                     ;       0x66 0x0F 0x01 /0xCC         ; s:TDX, t:TDX, m:KERNEL|VMXNROOT
SEAMRET      ; n/a         ; n/a                     ;       0x66 0x0F 0x01 /0xCD         ; s:TDX, t:TDX, f:VMX, m:SEAMR
SEAMOPS      ; n/a         ; RAX,RCX,RDX,R8,R9       ;       0x66 0x0F 0x01 /0xCE         ; s:TDX, t:TDX, w:RW|R|R|R|R, m:SEAMR
SEAMCALL     ; n/a         ; RAX                     ;       0x66 0x0F 0x01 /0xCF         ; s:TDX, t:TDX, w:R, f:VMX, m:SEAMN
ENCLS        ; n/a         ; EAX,RBX,RCX,RDX         ;         NP 0x0F 0x01 /0xCF         ; s:SGX, t:SGX, w:R|CRW|CRW|CRW, m:KERNEL|NOSMM|NOTSX
XGETBV       ; n/a         ; ECX,EDX,EAX,XCR         ;         NP 0x0F 0x01 /0xD0         ; s:XSAVE, t:XSAVE, w:R|W|W|R
XSETBV       ; n/a         ; ECX,EDX,EAX,XCR         ;         NP 0x0F 0x01 /0xD1         ; s:XSAVE, t:XSAVE, w:R|R|R|W, m:KERNEL
VMFUNC       ; n/a         ; n/a                     ;         NP 0x0F 0x01 /0xD4         ; s:VTX, t:VTX, m:VMX|NOSGX
XEND         ; n/a         ; yIP                     ;         NP 0x0F 0x01 /0xD5         ; s:TSX, t:COND_BR, w:CW, i:RTM
XTEST        ; n/a         ; Fv                      ;         NP 0x0F 0x01 /0xD6         ; s:TSX, t:LOGIC, w:W, i:RTM, f:CF=0|PF=0|AF=0|ZF=m|SF=0|OF=0
ENCLU        ; n/a         ; EAX,RBX,RCX,RDX         ;         NP 0x0F 0x01 /0xD7         ; s:SGX, t:SGX, w:R|CRW|CRW|CRW, m:USER|NOSMM|NOTSX
VMRUN        ; n/a         ; rAX                     ;            0x0F 0x01 /0xD8         ; s:SVM, t:SYSTEM, w:R, m:VMXROOT
VMMCALL      ; n/a         ; n/a                     ;            0x0F 0x01 /0xD9         ; s:SVM, t:SYSTEM, m:VMX
VMMCALL      ; n/a         ; n/a                     ;       0x66 0x0F 0x01 /0xD9         ; s:SVM, t:SYSTEM, m:VMX
VMGEXIT      ; n/a         ; n/a                     ;       0xF3 0x0F 0x01 /0xD9         ; s:SVM, t:SYSTEM, m:VMX
VMGEXIT      ; n/a         ; n/a                     ;       0xF2 0x0F 0x01 /0xD9         ; s:SVM, t:SYSTEM, m:VMX
VMLOAD       ; n/a         ; rAX                     ;            0x0F 0x01 /0xDA         ; s:SVM, t:SYSTEM, w:R, m:VMXROOT
VMSAVE       ; n/a         ; n/a                     ;            0x0F 0x01 /0xDB         ; s:SVM, t:SYSTEM, m:VMXROOT
STGI         ; n/a         ; n/a                     ;            0x0F 0x01 /0xDC         ; s:SVM, t:SYSTEM, m:VMXROOT
CLGI         ; n/a         ; n/a                     ;            0x0F 0x01 /0xDD         ; s:SVM, t:SYSTEM, m:VMXROOT
SKINIT       ; n/a         ; EAX                     ;            0x0F 0x01 /0xDE         ; s:SVM, t:SYSTEM, w:R, m:VMXROOT
INVLPGA      ; n/a         ; rAX,ECX                 ;            0x0F 0x01 /0xDF         ; s:SVM, t:SYSTEM, w:R|R, m:VMXROOT
SERIALIZE    ; n/a         ; n/a                     ;         NP 0x0F 0x01 /0xE8         ; s:SERIALIZE, t:MISC, a:SERIAL
SETSSBSY     ; n/a         ; SHS0,SSP                ;       0xF3 0x0F 0x01 /0xE8         ; s:CET_SS, t:CET, a:SHS, w:RW|RW
XSUSLDTRK    ; n/a         ; n/a                     ;       0xF2 0x0F 0x01 /0xE8         ; s:TSXLDTRK, t:MISC
XRESLDTRK    ; n/a         ; n/a                     ;       0xF2 0x0F 0x01 /0xE9         ; s:TSXLDTRK, t:MISC
SAVEPREVSSP  ; n/a         ; SHSS,SSP                ;       0xF3 0x0F 0x01 /0xEA         ; s:CET_SS, t:CET, w:RW|R, f:CF=t
UIRET        ; n/a         ; rIP,Fv,sSP,UIF,Kv3,SHS1 ;       0xF3 0x0F 0x01 /0xEC         ; s:UINTR, t:RET, a:F64, w:W|W|W|W|R|R, m:O64|NOTSX|NOSGX
TESTUI       ; n/a         ; UIF,Fv                  ;       0xF3 0x0F 0x01 /0xED         ; s:UINTR, t:UINTR, w:R|W, f:UINTR, m:O64|NOSGX
RDPKRU       ; n/a         ; EDX,EAX,ECX,PKRU        ;         NP 0x0F 0x01 /0xEE         ; s:PKU, t:MISC, w:W|W|R|R
CLUI         ; n/a         ; UIF                     ;       0xF3 0x0F 0x01 /0xEE         ; s:UINTR, t:UINTR, w:W, m:O64|NOTSX|NOSGX
WRPKRU       ; n/a         ; EDX,EAX,ECX,PKRU        ;         NP 0x0F 0x01 /0xEF         ; s:PKU, t:MISC, w:R|R|R|W
STUI         ; n/a         ; UIF                     ;       0xF3 0x0F 0x01 /0xEF         ; s:UINTR, t:UINTR, w:W, m:O64|NOTSX|NOSGX
SWAPGS       ; n/a         ; GSBASE,KGSBASE          ;            0x0F 0x01 /0xF8         ; s:LONGMODE, t:SYSTEM, w:RW|RW, m:KERNEL|O64
RDTSCP       ; n/a         ; EAX,EDX,ECX,TSC,TSCAUX  ;            0x0F 0x01 /0xF9         ; s:RDTSCP, t:SYSTEM, w:W|W|W|R|R
MONITORX     ; n/a         ; pAXb,ECX,EDX            ;         NP 0x0F 0x01 /0xFA         ; s:MWAITT, t:SYSTEM, w:R|R|R, m:KERNEL|NOV86
MCOMMIT      ; n/a         ; Fv                      ;       0xF3 0x0F 0x01 /0xFA         ; s:MCOMMIT, t:MISC, w:W, f:CF=m|PF=0|AF=0|ZF=0|SF=0|OF=0
MWAITX       ; n/a         ; EAX,ECX,EBX             ;         NP 0x0F 0x01 /0xFB         ; s:MWAITT, t:SYSTEM, w:R|R|R, m:KERNEL|NOV86
CLZERO       ; n/a         ; rAX                     ;            0x0F 0x01 /0xFC         ; s:CLZERO, t:MISC, w:R
RDPRU        ; n/a         ; EAX,EDX,ECX,Fv          ;            0x0F 0x01 /0xFD         ; s:RDPRU, t:MISC, w:W|W|R|W, f:CF=m|PF=0|AF=0|ZF=0|SF=0|OF=0
RMPQUERY     ; n/a         ; pAXb,EAX,RCX,RDX,Fv     ;       0xF3 0x0F 0x01 /0xFD         ; s:SNP, t:SYSTEM, w:R|RW|W|RW|W, f:OF=m|ZF=m|AF=m|PF=m|SF=m, a:I67, m:O64|KERNEL, i:RMPQUERY
INVLPGB      ; n/a         ; rAX,ECX,EDX             ;            0x0F 0x01 /0xFE         ; s:INVLPGB, t:SYSTEM, w:R|R|R, m:NOREAL|KERNEL
RMPADJUST    ; n/a         ; pAXb,EAX,RCX,RDX,Fv     ;       0xF3 0x0F 0x01 /0xFE         ; s:SNP, t:SYSTEM, w:R|RW|R|R|W, f:OF=m|ZF=m|AF=m|PF=m|SF=m, a:I67, m:O64|KERNEL
RMPUPDATE    ; n/a         ; RAX,pCXdq,Fv            ;       0xF2 0x0F 0x01 /0xFE         ; s:SNP, t:SYSTEM, w:RW|R|W, f:OF=m|ZF=m|AF=m|PF=m|SF=m, a:I67, m:O64|KERNEL
TLBSYNC      ; n/a         ; n/a                     ;            0x0F 0x01 /0xFF         ; s:INVLPGB, t:SYSTEM, m:NOREAL|KERNEL
PSMASH       ; n/a         ; RAX,Fv                  ;       0xF3 0x0F 0x01 /0xFF         ; s:SNP, t:SYSTEM, w:RW|W, f:OF=m|ZF=m|AF=m|PF=m|SF=m, m:O64|KERNEL
PVALIDATE    ; n/a         ; rAX,ECX,EDX,Fv          ;       0xF2 0x0F 0x01 /0xFF         ; s:SNP, t:SYSTEM, w:RW|R|R|W, f:OF=m|ZF=m|AF=m|PF=m|SF=m|CF=m, m:KERNEL
LAR          ; Gv,Mw       ; Fv                      ;            0x0F 0x02 /r:mem        ; s:I286PROT, t:SYSTEM, w:CW|R|W, f:ZF=m, m:NOREAL
LAR          ; Gv,Rz       ; Fv                      ;            0x0F 0x02 /r:reg        ; s:I286PROT, t:SYSTEM, w:CW|R|W, f:ZF=m, m:NOREAL
LSL          ; Gv,Mw       ; Fv                      ;            0x0F 0x03 /r:mem        ; s:I286PROT, t:SYSTEM, w:RW|R|W, f:ZF=m, m:NOREAL
LSL          ; Gv,Rz       ; Fv                      ;            0x0F 0x03 /r:reg        ; s:I286PROT, t:SYSTEM, w:RW|R|W, f:ZF=m, m:NOREAL
#LOADALL     ; n/a         ; BANK                    ;            0x0F 0x05               ; s:I486REAL, t:UNDOC, w:R
SYSCALL      ; n/a         ; STAR,LSTAR,FMASK,SS,RCX,R11,CS,rIP,Fv,SSP ; 0x0F 0x05        ; s:AMD, t:SYSCALL, w:R|R|R|W|W|W|W|W|RW|RW, a:F64|CETT, i:FSC, m:NOSGX
CLTS         ; n/a         ; CR0                     ;            0x0F 0x06               ; s:I286REAL, t:SYSTEM, w:W, m:KERNEL|NOV86
#LOADALLD    ; n/a         ; BANK                    ;            0x0F 0x07               ; s:I486REAL, t:UNDOC, w:R
SYSRET       ; n/a         ; STAR,SS,rCX,R11,CS,rIP,Fv,SSP ;      0x0F 0x07               ; s:AMD, t:SYSRET, w:R|W|R|R|W|W|W|W, i:FSC, m:KERNEL
INVD         ; n/a         ; n/a                     ;            0x0F 0x08               ; s:I486REAL, t:SYSTEM, a:SERIAL, m:KERNEL|NOV86
WBINVD       ; n/a         ; n/a                     ;            0x0F 0x09               ; s:I486REAL, t:SYSTEM, a:SERIAL, m:KERNEL|NOV86
WBNOINVD     ; n/a         ; n/a                     ;      a0xF3 0x0F 0x09               ; s:WBNOINVD, t:WBNOINVD, m:KERNEL|NOV86
# Not supported by regulat x86 CPUs.
#CL1INVMB    ; n/a         ; n/a                     ;            0x0F 0x0A               ; s:SCC, t:SYSTEM, m:NO64
UD2          ; n/a         ; n/a                     ;            0x0F 0x0B               ; s:PPRO, t:MISC
PREFETCHE    ; Mb          ; n/a                     ;            0x0F 0x0D /0:mem        ; s:PREFETCH_NOP, t:PREFETCH, w:P
NOP          ; Ev,Gv       ; n/a                     ;            0x0F 0x0D /0:reg        ; s:PPRO, t:NOP, w:N|N
PREFETCHW    ; Mb          ; n/a                     ;            0x0F 0x0D /1:mem        ; s:PREFETCH_NOP, t:PREFETCH, w:P
NOP          ; Ev,Gv       ; n/a                     ;            0x0F 0x0D /1:reg        ; s:PPRO, t:NOP, w:N|N
PREFETCHWT1  ; Mb          ; n/a                     ;            0x0F 0x0D /2:mem        ; s:PREFETCH_NOP, t:PREFETCH, w:P
NOP          ; Ev,Gv       ; n/a                     ;            0x0F 0x0D /2:reg        ; s:PPRO, t:NOP, w:N|N
PREFETCHM    ; Mb          ; n/a                     ;            0x0F 0x0D /3:mem        ; s:PREFETCH_NOP, t:PREFETCH, w:P
NOP          ; Ev,Gv       ; n/a                     ;            0x0F 0x0D /3:reg        ; s:PPRO, t:NOP, w:N|N
PREFETCH     ; Mb          ; n/a                     ;            0x0F 0x0D /4:mem        ; s:PREFETCH_NOP, t:PREFETCH, w:P
NOP          ; Ev,Gv       ; n/a                     ;            0x0F 0x0D /4:reg        ; s:PPRO, t:NOP, w:N|N
PREFETCH     ; Mb          ; n/a                     ;            0x0F 0x0D /5:mem        ; s:PREFETCH_NOP, t:PREFETCH, w:P
NOP          ; Ev,Gv       ; n/a                     ;            0x0F 0x0D /5:reg        ; s:PPRO, t:NOP, w:N|N
PREFETCH     ; Mb          ; n/a                     ;            0x0F 0x0D /6:mem        ; s:PREFETCH_NOP, t:PREFETCH, w:P
NOP          ; Ev,Gv       ; n/a                     ;            0x0F 0x0D /6:reg        ; s:PPRO, t:NOP, w:N|N
PREFETCH     ; Mb          ; n/a                     ;            0x0F 0x0D /7:mem        ; s:PREFETCH_NOP, t:PREFETCH, w:P
NOP          ; Ev,Gv       ; n/a                     ;            0x0F 0x0D /7:reg        ; s:PPRO, t:NOP, w:N|N

FEMMS        ; n/a         ; n/a                     ;            0x0F 0x0E               ; s:3DNOW, t:MMX, c:FEMMS

# 0x10 - 0x1F
MOVUPS       ; Vps,Wps     ; n/a                     ;         NP 0x0F 0x10 /r            ; s:SSE, t:DATAXFER, w:W|R, e:4
MOVUPD       ; Vpd,Wpd     ; n/a                     ;       0x66 0x0F 0x10 /r            ; s:SSE2, t:DATAXFER, w:W|R, e:4
MOVSS        ; Vss,Wss     ; n/a                     ;       0xF3 0x0F 0x10 /r            ; s:SSE, t:DATAXFER, w:W|R, e:5
MOVSD        ; Vsd,Wsd     ; n/a                     ;       0xF2 0x0F 0x10 /r            ; s:SSE2, t:DATAXFER, w:W|R, e:5
MOVUPS       ; Wps,Vps     ; n/a                     ;         NP 0x0F 0x11 /r            ; s:SSE, t:DATAXFER, w:W|R, e:4
MOVUPD       ; Wpd,Vpd     ; n/a                     ;       0x66 0x0F 0x11 /r            ; s:SSE2, t:DATAXFER, w:W|R, e:4
MOVSS        ; Wss,Vss     ; n/a                     ;       0xF3 0x0F 0x11 /r            ; s:SSE, t:DATAXFER, w:W|R, e:5
MOVSD        ; Wsd,Vsd     ; n/a                     ;       0xF2 0x0F 0x11 /r            ; s:SSE2, t:DATAXFER, w:W|R, e:5
MOVHLPS      ; Vq,Wq       ; n/a                     ;         NP 0x0F 0x12 /r            ; s:SSE, t:DATAXFER, w:W|R, e:5
MOVLPD       ; Vsd,Mq      ; n/a                     ;       0x66 0x0F 0x12 /r:mem        ; s:SSE2, t:DATAXFER, w:W|R, e:5
MOVSLDUP     ; Vx,Wx       ; n/a                     ;       0xF3 0x0F 0x12 /r            ; s:SSE3, t:DATAXFER, w:W|R, e:4
MOVDDUP      ; Vdq,Wq      ; n/a                     ;       0xF2 0x0F 0x12 /r            ; s:SSE3, t:DATAXFER, w:W|R, e:5
MOVLPS       ; Mq,Vps      ; n/a                     ;         NP 0x0F 0x13 /r:mem        ; s:SSE, t:DATAXFER, w:W|R, e:5
MOVLPD       ; Mq,Vpd      ; n/a                     ;       0x66 0x0F 0x13 /r:mem        ; s:SSE2, t:DATAXFER, w:W|R, e:5
UNPCKLPS     ; Vx,Wx       ; n/a                     ;         NP 0x0F 0x14 /r            ; s:SSE, t:SSE, w:RW|R, e:4
UNPCKLPD     ; Vx,Wx       ; n/a                     ;       0x66 0x0F 0x14 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
UNPCKHPS     ; Vx,Wx       ; n/a                     ;         NP 0x0F 0x15 /r            ; s:SSE, t:SSE, w:RW|R, e:4
UNPCKHPD     ; Vx,Wx       ; n/a                     ;       0x66 0x0F 0x15 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
MOVHPS       ; Vq,Mq       ; n/a                     ;         NP 0x0F 0x16 /r:mem        ; s:SSE, t:DATAXFER, w:W|R, e:5
MOVLHPS      ; Vq,Uq       ; n/a                     ;         NP 0x0F 0x16 /r:reg        ; s:SSE, t:DATAXFER, w:W|R, e:7
MOVHPD       ; Vq,Mq       ; n/a                     ;       0x66 0x0F 0x16 /r:mem        ; s:SSE2, t:DATAXFER, w:W|R, e:5
MOVSHDUP     ; Vx,Wx       ; n/a                     ;       0xF3 0x0F 0x16 /r            ; s:SSE3, t:DATAXFER, w:W|R, e:4
MOVHPS       ; Mq,Vq       ; n/a                     ;         NP 0x0F 0x17 /r:mem        ; s:SSE, t:DATAXFER, w:W|R, e:5
MOVHPD       ; Mq,Vq       ; n/a                     ;       0x66 0x0F 0x17 /r:mem        ; s:SSE2, t:DATAXFER, w:W|R, e:5

# Default wide-nops/PREFETCH instructions.
PREFETCHNTA  ; Mb          ; n/a                     ;            0x0F 0x18 /0:mem        ; s:SSE, t:PREFETCH, w:P
NOP          ; Ev          ; n/a                     ;            0x0F 0x18 /0:reg        ; s:PPRO, t:WIDENOP, w:N
PREFETCHT0   ; Mb          ; n/a                     ;            0x0F 0x18 /1:mem        ; s:SSE, t:PREFETCH, w:P
NOP          ; Ev          ; n/a                     ;            0x0F 0x18 /1:reg        ; s:PPRO, t:WIDENOP, w:N
PREFETCHT1   ; Mb          ; n/a                     ;            0x0F 0x18 /2:mem        ; s:SSE, t:PREFETCH, w:P
NOP          ; Ev          ; n/a                     ;            0x0F 0x18 /2:reg        ; s:PPRO, t:WIDENOP, w:N
PREFETCHT2   ; Mb          ; n/a                     ;            0x0F 0x18 /3:mem        ; s:SSE, t:PREFETCH, w:P
NOP          ; Ev          ; n/a                     ;            0x0F 0x18 /3:reg        ; s:PPRO, t:WIDENOP, w:N
NOP          ; Ev          ; n/a                     ;            0x0F 0x18 /4            ; s:PPRO, t:WIDENOP, w:N
NOP          ; Ev          ; n/a                     ;            0x0F 0x18 /5            ; s:PPRO, t:WIDENOP, w:N
NOP          ; Ev          ; n/a                     ;            0x0F 0x18 /6            ; s:PPRO, t:WIDENOP, w:N
NOP          ; Ev          ; n/a                     ;            0x0F 0x18 /7            ; s:PPRO, t:WIDENOP, w:N
NOP          ; Ev          ; n/a                     ;            0x0F 0x19 /r            ; s:PPRO, t:WIDENOP, w:N

# PREFETCHITI instructions. Most of them duplicates of the above, since they are also present when the PREFETCHIT feature
# is enabled (which applies to the entire opcode).
PREFETCHNTA  ; Mb          ; n/a                     ;       piti 0x0F 0x18 /0:mem        ; s:SSE, t:PREFETCH, w:P
NOP          ; Ev          ; n/a                     ;       piti 0x0F 0x18 /0:reg        ; s:PPRO, t:WIDENOP, w:N
PREFETCHT0   ; Mb          ; n/a                     ;       piti 0x0F 0x18 /1:mem        ; s:SSE, t:PREFETCH, w:P
NOP          ; Ev          ; n/a                     ;       piti 0x0F 0x18 /1:reg        ; s:PPRO, t:WIDENOP, w:N
PREFETCHT1   ; Mb          ; n/a                     ;       piti 0x0F 0x18 /2:mem        ; s:SSE, t:PREFETCH, w:P
NOP          ; Ev          ; n/a                     ;       piti 0x0F 0x18 /2:reg        ; s:PPRO, t:WIDENOP, w:N
PREFETCHT2   ; Mb          ; n/a                     ;       piti 0x0F 0x18 /3:mem        ; s:SSE, t:PREFETCH, w:P
NOP          ; Ev          ; n/a                     ;       piti 0x0F 0x18 /3:reg        ; s:PPRO, t:WIDENOP, w:N
NOP          ; Ev          ; n/a                     ;       piti 0x0F 0x18 /4            ; s:PPRO, t:WIDENOP, w:N
NOP          ; Ev          ; n/a                     ;       piti 0x0F 0x18 /5            ; s:PPRO, t:WIDENOP, w:N
PREFETCHIT1  ; Mb          ; n/a                     ;piti riprel 0x0F 0x18 /6:mem        ; s:PREFETCHITI, t:PREFETCH, w:N, m:O64
NOP          ; Ev          ; n/a                     ;       piti 0x0F 0x18 /6:mem        ; s:PPRO, t:WIDENOP, w:N
NOP          ; Ev          ; n/a                     ;       piti 0x0F 0x18 /6:reg        ; s:PPRO, t:WIDENOP, w:N
PREFETCHIT0  ; Mb          ; n/a                     ;piti riprel 0x0F 0x18 /7:mem        ; s:PREFETCHITI, t:PREFETCH, w:N, m:O64
NOP          ; Ev          ; n/a                     ;       piti 0x0F 0x18 /7:mem        ; s:PPRO, t:WIDENOP, w:N
NOP          ; Ev          ; n/a                     ;       piti 0x0F 0x18 /7:reg        ; s:PPRO, t:WIDENOP, w:N


# MPX instructions. According to the SDM, MPX instructions have 64 bit op & address size in 64 bit mode, no matter 
# if 0x66 or 0x67 prefixes are used. 16 bit addressing cause #UD. However, these checks are not handled here.

# MPX not used, these guys are wide NOPs.
NOP          ; Ev,Gv       ; n/a                     ;            0x0F 0x1A /r            ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Gv,Ev       ; n/a                     ;            0x0F 0x1B /r            ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Ev,Gv       ; n/a                     ;            0x0F 0x1C /r            ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Ev,Gv       ; n/a                     ;            0x0F 0x1D /r            ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Ev,Gv       ; n/a                     ;            0x0F 0x1E /r            ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Ev,Gv       ; n/a                     ;            0x0F 0x1F /r            ; s:PPRO, t:WIDENOP, w:N|N

# Features that are mapped onto wide NOPs.

# MPX
BNDLDX       ; rBl,Mmib    ; n/a                     ;        mpx 0x0F 0x1A /r:mem mib    ; s:MPX, t:MPX, w:W|R, a:AG|NOA16|NORIPREL|I67
NOP          ; Gv,Ev       ; n/a                     ;        mpx 0x0F 0x1A /r:reg        ; s:PPRO, t:WIDENOP, w:N|N
BNDMOV       ; rBl,mBl     ; n/a                     ;   mpx 0x66 0x0F 0x1A /r            ; s:MPX, t:MPX, w:W|R, a:NOA16|I67
BNDCL        ; rBl,Ey      ; n/a                     ;   mpx 0xF3 0x0F 0x1A /r            ; s:MPX, t:MPX, w:R|R, a:AG|F64|I67
BNDCU        ; rBl,Ey      ; n/a                     ;   mpx 0xF2 0x0F 0x1A /r            ; s:MPX, t:MPX, w:R|R, a:AG|F64|I67
BNDSTX       ; Mmib,rBl    ; n/a                     ;        mpx 0x0F 0x1B /r:mem mib    ; s:MPX, t:MPX, w:W|R, a:AG|NOA16|NORIPREL|I67
NOP          ; Gv,Ev       ; n/a                     ;        mpx 0x0F 0x1B /r:reg        ; s:PPRO, t:WIDENOP, w:N|N
BNDMOV       ; mBl,rBl     ; n/a                     ;   mpx 0x66 0x0F 0x1B /r            ; s:MPX, t:MPX, w:W|R, a:NOA16|I67
BNDMK        ; rBl,My      ; n/a                     ;   mpx 0xF3 0x0F 0x1B /r:mem        ; s:MPX, t:MPX, w:W|R, a:F64|NOA16|NORIPREL|I67
NOP          ; Gv,Ev       ; n/a                     ;   mpx 0xF3 0x0F 0x1B /r:reg        ; s:PPRO, t:WIDENOP, w:N|N
