#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x10 - 0x1F
VMOVUPS           ; Vfv{K}{z},Wfv               ; n/a     ; evex m:1 p:0 l:x w:0 0x10 /r            ; s:AVX512F, t:DATAXFER, l:fvm, e:E4nb, w:W|R|R
VUNPCKHPS         ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:1 p:0 l:x w:0 0x15 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4NF, w:W|R|R|R
VUNPCKHPD         ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:1 p:1 l:x w:1 0x15 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4NF, w:W|R|R|R
VMOVHPS           ; Vdq,Hdq,Mq                  ; n/a     ; evex m:1 p:0 l:0 w:0 0x16 /r:mem        ; s:AVX512F, t:DATAXFER, l:t2, e:E9NF, w:W|R|R
VMOVLHPS          ; Vdq,Hdq,Udq                 ; n/a     ; evex m:1 p:0 l:0 w:0 0x16 /r:reg        ; s:AVX512F, t:DATAXFER, e:E7NM, w:W|R|R
VMOVHPD           ; Vdq,Hdq,Mq                  ; n/a     ; evex m:1 p:1 l:0 w:1 0x16 /r:mem        ; s:AVX512F, t:DATAXFER, l:t1s, e:E9NF, w:W|R|R
VMOVSHDUP         ; Vfv{K}{z},Wfv               ; n/a     ; evex m:1 p:2 l:x w:0 0x16 /r            ; s:AVX512F, t:DATAXFER, l:fvm, e:E4NFnb, w:W|R|R
VMOVHPS           ; Mq,Vdq                      ; n/a     ; evex m:1 p:0 l:0 w:0 0x17 /r:mem        ; s:AVX512F, t:DATAXFER, l:t2, e:E9NF, w:W|R
VMOVHPD           ; Mq,Vdq                      ; n/a     ; evex m:1 p:1 l:0 w:1 0x17 /r:mem        ; s:AVX512F, t:DATAXFER, l:t1s, e:E9NF, w:W|R

# 0x20 - 0x2F
VMOVAPS           ; Vfv{K}{z},Wfv               ; n/a     ; evex m:1 p:0 l:x w:0 0x28 /r            ; s:AVX512F, t:DATAXFER, l:fvm, e:E1, w:W|R|R
VMOVAPD           ; Vfv{K}{z},Wfv               ; n/a     ; evex m:1 p:1 l:x w:1 0x28 /r            ; s:AVX512F, t:DATAXFER, l:fvm, e:E1, w:W|R|R
VMOVAPS           ; Wfv{K}{z},Vfv               ; n/a     ; evex m:1 p:0 l:x w:0 0x29 /r            ; s:AVX512F, t:DATAXFER, l:fvm, e:E1, w:W|R|R
VMOVAPD           ; Wfv{K}{z},Vfv               ; n/a     ; evex m:1 p:1 l:x w:1 0x29 /r            ; s:AVX512F, t:DATAXFER, l:fvm, e:E1, w:W|R|R
VCVTSI2SS         ; Vdq,Hdq{er},Ey              ; n/a     ; evex m:1 p:2 l:i w:x 0x2A /r            ; s:AVX512F, t:CONVERT, l:t1s, e:E3, w:W|R|R, a:IWO64
VCVTSI2SD         ; Vdq,Hdq,Ey                  ; n/a     ; evex m:1 p:3 l:i w:0 0x2A /r            ; s:AVX512F, t:CONVERT, l:t1s, e:E10NF, w:W|R|R, a:IER|IWO64
VCVTSI2SD         ; Vdq,Hdq{er},Ey              ; n/a     ; evex m:1 p:3 l:i w:1 0x2A /r            ; s:AVX512F, t:CONVERT, l:t1s, e:E3, w:W|R|R, a:IWO64
VMOVNTPS          ; Mfv,Vfv                     ; n/a     ; evex m:1 p:0 l:x w:0 0x2B /r:mem        ; s:AVX512F, t:DATAXFER, l:fvm, e:E1NF, w:W|R
VMOVNTPD          ; Mfv,Vfv                     ; n/a     ; evex m:1 p:1 l:x w:1 0x2B /r:mem        ; s:AVX512F, t:DATAXFER, l:fvm, e:E1NF, w:W|R
VCVTTSS2SI        ; Gy,Wss{sae}                 ; n/a     ; evex m:1 p:2 l:i w:x 0x2C /r            ; s:AVX512F, t:CONVERT, l:t1f, e:E3, w:W|R, a:IWO64
VCVTTSD2SI        ; Gy,Wsd{sae}                 ; n/a     ; evex m:1 p:3 l:i w:x 0x2C /r            ; s:AVX512F, t:CONVERT, l:t1f, e:E3, w:W|R, a:IWO64
VCVTSS2SI         ; Gy,Wss{er}                  ; n/a     ; evex m:1 p:2 l:i w:x 0x2D /r            ; s:AVX512F, t:CONVERT, l:t1f, e:E3, w:W|R, a:IWO64
VCVTSD2SI         ; Gy,Wsd{er}                  ; n/a     ; evex m:1 p:3 l:i w:x 0x2D /r            ; s:AVX512F, t:CONVERT, l:t1f, e:E3, w:W|R, a:IWO64
VUCOMISS          ; Vdq,Wss{sae}                ; Fv      ; evex m:1 p:0 l:i w:0 0x2E /r            ; s:AVX512F, t:AVX512, l:t1s, w:R|R|W, e:E3, f:COMIS
VUCOMISD          ; Vdq,Wsd{sae}                ; Fv      ; evex m:1 p:1 l:i w:1 0x2E /r            ; s:AVX512F, t:AVX512, l:t1s, w:R|R|W, e:E3, f:COMIS
VCOMISS           ; Vdq,Wss{sae}                ; Fv      ; evex m:1 p:0 l:i w:0 0x2F /r            ; s:AVX512F, t:AVX512, l:t1s, w:R|R|W, e:E3, f:COMIS
VCOMISD           ; Vdq,Wsd{sae}                ; Fv      ; evex m:1 p:1 l:i w:1 0x2F /r            ; s:AVX512F, t:AVX512, l:t1s, w:R|R|W, e:E3, f:COMIS

# 0x50 - 0x5F
VSQRTPS           ; Vfv{K}{z},Wfv|B32{er}       ; n/a     ; evex m:1 p:0 l:x w:0 0x51 /r            ; s:AVX512F, t:AVX512, l:fv, e:E2, w:W|R|R
VSQRTPD           ; Vfv{K}{z},Wfv|B64{er}       ; n/a     ; evex m:1 p:1 l:x w:1 0x51 /r            ; s:AVX512F, t:AVX512, l:fv, e:E2, w:W|R|R
VSQRTSS           ; Vdq{K}{z},Hdq,Wss{er}       ; n/a     ; evex m:1 p:2 l:i w:0 0x51 /r            ; s:AVX512F, t:AVX512, l:t1s, e:E3, w:W|R|R|R
VSQRTSD           ; Vdq{K}{z},Hdq,Wsd{er}       ; n/a     ; evex m:1 p:3 l:i w:1 0x51 /r            ; s:AVX512F, t:AVX512, l:t1s, e:E3, w:W|R|R|R
VANDPS            ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:1 p:0 l:x w:0 0x54 /r            ; s:AVX512DQ, t:LOGICAL_FP, l:fv, e:E4, w:W|R|R|R
VANDPD            ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:1 p:1 l:x w:1 0x54 /r            ; s:AVX512DQ, t:LOGICAL_FP, l:fv, e:E4, w:W|R|R|R
VANDNPS           ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:1 p:0 l:x w:0 0x55 /r            ; s:AVX512DQ, t:LOGICAL_FP, l:fv, e:E4, w:W|R|R|R
VANDNPD           ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:1 p:1 l:x w:1 0x55 /r            ; s:AVX512DQ, t:LOGICAL_FP, l:fv, e:E4, w:W|R|R|R
VORPS             ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:1 p:0 l:x w:0 0x56 /r            ; s:AVX512DQ, t:LOGICAL_FP, l:fv, e:E4, w:W|R|R|R
VORPD             ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:1 p:1 l:x w:1 0x56 /r            ; s:AVX512DQ, t:LOGICAL_FP, l:fv, e:E4, w:W|R|R|R
VXORPS            ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:1 p:0 l:x w:0 0x57 /r            ; s:AVX512DQ, t:LOGICAL_FP, l:fv, e:E4, w:W|R|R|R
VXORPD            ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:1 p:1 l:x w:1 0x57 /r            ; s:AVX512DQ, t:LOGICAL_FP, l:fv, e:E4, w:W|R|R|R
VADDPS            ; Vfv{K}{z},Hfv,Wfv|B32{er}   ; n/a     ; evex m:1 p:0 l:x w:0 0x58 /r            ; s:AVX512F, t:AVX512, l:fv, e:E2, w:W|R|R|R
VADDPD            ; Vfv{K}{z},Hfv,Wfv|B64{er}   ; n/a     ; evex m:1 p:1 l:x w:1 0x58 /r            ; s:AVX512F, t:AVX512, l:fv, e:E2, w:W|R|R|R
VADDSS            ; Vdq{K}{z},Hdq,Wss{er}       ; n/a     ; evex m:1 p:2 l:i w:0 0x58 /r            ; s:AVX512F, t:AVX512, l:t1s, e:E3, w:W|R|R|R
VADDSD            ; Vdq{K}{z},Hdq,Wsd{er}       ; n/a     ; evex m:1 p:3 l:i w:1 0x58 /r            ; s:AVX512F, t:AVX512, l:t1s, e:E3, w:W|R|R|R
VMULPS            ; Vfv{K}{z},Hfv,Wfv|B32{er}   ; n/a     ; evex m:1 p:0 l:x w:0 0x59 /r            ; s:AVX512F, t:AVX512, l:fv, e:E2, w:W|R|R|R
VMULPD            ; Vfv{K}{z},Hfv,Wfv|B64{er}   ; n/a     ; evex m:1 p:1 l:x w:1 0x59 /r            ; s:AVX512F, t:AVX512, l:fv, e:E2, w:W|R|R|R
VMULSS            ; Vdq{K}{z},Hdq,Wss{er}       ; n/a     ; evex m:1 p:2 l:i w:0 0x59 /r            ; s:AVX512F, t:AVX512, l:t1s, e:E3, w:W|R|R|R
VMULSD            ; Vdq{K}{z},Hdq,Wsd{er}       ; n/a     ; evex m:1 p:3 l:i w:1 0x59 /r            ; s:AVX512F, t:AVX512, l:t1s, e:E3, w:W|R|R|R
VCVTPS2PD         ; Vfv{K}{z},Whv|B32{sae}      ; n/a     ; evex m:1 p:0 l:x w:0 0x5A /r            ; s:AVX512F, t:CONVERT, l:hv, e:E3, w:W|R|R
VCVTPD2PS         ; Vhv{K}{z},Wfv|B64{er}       ; n/a     ; evex m:1 p:1 l:x w:1 0x5A /r            ; s:AVX512F, t:CONVERT, l:fv, e:E2, w:W|R|R
VCVTSS2SD         ; Vdq{K}{z},Hdq,Wss{sae}      ; n/a     ; evex m:1 p:2 l:i w:0 0x5A /r            ; s:AVX512F, t:CONVERT, l:t1s, e:E3, w:W|R|R|R
VCVTSD2SS         ; Vdq{K}{z},Hdq,Wsd{er}       ; n/a     ; evex m:1 p:3 l:i w:1 0x5A /r            ; s:AVX512F, t:CONVERT, l:t1s, e:E3, w:W|R|R|R
VCVTDQ2PS         ; Vfv{K}{z},Wfv|B32{er}       ; n/a     ; evex m:1 p:0 l:x w:0 0x5B /r            ; s:AVX512F, t:CONVERT, l:fv, e:E2, w:W|R|R
VCVTQQ2PS         ; Vhv{K}{z},Wfv|B64{er}       ; n/a     ; evex m:1 p:0 l:x w:1 0x5B /r            ; s:AVX512DQ, t:CONVERT, l:fv, e:E2, w:W|R|R
VCVTPS2DQ         ; Vfv{K}{z},Wfv|B32{er}       ; n/a     ; evex m:1 p:1 l:x w:0 0x5B /r            ; s:AVX512F, t:CONVERT, l:fv, e:E2, w:W|R|R
VCVTTPS2DQ        ; Vfv{K}{z},Wfv|B32{sae}      ; n/a     ; evex m:1 p:2 l:x w:0 0x5B /r            ; s:AVX512F, t:CONVERT, l:fv, e:E2, w:W|R|R
VSUBPS            ; Vfv{K}{z},Hfv,Wfv|B32{er}   ; n/a     ; evex m:1 p:0 l:x w:0 0x5C /r            ; s:AVX512F, t:AVX512, l:fv, e:E2, w:W|R|R|R
VSUBPD            ; Vfv{K}{z},Hfv,Wfv|B64{er}   ; n/a     ; evex m:1 p:1 l:x w:1 0x5C /r            ; s:AVX512F, t:AVX512, l:fv, e:E2, w:W|R|R|R
VSUBSS            ; Vdq{K}{z},Hdq,Wss{er}       ; n/a     ; evex m:1 p:2 l:i w:0 0x5C /r            ; s:AVX512F, t:AVX512, l:t1s, e:E3, w:W|R|R|R
VSUBSD            ; Vdq{K}{z},Hdq,Wsd{er}       ; n/a     ; evex m:1 p:3 l:i w:1 0x5C /r            ; s:AVX512F, t:AVX512, l:t1s, e:E3, w:W|R|R|R
VMINPS            ; Vfv{K}{z},Hfv,Wfv|B32{sae}  ; n/a     ; evex m:1 p:0 l:x w:0 0x5D /r            ; s:AVX512F, t:AVX512, l:fv, e:E2, w:W|R|R|R
VMINPD            ; Vfv{K}{z},Hfv,Wfv|B64{sae}  ; n/a     ; evex m:1 p:1 l:x w:1 0x5D /r            ; s:AVX512F, t:AVX512, l:fv, e:E2, w:W|R|R|R
VMINSS            ; Vdq{K}{z},Hdq,Wss{sae}      ; n/a     ; evex m:1 p:2 l:i w:0 0x5D /r            ; s:AVX512F, t:AVX512, l:t1s, e:E3, w:W|R|R|R
VMINSD            ; Vdq{K}{z},Hdq,Wsd{sae}      ; n/a     ; evex m:1 p:3 l:i w:1 0x5D /r            ; s:AVX512F, t:AVX512, l:t1s, e:E3, w:W|R|R|R
VDIVPS            ; Vfv{K}{z},Hfv,Wfv|B32{er}   ; n/a     ; evex m:1 p:0 l:x w:0 0x5E /r            ; s:AVX512F, t:AVX512, l:fv, e:E2, w:W|R|R|R
VDIVPD            ; Vfv{K}{z},Hfv,Wfv|B64{er}   ; n/a     ; evex m:1 p:1 l:x w:1 0x5E /r            ; s:AVX512F, t:AVX512, l:fv, e:E2, w:W|R|R|R
VDIVSS            ; Vdq{K}{z},Hdq,Wss{er}       ; n/a     ; evex m:1 p:2 l:i w:0 0x5E /r            ; s:AVX512F, t:AVX512, l:t1s, e:E3, w:W|R|R|R
VDIVSD            ; Vdq{K}{z},Hdq,Wsd{er}       ; n/a     ; evex m:1 p:3 l:i w:1 0x5E /r            ; s:AVX512F, t:AVX512, l:t1s, e:E3, w:W|R|R|R
VMAXPS            ; Vfv{K}{z},Hfv,Wfv|B32{sae}  ; n/a     ; evex m:1 p:0 l:x w:0 0x5F /r            ; s:AVX512F, t:AVX512, l:fv, e:E2, w:W|R|R|R
VMAXPD            ; Vfv{K}{z},Hfv,Wfv|B64{sae}  ; n/a     ; evex m:1 p:1 l:x w:1 0x5F /r            ; s:AVX512F, t:AVX512, l:fv, e:E2, w:W|R|R|R
VMAXSS            ; Vdq{K}{z},Hdq,Wss{sae}      ; n/a     ; evex m:1 p:2 l:i w:0 0x5F /r            ; s:AVX512F, t:AVX512, l:t1s, e:E3, w:W|R|R|R
VMAXSD            ; Vdq{K}{z},Hdq,Wsd{sae}      ; n/a     ; evex m:1 p:3 l:i w:1 0x5F /r            ; s:AVX512F, t:AVX512, l:t1s, e:E3, w:W|R|R|R

# 0x60 - 0x6F
VPUNPCKLBW        ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:1 p:1 l:x w:x 0x60 /r            ; s:AVX512BW, t:AVX512, l:fvm, e:E4NFnb, w:W|R|R|R
VPUNPCKLWD        ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:1 p:1 l:x w:x 0x61 /r            ; s:AVX512BW, t:AVX512, l:fvm, e:E4NFnb, w:W|R|R|R
VPUNPCKLDQ        ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:1 p:1 l:x w:0 0x62 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4NF, w:W|R|R|R
VPACKSSWB         ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:1 p:1 l:x w:i 0x63 /r            ; s:AVX512BW, t:AVX512, l:fvm, e:E4NFnb, w:W|R|R|R
VPCMPGTB          ; rKq{K},Hfv,Wfv              ; n/a     ; evex m:1 p:1 l:x w:i 0x64 /r            ; s:AVX512BW, t:AVX512, l:fvm, e:E4nb, w:W|R|R|R
VPCMPGTW          ; rKq{K},Hfv,Wfv              ; n/a     ; evex m:1 p:1 l:x w:i 0x65 /r            ; s:AVX512BW, t:AVX512, l:fvm, e:E4nb, w:W|R|R|R
VPCMPGTD          ; rKq{K},Hfv,Wfv|B32          ; n/a     ; evex m:1 p:1 l:x w:0 0x66 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPACKUSWB         ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:1 p:1 l:x w:i 0x67 /r            ; s:AVX512BW, t:AVX512, l:fvm, e:E4NFnb, w:W|R|R|R
VPUNPCKHBW        ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:1 p:1 l:x w:i 0x68 /r            ; s:AVX512BW, t:AVX512, l:fvm, e:E4NFnb, w:W|R|R|R
VPUNPCKHWD        ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:1 p:1 l:x w:i 0x69 /r            ; s:AVX512BW, t:AVX512, l:fvm, e:E4NFnb, w:W|R|R|R
VPUNPCKHDQ        ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:1 p:1 l:x w:0 0x6A /r            ; s:AVX512F, t:AVX512, l:fv, e:E4NF, w:W|R|R|R
VPACKSSDW         ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:1 p:1 l:x w:0 0x6B /r            ; s:AVX512BW, t:AVX512, l:fv, e:E4NF, w:W|R|R|R
VPUNPCKLQDQ       ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:1 p:1 l:x w:1 0x6C /r            ; s:AVX512F, t:AVX512, l:fv, e:E4NF, w:W|R|R|R
VPUNPCKHQDQ       ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:1 p:1 l:x w:1 0x6D /r            ; s:AVX512F, t:AVX512, l:fv, e:E4NF, w:W|R|R|R
VMOVD             ; Vdq,Ed                      ; n/a     ; evex m:1 p:1 l:0 w:0 0x6E /r            ; s:AVX512F, t:DATAXFER, l:t1s, e:E9NF, w:W|R, a:IWO64
VMOVQ             ; Vdq,Eq                      ; n/a     ; evex m:1 p:1 l:0 w:1 0x6E /r            ; s:AVX512F, t:DATAXFER, l:t1s, e:E9NF, w:W|R, a:IWO64
VMOVDQA32         ; Vfv{K}{z},Wfv               ; n/a     ; evex m:1 p:1 l:x w:0 0x6F /r            ; s:AVX512F, t:DATAXFER, l:fvm, e:E1, w:W|R|R
VMOVDQA64         ; Vfv{K}{z},Wfv               ; n/a     ; evex m:1 p:1 l:x w:1 0x6F /r            ; s:AVX512F, t:DATAXFER, l:fvm, e:E1, w:W|R|R
VMOVDQU32         ; Vfv{K}{z},Wfv               ; n/a     ; evex m:1 p:2 l:x w:0 0x6F /r            ; s:AVX512F, t:DATAXFER, l:fvm, e:E4nb, w:W|R|R
VMOVDQU64         ; Vfv{K}{z},Wfv               ; n/a     ; evex m:1 p:2 l:x w:1 0x6F /r            ; s:AVX512F, t:DATAXFER, l:fvm, e:E4nb, w:W|R|R
VMOVDQU8          ; Vfv{K}{z},Wfv               ; n/a     ; evex m:1 p:3 l:x w:0 0x6F /r            ; s:AVX512BW, t:DATAXFER, l:fvm, e:E4nb, w:W|R|R
VMOVDQU16         ; Vfv{K}{z},Wfv               ; n/a     ; evex m:1 p:3 l:x w:1 0x6F /r            ; s:AVX512BW, t:DATAXFER, l:fvm, e:E4nb, w:W|R|R

# 0x70 - 0x7F
VPSHUFD           ; Vfv{K}{z},Wfv|B32,Ib        ; n/a     ; evex m:1 p:1 l:x w:0 0x70 /r ib         ; s:AVX512F, t:AVX512, l:fv, e:E4NF, w:W|R|R|R
VPSHUFHW          ; Vfv{K}{z},Wfv,Ib            ; n/a     ; evex m:1 p:2 l:x w:i 0x70 /r ib         ; s:AVX512BW, t:AVX512, l:fvm, e:E4NFnb, w:W|R|R|R
VPSHUFLW          ; Vfv{K}{z},Wfv,Ib            ; n/a     ; evex m:1 p:3 l:x w:i 0x70 /r ib         ; s:AVX512BW, t:AVX512, l:fvm, e:E4NFnb, w:W|R|R|R
VPSRLW            ; Hfv{K}{z},Wfv,Ib            ; n/a     ; evex m:1 p:1 l:x w:i 0x71 /2 ib         ; s:AVX512BW, t:AVX512, l:fvm, e:E4nb, w:W|R|R|R
VPSRAW            ; Hfv{K}{z},Wfv,Ib            ; n/a     ; evex m:1 p:1 l:x w:i 0x71 /4 ib         ; s:AVX512BW, t:AVX512, l:fvm, e:E4nb, w:W|R|R|R
VPSLLW            ; Hfv{K}{z},Wfv,Ib            ; n/a     ; evex m:1 p:1 l:x w:i 0x71 /6 ib         ; s:AVX512BW, t:AVX512, l:fvm, e:E4nb, w:W|R|R|R
VPRORD            ; Hfv{K}{z},Wfv|B32,Ib        ; n/a     ; evex m:1 p:1 l:x w:0 0x72 /0 ib         ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPRORQ            ; Hfv{K}{z},Wfv|B64,Ib        ; n/a     ; evex m:1 p:1 l:x w:1 0x72 /0 ib         ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPROLD            ; Hfv{K}{z},Wfv|B32,Ib        ; n/a     ; evex m:1 p:1 l:x w:0 0x72 /1 ib         ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPROLQ            ; Hfv{K}{z},Wfv|B64,Ib        ; n/a     ; evex m:1 p:1 l:x w:1 0x72 /1 ib         ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPSRLD            ; Hfv{K}{z},Wfv|B32,Ib        ; n/a     ; evex m:1 p:1 l:x w:0 0x72 /2 ib         ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPSRAD            ; Hfv{K}{z},Wfv|B32,Ib        ; n/a     ; evex m:1 p:1 l:x w:0 0x72 /4 ib         ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPSRAQ            ; Hfv{K}{z},Wfv|B64,Ib        ; n/a     ; evex m:1 p:1 l:x w:1 0x72 /4 ib         ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPSLLD            ; Hfv{K}{z},Wfv|B32,Ib        ; n/a     ; evex m:1 p:1 l:x w:0 0x72 /6 ib         ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPSRLQ            ; Hfv{K}{z},Wfv|B64,Ib        ; n/a     ; evex m:1 p:1 l:x w:1 0x73 /2 ib         ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPSRLDQ           ; Hfv,Wfv,Ib                  ; n/a     ; evex m:1 p:1 l:x w:i 0x73 /3 ib         ; s:AVX512BW, t:AVX512, l:fvm, e:E4NFnb, w:W|R|R
VPSLLQ            ; Hfv{K}{z},Wfv|B64,Ib        ; n/a     ; evex m:1 p:1 l:x w:1 0x73 /6 ib         ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPSLLDQ           ; Hfv,Wfv,Ib                  ; n/a     ; evex m:1 p:1 l:x w:i 0x73 /7 ib         ; s:AVX512BW, t:AVX512, l:fvm, e:E4NFnb, w:W|R|R
VPCMPEQB          ; rKq{K},Hfv,Wfv              ; n/a     ; evex m:1 p:1 l:x w:i 0x74 /r            ; s:AVX512BW, t:AVX512, l:fvm, e:E4nb, w:W|R|R|R
VPCMPEQW          ; rKq{K},Hfv,Wfv              ; n/a     ; evex m:1 p:1 l:x w:i 0x75 /r            ; s:AVX512BW, t:AVX512, l:fvm, e:E4nb, w:W|R|R|R
VPCMPEQD          ; rKq{K},Hfv,Wfv|B32          ; n/a     ; evex m:1 p:1 l:x w:i 0x76 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
