#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x00 - 0x0F
VPERMQ            ; Vqq,Wqq,Ib          ;                 ;  vex m:3 p:1 l:1 w:1 0x00 /r ib       ; s:AVX2, t:AVX2, w:W|R|R, e:4
VPEXTRB           ; Ry,Vdq,Ib           ;                 ;  vex m:3 p:1 l:0 w:i 0x14 /r:reg ib   ; s:AVX, t:AVX, w:W|R|R, e:5, a:D64
VPEXTRW           ; Mw,Vdq,Ib           ;                 ;  vex m:3 p:1 l:0 w:i 0x15 /r:mem ib   ; s:AVX, t:AVX, w:W|R|R, e:5
VPEXTRW           ; Ry,Vdq,Ib           ;                 ;  vex m:3 p:1 l:0 w:i 0x15 /r:reg ib   ; s:AVX, t:AVX, w:W|R|R, e:5, a:D64
VPEXTRD           ; Md,Vdq,Ib           ;                 ;  vex m:3 p:1 l:0 w:0 0x16 /r:mem ib   ; s:AVX, t:AVX, w:W|R|R, e:5, a:IWO64
VPEXTRD           ; Ry,Vdq,Ib           ;                 ;  vex m:3 p:1 l:0 w:0 0x16 /r:reg ib   ; s:AVX, t:AVX, w:W|R|R, e:5, a:IWO64|D64
VPEXTRQ           ; Mq,Vdq,Ib           ;                 ;  vex m:3 p:1 l:0 w:1 0x16 /r:mem ib   ; s:AVX, t:AVX, w:W|R|R, e:5, a:IWO64
VPEXTRQ           ; Ry,Vdq,Ib           ;                 ;  vex m:3 p:1 l:0 w:1 0x16 /r:reg ib   ; s:AVX, t:AVX, w:W|R|R, e:5, a:IWO64
VEXTRACTPS        ; Md,Vdq,Ib           ;                 ;  vex m:3 p:1 l:0 w:i 0x17 /r:mem ib   ; s:AVX, t:AVX, w:W|R|R, e:5
VEXTRACTPS        ; Ry,Vdq,Ib           ;                 ;  vex m:3 p:1 l:0 w:i 0x17 /r:reg ib   ; s:AVX, t:AVX, w:W|R|R, e:5
VINSERTF128       ; Vqq,Hqq,Wdq,Ib      ;                 ;  vex m:3 p:1 l:1 w:0 0x18 /r ib       ; s:AVX, t:AVX, w:W|R|R|R, e:6
VEXTRACTF128      ; Wdq,Vqq,Ib          ;                 ;  vex m:3 p:1 l:1 w:0 0x19 /r ib       ; s:AVX, t:AVX, w:W|R|R, e:6
VCVTPS2PH         ; Wq,Vdq,Ib           ;                 ;  vex m:3 p:1 l:0 w:0 0x1D /r ib       ; s:F16C, t:CONVERT, w:W|R|R, e:11, x:IE|OE|UE|PE|DE
VCVTPS2PH         ; Wdq,Vqq,Ib          ;                 ;  vex m:3 p:1 l:1 w:0 0x1D /r ib       ; s:F16C, t:CONVERT, w:W|R|R, e:11, x:IE|OE|UE|PE|DE

# 0x20 - 0x2F
VPINSRB           ; Vdq,Hdq,Mb,Ib       ;                 ;  vex m:3 p:1 l:0 w:i 0x20 /r:mem ib   ; s:AVX, t:AVX, w:W|R|R|R, e:5
VPINSRB           ; Vdq,Hdq,Rd,Ib       ;                 ;  vex m:3 p:1 l:0 w:i 0x20 /r:reg ib   ; s:AVX, t:AVX, w:W|R|R|R, e:5
VINSERTPS         ; Vdq,Hdq,Md,Ib       ;                 ;  vex m:3 p:1 l:0 w:i 0x21 /r:mem ib   ; s:AVX, t:AVX, w:W|R|R|R, e:5
VINSERTPS         ; Vdq,Hdq,Udq,Ib      ;                 ;  vex m:3 p:1 l:0 w:i 0x21 /r:reg ib   ; s:AVX, t:AVX, w:W|R|R|R, e:5
VPINSRD           ; Vdq,Hdq,Ey,Ib       ;                 ;  vex m:3 p:1 l:0 w:0 0x22 /r ib       ; s:AVX, t:AVX, w:W|R|R|R, e:5, a:IWO64
VPINSRQ           ; Vdq,Hdq,Ey,Ib       ;                 ;  vex m:3 p:1 l:0 w:1 0x22 /r ib       ; s:AVX, t:AVX, w:W|R|R|R, e:5, a:IWO64

# 0x30 - 0x3F
KSHIFTRW          ; rKw,mKw,Ib          ;                 ;  vex m:3 p:1 l:0 w:1 0x30 /r:reg ib   ; s:AVX512F, t:KMASK, c:KSHIFTR, w:W|R|R, e:K20
KSHIFTRB          ; rKb,mKb,Ib          ;                 ;  vex m:3 p:1 l:0 w:0 0x30 /r:reg ib   ; s:AVX512DQ, t:KMASK, c:KSHIFTR, w:W|R|R, e:K20
KSHIFTRQ          ; rKq,mKq,Ib          ;                 ;  vex m:3 p:1 l:0 w:1 0x31 /r:reg ib   ; s:AVX512BW, t:KMASK, c:KSHIFTR, w:W|R|R, e:K20
KSHIFTRD          ; rKd,mKd,Ib          ;                 ;  vex m:3 p:1 l:0 w:0 0x31 /r:reg ib   ; s:AVX512BW, t:KMASK, c:KSHIFTR, w:W|R|R, e:K20
KSHIFTLW          ; rKw,mKw,Ib          ;                 ;  vex m:3 p:1 l:0 w:1 0x32 /r:reg ib   ; s:AVX512F, t:KMASK, c:KSHIFTL, w:W|R|R, e:K20
KSHIFTLB          ; rKb,mKb,Ib          ;                 ;  vex m:3 p:1 l:0 w:0 0x32 /r:reg ib   ; s:AVX512DQ, t:KMASK, c:KSHIFTL, w:W|R|R, e:K20
KSHIFTLQ          ; rKq,mKq,Ib          ;                 ;  vex m:3 p:1 l:0 w:1 0x33 /r:reg ib   ; s:AVX512BW, t:KMASK, c:KSHIFTL, w:W|R|R, e:K20
KSHIFTLD          ; rKd,mKd,Ib          ;                 ;  vex m:3 p:1 l:0 w:0 0x33 /r:reg ib   ; s:AVX512BW, t:KMASK, c:KSHIFTL, w:W|R|R, e:K20
VINSERTI128       ; Vqq,Hqq,Wdq,Ib      ;                 ;  vex m:3 p:1 l:1 w:0 0x38 /r ib       ; s:AVX2, t:AVX2, w:W|R|R|R, e:6
VEXTRACTI128      ; Wdq,Vqq,Ib          ;                 ;  vex m:3 p:1 l:1 w:0 0x39 /r ib       ; s:AVX2, t:AVX2, w:W|R|R|R, e:6

# 0x40 - 0x4F
VDPPS             ; Vx,Hx,Wx,Ib         ;                 ;  vex m:3 p:1 l:x w:i 0x40 /r ib       ; s:AVX, t:AVX, w:W|R|R|R, e:2, x:IE|OE|UE|PE|DE
VDPPD             ; Vdq,Hdq,Wdq,Ib      ;                 ;  vex m:3 p:1 l:0 w:i 0x41 /r ib       ; s:AVX, t:AVX, w:W|R|R|R, e:2, x:IE|OE|UE|PE|DE
VMPSADBW          ; Vx,Hx,Wx,Ib         ;                 ;  vex m:3 p:1 l:x w:i 0x42 /r ib       ; s:AVX, t:AVX, w:W|R|R|R, e:4
VPCLMULQDQ        ; Vx,Hx,Wx,Ib         ;                 ;  vex m:3 p:1 l:x w:i 0x44 /r ib       ; s:VPCLMULQDQ, t:VPCLMULQDQ, w:W|R|R|R, e:4
VPERM2I128        ; Vqq,Hqq,Wqq,Ib      ;                 ;  vex m:3 p:1 l:1 w:0 0x46 /r ib       ; s:AVX2, t:AVX2, w:W|R|R|R, e:6
VPERMIL2PS        ; Vx,Hx,Wx,Lx,m2zIb   ;                 ;  vex m:3 p:1 l:x w:0 0x48 /r is4      ; s:XOP, t:XOP, w:W|R|R|R|R, e:4
VPERMIL2PS        ; Vx,Hx,Lx,Wx,m2zIb   ;                 ;  vex m:3 p:1 l:x w:1 0x48 /r is4      ; s:XOP, t:XOP, w:W|R|R|R|R, e:4
VPERMIL2PD        ; Vx,Hx,Wx,Lx,m2zIb   ;                 ;  vex m:3 p:1 l:x w:0 0x49 /r is4      ; s:XOP, t:XOP, w:W|R|R|R|R, e:4
VPERMIL2PD        ; Vx,Hx,Lx,Wx,m2zIb   ;                 ;  vex m:3 p:1 l:x w:1 0x49 /r is4      ; s:XOP, t:XOP, w:W|R|R|R|R, e:4
VBLENDVPS         ; Vx,Hx,Wx,Lx         ;                 ;  vex m:3 p:1 l:x w:0 0x4A /r is4      ; s:AVX, t:AVX, w:W|R|R|R, e:4
VBLENDVPD         ; Vx,Hx,Wx,Lx         ;                 ;  vex m:3 p:1 l:x w:0 0x4B /r is4      ; s:AVX, t:AVX, w:W|R|R|R, e:4
VPBLENDVB         ; Vx,Hx,Wx,Lx         ;                 ;  vex m:3 p:1 l:x w:0 0x4C /r is4      ; s:AVX, t:AVX, w:W|R|R|R, e:4

# 0x50 - 0x5F
VFMADDSUBPS       ; Vx,Hx,Wx,Lx         ;                 ;  vex m:3 p:1 l:x w:0 0x5C /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFMADDSUBPS       ; Vx,Hx,Lx,Wx         ;                 ;  vex m:3 p:1 l:x w:1 0x5C /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFMADDSUBPD       ; Vx,Hx,Wx,Lx         ;                 ;  vex m:3 p:1 l:x w:0 0x5D /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFMADDSUBPD       ; Vx,Hx,Lx,Wx         ;                 ;  vex m:3 p:1 l:x w:1 0x5D /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFMSUBADDPS       ; Vx,Hx,Wx,Lx         ;                 ;  vex m:3 p:1 l:x w:0 0x5E /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFMSUBADDPS       ; Vx,Hx,Lx,Wx         ;                 ;  vex m:3 p:1 l:x w:1 0x5E /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFMSUBADDPD       ; Vx,Hx,Wx,Lx         ;                 ;  vex m:3 p:1 l:x w:0 0x5F /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFMSUBADDPD       ; Vx,Hx,Lx,Wx         ;                 ;  vex m:3 p:1 l:x w:1 0x5F /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE

# 0x60 - 0x6F
VPCMPESTRM        ; Vdq,Wdq,Ib          ; yAX,yDX,XMM0,Fv ;  vex m:3 p:1 l:0 w:i 0x60 /r ib       ; s:AVX, t:STTNI, w:R|R|R|R|R|W|W, f:PCMPSTR, e:4
VPCMPESTRI        ; Vdq,Wdq,Ib          ; yAX,yDX,yCX,Fv  ;  vex m:3 p:1 l:0 w:i 0x61 /r ib       ; s:AVX, t:STTNI, w:R|R|R|R|R|W|W, f:PCMPSTR, e:4
VPCMPISTRM        ; Vdq,Wdq,Ib          ; XMM0,Fv         ;  vex m:3 p:1 l:0 w:i 0x62 /r ib       ; s:AVX, t:STTNI, w:R|R|R|W|W, f:PCMPSTR, e:4
VPCMPISTRI        ; Vdq,Wdq,Ib          ; yCX,Fv          ;  vex m:3 p:1 l:0 w:i 0x63 /r ib       ; s:AVX, t:STTNI, w:R|R|R|W|W, f:PCMPSTR, e:4
VFMADDPS          ; Vx,Hx,Wx,Lx         ;                 ;  vex m:3 p:1 l:x w:0 0x68 /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFMADDPS          ; Vx,Hx,Lx,Wx         ;                 ;  vex m:3 p:1 l:x w:1 0x68 /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFMADDPD          ; Vx,Hx,Wx,Lx         ;                 ;  vex m:3 p:1 l:x w:0 0x69 /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFMADDPD          ; Vx,Hx,Lx,Wx         ;                 ;  vex m:3 p:1 l:x w:1 0x69 /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFMADDSS          ; Vdq,Hdq,Wss,Ldq     ;                 ;  vex m:3 p:1 l:x w:0 0x6A /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFMADDSS          ; Vdq,Hdq,Ldq,Wss     ;                 ;  vex m:3 p:1 l:x w:1 0x6A /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFMADDSD          ; Vdq,Hdq,Wsd,Ldq     ;                 ;  vex m:3 p:1 l:x w:0 0x6B /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFMADDSD          ; Vdq,Hdq,Ldq,Wsd     ;                 ;  vex m:3 p:1 l:x w:1 0x6B /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFMSUBPS          ; Vx,Hx,Wx,Lx         ;                 ;  vex m:3 p:1 l:x w:0 0x6C /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFMSUBPS          ; Vx,Hx,Lx,Wx         ;                 ;  vex m:3 p:1 l:x w:1 0x6C /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFMSUBPD          ; Vx,Hx,Wx,Lx         ;                 ;  vex m:3 p:1 l:x w:0 0x6D /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFMSUBPD          ; Vx,Hx,Lx,Wx         ;                 ;  vex m:3 p:1 l:x w:1 0x6D /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFMSUBSS          ; Vdq,Hdq,Wss,Ldq     ;                 ;  vex m:3 p:1 l:x w:0 0x6E /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFMSUBSS          ; Vdq,Hdq,Ldq,Wss     ;                 ;  vex m:3 p:1 l:x w:1 0x6E /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFMSUBSD          ; Vdq,Hdq,Wsd,Ldq     ;                 ;  vex m:3 p:1 l:x w:0 0x6F /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFMSUBSD          ; Vdq,Hdq,Ldq,Wsd     ;                 ;  vex m:3 p:1 l:x w:1 0x6F /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE

# 0x70 - 0x7F
VFNMADDPS         ; Vx,Hx,Wx,Lx         ;                 ;  vex m:3 p:1 l:x w:0 0x78 /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFNMADDPS         ; Vx,Hx,Lx,Wx         ;                 ;  vex m:3 p:1 l:x w:1 0x78 /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFNMADDPD         ; Vx,Hx,Wx,Lx         ;                 ;  vex m:3 p:1 l:x w:0 0x79 /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFNMADDPD         ; Vx,Hx,Lx,Wx         ;                 ;  vex m:3 p:1 l:x w:1 0x79 /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFNMADDSS         ; Vdq,Hdq,Wss,Ldq     ;                 ;  vex m:3 p:1 l:x w:0 0x7A /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFNMADDSS         ; Vdq,Hdq,Ldq,Wss     ;                 ;  vex m:3 p:1 l:x w:1 0x7A /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFNMADDSD         ; Vdq,Hdq,Wsd,Ldq     ;                 ;  vex m:3 p:1 l:x w:0 0x7B /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFNMADDSD         ; Vdq,Hdq,Ldq,Wsd     ;                 ;  vex m:3 p:1 l:x w:1 0x7B /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFNMSUBPS         ; Vx,Hx,Wx,Lx         ;                 ;  vex m:3 p:1 l:x w:0 0x7C /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFNMSUBPS         ; Vx,Hx,Lx,Wx         ;                 ;  vex m:3 p:1 l:x w:1 0x7C /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFNMSUBPD         ; Vx,Hx,Wx,Lx         ;                 ;  vex m:3 p:1 l:x w:0 0x7D /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFNMSUBPD         ; Vx,Hx,Lx,Wx         ;                 ;  vex m:3 p:1 l:x w:1 0x7D /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFNMSUBSS         ; Vdq,Hdq,Wss,Ldq     ;                 ;  vex m:3 p:1 l:x w:0 0x7E /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFNMSUBSS         ; Vdq,Hdq,Ldq,Wss     ;                 ;  vex m:3 p:1 l:x w:1 0x7E /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFNMSUBSD         ; Vdq,Hdq,Wsd,Ldq     ;                 ;  vex m:3 p:1 l:x w:0 0x7F /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE
VFNMSUBSD         ; Vdq,Hdq,Ldq,Wsd     ;                 ;  vex m:3 p:1 l:x w:1 0x7F /r is4      ; s:FMA4, t:FMA4, w:W|R|R|R, x:IE|OE|UE|PE|DE

# 0xC0 - 0xCF
VGF2P8AFFINEQB    ; Vx,Hx,Wx,Ib         ;                 ;  vex m:3 p:1 l:x w:1 0xCE /r ib       ; s:GFNI, t:GFNI, w:W|R|R|R, e:4
VGF2P8AFFINEINVQB ; Vx,Hx,Wx,Ib         ;                 ;  vex m:3 p:1 l:x w:1 0xCF /r ib       ; s:GFNI, t:GFNI, w:W|R|R|R, e:4

# 0xD0 - 0xDF
VSM3RNDS2         ; Vdq,Hdq,Wdq,Ib      ;                 ;  vex m:3 p:1 l:0 w:0 0xDE /r ib       ; s:SM3, t:SM3, w:RW|R|R|R, e:4
VAESKEYGENASSIST  ; Vdq,Wdq,Ib          ;                 ;  vex m:3 p:1 l:0 w:i 0xDF /r ib       ; s:AES, t:AES, w:W|R|R, e:4

# 0xF0 - 0xFF
RORX              ; Gy,Ey,Ib            ;                 ;  vex m:3 p:3 l:0 w:x 0xF0 /r ib       ; s:BMI2, t:BMI2, w:W|R|R, e:13
