#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x00 - 0x0F

# 0x10 - 0x1F
VMOVUPS           ; Vx,Wx               ; n/a             ;  vex m:1 p:0 l:x w:i 0x10 /r          ; s:AVX, t:DATAXFER, w:W|R, e:4
VUNPCKHPD         ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0x15 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VMOVHPS           ; Vdq,Hdq,Mq          ; n/a             ;  vex m:1 p:0 l:0 w:i 0x16 /r:mem      ; s:AVX, t:DATAXFER, w:W|R|R, e:5
VMOVLHPS          ; Vdq,Hdq,Udq         ; n/a             ;  vex m:1 p:0 l:0 w:i 0x16 /r:reg      ; s:AVX, t:AVX, w:W|R|R, e:7
VMOVHPD           ; Vdq,Hdq,Mq          ; n/a             ;  vex m:1 p:1 l:0 w:i 0x16 /r:mem      ; s:AVX, t:DATAXFER, w:W|R|R, e:5
VMOVSHDUP         ; Vx,Wx               ; n/a             ;  vex m:1 p:2 l:x w:i 0x16 /r          ; s:AVX, t:AVX, w:W|R, e:4
VMOVHPS           ; Mq,Vdq              ; n/a             ;  vex m:1 p:0 l:0 w:i 0x17 /r:mem      ; s:AVX, t:DATAXFER, w:W|R, e:5
VMOVHPD           ; Mq,Vdq              ; n/a             ;  vex m:1 p:1 l:0 w:i 0x17 /r:mem      ; s:AVX, t:DATAXFER, w:W|R, e:5

# 0x20 - 0x2F
VMOVAPS           ; Vx,Wx               ; n/a             ;  vex m:1 p:0 l:x w:i 0x28 /r          ; s:AVX, t:DATAXFER, w:W|R, e:1
VMOVAPD           ; Vx,Wx               ; n/a             ;  vex m:1 p:1 l:x w:i 0x28 /r          ; s:AVX, t:DATAXFER, w:W|R, e:1
VMOVAPS           ; Wx,Vx               ; n/a             ;  vex m:1 p:0 l:x w:i 0x29 /r          ; s:AVX, t:DATAXFER, w:W|R, e:1
VMOVAPD           ; Wx,Vx               ; n/a             ;  vex m:1 p:1 l:x w:i 0x29 /r          ; s:AVX, t:DATAXFER, w:W|R, e:1
VCVTSI2SS         ; Vss,Hss,Ey          ; n/a             ;  vex m:1 p:2 l:i w:x 0x2A /r          ; s:AVX, t:CONVERT, w:W|R|R, e:3, a:IWO64
VCVTSI2SD         ; Vsd,Hsd,Ey          ; n/a             ;  vex m:1 p:3 l:i w:x 0x2A /r          ; s:AVX, t:CONVERT, w:W|R|R, e:3, a:IWO64
VMOVNTPS          ; Mx,Vx               ; n/a             ;  vex m:1 p:0 l:x w:i 0x2B /r:mem      ; s:AVX, t:AVX, w:W|R, e:1
VMOVNTPD          ; Mx,Vx               ; n/a             ;  vex m:1 p:1 l:x w:i 0x2B /r:mem      ; s:AVX, t:AVX, w:W|R, e:1
VCVTTSS2SI        ; Gy,Wss              ; n/a             ;  vex m:1 p:2 l:i w:x 0x2C /r          ; s:AVX, t:CONVERT, w:W|R, e:3, a:IWO64
VCVTTSD2SI        ; Gy,Wsd              ; n/a             ;  vex m:1 p:3 l:i w:x 0x2C /r          ; s:AVX, t:CONVERT, w:W|R, e:3, a:IWO64
VCVTSS2SI         ; Gy,Wss              ; n/a             ;  vex m:1 p:2 l:i w:x 0x2D /r          ; s:AVX, t:CONVERT, w:W|R, e:3, a:IWO64
VCVTSD2SI         ; Gy,Wsd              ; n/a             ;  vex m:1 p:3 l:i w:x 0x2D /r          ; s:AVX, t:CONVERT, w:W|R, e:3, a:IWO64
VUCOMISS          ; Vss,Wss             ; Fv              ;  vex m:1 p:0 l:i w:i 0x2E /r          ; s:AVX, t:AVX, w:R|R|W, f:COMIS, e:3
VUCOMISD          ; Vsd,Wsd             ; Fv              ;  vex m:1 p:1 l:i w:i 0x2E /r          ; s:AVX, t:AVX, w:R|R|W, f:COMIS, e:3
VCOMISS           ; Vss,Wss             ; Fv              ;  vex m:1 p:0 l:i w:i 0x2F /r          ; s:AVX, t:AVX, w:R|R|W, f:COMIS, e:3
VCOMISD           ; Vsd,Wsd             ; Fv              ;  vex m:1 p:1 l:i w:i 0x2F /r          ; s:AVX, t:AVX, w:R|R|W, f:COMIS, e:3

# 0x30 - 0x3F

# 0x40 - 0x4F
# Note: ALL these instructions will zero-extend the result into the destination, up to the max length of the mask reg.
KANDW             ; rKw,vKw,mKw         ; n/a             ;  vex m:1 p:0 l:1 w:0 0x41 /r:reg      ; s:AVX512F, t:KMASK, c:KAND, w:W|R|R, e:K20
KANDB             ; rKb,vKb,mKb         ; n/a             ;  vex m:1 p:1 l:1 w:0 0x41 /r:reg      ; s:AVX512DQ, t:KMASK, c:KAND, w:W|R|R, e:K20
KANDQ             ; rKq,vKq,mKq         ; n/a             ;  vex m:1 p:0 l:1 w:1 0x41 /r:reg      ; s:AVX512BW, t:KMASK, c:KAND, w:W|R|R, e:K20
KANDD             ; rKd,vKd,mKd         ; n/a             ;  vex m:1 p:1 l:1 w:1 0x41 /r:reg      ; s:AVX512BW, t:KMASK, c:KAND, w:W|R|R, e:K20
KANDNW            ; rKw,vKw,mKw         ; n/a             ;  vex m:1 p:0 l:1 w:0 0x42 /r:reg      ; s:AVX512F, t:KMASK, c:KANDN, w:W|R|R, e:K20
KANDNB            ; rKb,vKb,mKb         ; n/a             ;  vex m:1 p:1 l:1 w:0 0x42 /r:reg      ; s:AVX512DQ, t:KMASK, c:KANDN, w:W|R|R, e:K20
KANDNQ            ; rKq,vKq,mKq         ; n/a             ;  vex m:1 p:0 l:1 w:1 0x42 /r:reg      ; s:AVX512BW, t:KMASK, c:KANDN, w:W|R|R, e:K20
KANDND            ; rKd,vKd,mKd         ; n/a             ;  vex m:1 p:1 l:1 w:1 0x42 /r:reg      ; s:AVX512BW, t:KMASK, c:KANDN, w:W|R|R, e:K20
KORW              ; rKw,vKw,mKw         ; n/a             ;  vex m:1 p:0 l:1 w:0 0x45 /r:reg      ; s:AVX512F, t:KMASK, c:KOR, w:W|R|R, e:K20
KORB              ; rKb,vKb,mKb         ; n/a             ;  vex m:1 p:1 l:1 w:0 0x45 /r:reg      ; s:AVX512DQ, t:KMASK, c:KOR, w:W|R|R, e:K20
KORQ              ; rKq,vKq,mKq         ; n/a             ;  vex m:1 p:0 l:1 w:1 0x45 /r:reg      ; s:AVX512BW, t:KMASK, c:KOR, w:W|R|R, e:K20
KORD              ; rKd,vKd,mKd         ; n/a             ;  vex m:1 p:1 l:1 w:1 0x45 /r:reg      ; s:AVX512BW, t:KMASK, c:KOR, w:W|R|R, e:K20
KXNORW            ; rKw,vKw,mKw         ; n/a             ;  vex m:1 p:0 l:1 w:0 0x46 /r:reg      ; s:AVX512F, t:KMASK, c:KXNOR, w:W|R|R, e:K20
KXNORB            ; rKb,vKb,mKb         ; n/a             ;  vex m:1 p:1 l:1 w:0 0x46 /r:reg      ; s:AVX512DQ, t:KMASK, c:KXNOR, w:W|R|R, e:K20
KXNORQ            ; rKq,vKq,mKq         ; n/a             ;  vex m:1 p:0 l:1 w:1 0x46 /r:reg      ; s:AVX512BW, t:KMASK, c:KXNOR, w:W|R|R, e:K20
KXNORD            ; rKd,vKd,mKd         ; n/a             ;  vex m:1 p:1 l:1 w:1 0x46 /r:reg      ; s:AVX512BW, t:KMASK, c:KXNOR, w:W|R|R, e:K20
KXORW             ; rKw,vKw,mKw         ; n/a             ;  vex m:1 p:0 l:1 w:0 0x47 /r:reg      ; s:AVX512F, t:KMASK, c:KXOR, w:W|R|R, e:K20
KXORB             ; rKb,vKb,mKb         ; n/a             ;  vex m:1 p:1 l:1 w:0 0x47 /r:reg      ; s:AVX512DQ, t:KMASK, c:KXOR, w:W|R|R, e:K20
KXORQ             ; rKq,vKq,mKq         ; n/a             ;  vex m:1 p:0 l:1 w:1 0x47 /r:reg      ; s:AVX512BW, t:KMASK, c:KXOR, w:W|R|R, e:K20
KXORD             ; rKd,vKd,mKd         ; n/a             ;  vex m:1 p:1 l:1 w:1 0x47 /r:reg      ; s:AVX512BW, t:KMASK, c:KXOR, w:W|R|R, e:K20
KADDW             ; rKw,vKw,mKw         ; n/a             ;  vex m:1 p:0 l:1 w:0 0x4A /r:reg      ; s:AVX512DQ, t:KMASK, c:KADD, w:W|R|R, e:K20
KADDB             ; rKb,vKb,mKb         ; n/a             ;  vex m:1 p:1 l:1 w:0 0x4A /r:reg      ; s:AVX512DQ, t:KMASK, c:KADD, w:W|R|R, e:K20
KADDQ             ; rKq,vKq,mKq         ; n/a             ;  vex m:1 p:0 l:1 w:1 0x4A /r:reg      ; s:AVX512BW, t:KMASK, c:KADD, w:W|R|R, e:K20
KADDD             ; rKd,vKd,mKd         ; n/a             ;  vex m:1 p:1 l:1 w:1 0x4A /r:reg      ; s:AVX512BW, t:KMASK, c:KADD, w:W|R|R, e:K20
KMOVW             ; rKw,Mw              ; n/a             ;  vex m:1 p:0 l:0 w:0 0x90 /r:mem      ; s:AVX512F, t:KMASK, c:KMOV, w:W|R, e:K21
KMOVB             ; rKb,Mb              ; n/a             ;  vex m:1 p:1 l:0 w:0 0x90 /r:mem      ; s:AVX512DQ, t:KMASK, c:KMOV, w:W|R, e:K21
KMOVQ             ; rKq,Mq              ; n/a             ;  vex m:1 p:0 l:0 w:1 0x90 /r:mem      ; s:AVX512BW, t:KMASK, c:KMOV, w:W|R, e:K21
KMOVD             ; rKd,Md              ; n/a             ;  vex m:1 p:1 l:0 w:1 0x90 /r:mem      ; s:AVX512BW, t:KMASK, c:KMOV, w:W|R, e:K21
KMOVW             ; rKw,mKw             ; n/a             ;  vex m:1 p:0 l:0 w:0 0x90 /r:reg      ; s:AVX512F, t:KMASK, c:KMOV, w:W|R, e:K20
KMOVB             ; rKb,mKb             ; n/a             ;  vex m:1 p:1 l:0 w:0 0x90 /r:reg      ; s:AVX512DQ, t:KMASK, c:KMOV, w:W|R, e:K20
KMOVQ             ; rKq,mKq             ; n/a             ;  vex m:1 p:0 l:0 w:1 0x90 /r:reg      ; s:AVX512BW, t:KMASK, c:KMOV, w:W|R, e:K20
KMOVD             ; rKd,mKd             ; n/a             ;  vex m:1 p:1 l:0 w:1 0x90 /r:reg      ; s:AVX512BW, t:KMASK, c:KMOV, w:W|R, e:K20
KMOVW             ; Mw,rKw              ; n/a             ;  vex m:1 p:0 l:0 w:0 0x91 /r:mem      ; s:AVX512F, t:KMASK, c:KMOV, w:W|R, e:K21
KMOVB             ; Mb,rKb              ; n/a             ;  vex m:1 p:1 l:0 w:0 0x91 /r:mem      ; s:AVX512DQ, t:KMASK, c:KMOV, w:W|R, e:K21
KMOVQ             ; Mq,rKq              ; n/a             ;  vex m:1 p:0 l:0 w:1 0x91 /r:mem      ; s:AVX512BW, t:KMASK, c:KMOV, w:W|R, e:K21
KMOVD             ; Md,rKd              ; n/a             ;  vex m:1 p:1 l:0 w:1 0x91 /r:mem      ; s:AVX512BW, t:KMASK, c:KMOV, w:W|R, e:K21
KMOVW             ; rKw,Ry              ; n/a             ;  vex m:1 p:0 l:0 w:0 0x92 /r:reg      ; s:AVX512F, t:KMASK, c:KMOV, w:W|R, e:K20
KMOVB             ; rKb,Ry              ; n/a             ;  vex m:1 p:1 l:0 w:0 0x92 /r:reg      ; s:AVX512DQ, t:KMASK, c:KMOV, w:W|R, e:K20
KMOVQ             ; rKq,Ry              ; n/a             ;  vex m:1 p:3 l:0 w:1 0x92 /r:reg      ; s:AVX512BW, t:KMASK, c:KMOV, w:W|R, e:K20
KMOVD             ; rKd,Ry              ; n/a             ;  vex m:1 p:3 l:0 w:0 0x92 /r:reg      ; s:AVX512BW, t:KMASK, c:KMOV, w:W|R, e:K20
KMOVW             ; Gy,mKw              ; n/a             ;  vex m:1 p:0 l:0 w:0 0x93 /r:reg      ; s:AVX512F, t:KMASK, c:KMOV, w:W|R, e:K20
KMOVB             ; Gy,mKb              ; n/a             ;  vex m:1 p:1 l:0 w:0 0x93 /r:reg      ; s:AVX512DQ, t:KMASK, c:KMOV, w:W|R, e:K20
KMOVQ             ; Gy,mKq              ; n/a             ;  vex m:1 p:3 l:0 w:1 0x93 /r:reg      ; s:AVX512BW, t:KMASK, c:KMOV, w:W|R, e:K20
KMOVD             ; Gy,mKd              ; n/a             ;  vex m:1 p:3 l:0 w:0 0x93 /r:reg      ; s:AVX512BW, t:KMASK, c:KMOV, w:W|R, e:K20
KMERGE2L1H        ; rKw,mKw             ; n/a             ;  vex m:1 p:0 l:0 w:0 0x48 /r:reg      ; s:UNKNOWN, t:UNKNOWN, c:KMERGE2L1H, w:W|R, e:K20
KMERGE2L1L        ; rKw,mKw             ; n/a             ;  vex m:1 p:0 l:0 w:0 0x49 /r:reg      ; s:UNKNOWN, t:UNKNOWN, c:KMERGE2L1L, w:W|R, e:K20
KUNPCKBW          ; rKw,vKb,mKb         ; n/a             ;  vex m:1 p:1 l:1 w:0 0x4B /r:reg      ; s:AVX512F, t:KMASK, c:KUNPCKBW, w:W|R|R, e:K20
KUNPCKWD          ; rKd,vKw,mKw         ; n/a             ;  vex m:1 p:0 l:1 w:0 0x4B /r:reg      ; s:AVX512BW, t:KMASK, c:KUNPCKWD, w:W|R|R, e:K20
KUNPCKDQ          ; rKq,vKd,mKd         ; n/a             ;  vex m:1 p:0 l:1 w:1 0x4B /r:reg      ; s:AVX512BW, t:KMASK, c:KUNPCKDQ, w:W|R|R, e:K20
KNOTW             ; rKw,mKw             ; n/a             ;  vex m:1 p:0 l:0 w:0 0x44 /r:reg      ; s:AVX512F, t:KMASK, c:KNOT, w:W|R, e:K20
KNOTB             ; rKb,mKb             ; n/a             ;  vex m:1 p:1 l:0 w:0 0x44 /r:reg      ; s:AVX512DQ, t:KMASK, c:KNOT, w:W|R, e:K20
KNOTQ             ; rKq,mKq             ; n/a             ;  vex m:1 p:0 l:0 w:1 0x44 /r:reg      ; s:AVX512BW, t:KMASK, c:KNOT, w:W|R, e:K20
KNOTD             ; rKd,mKd             ; n/a             ;  vex m:1 p:1 l:0 w:1 0x44 /r:reg      ; s:AVX512BW, t:KMASK, c:KNOT, w:W|R, e:K20
KORTESTW          ; rKw,mKw             ; Fv              ;  vex m:1 p:0 l:0 w:0 0x98 /r:reg      ; s:AVX512F, t:KMASK, c:KORTEST, w:R|R|W, f:KORTEST, e:K20
KORTESTB          ; rKb,mKb             ; Fv              ;  vex m:1 p:1 l:0 w:0 0x98 /r:reg      ; s:AVX512DQ, t:KMASK, c:KORTEST, w:R|R|W, f:KORTEST, e:K20
KORTESTQ          ; rKq,mKq             ; Fv              ;  vex m:1 p:0 l:0 w:1 0x98 /r:reg      ; s:AVX512BW, t:KMASK, c:KORTEST, w:R|R|W, f:KORTEST, e:K20
KORTESTD          ; rKd,mKd             ; Fv              ;  vex m:1 p:1 l:0 w:1 0x98 /r:reg      ; s:AVX512BW, t:KMASK, c:KORTEST, w:R|R|W, f:KORTEST, e:K20
KTESTW            ; rKw,mKw             ; n/a             ;  vex m:1 p:0 l:0 w:0 0x99 /r:reg      ; s:AVX512DQ, t:KMASK, c:KTEST, w:W|R, e:K20
KTESTB            ; rKb,mKb             ; n/a             ;  vex m:1 p:1 l:0 w:0 0x99 /r:reg      ; s:AVX512DQ, t:KMASK, c:KTEST, w:W|R, e:K20
KTESTQ            ; rKq,mKq             ; n/a             ;  vex m:1 p:0 l:0 w:1 0x99 /r:reg      ; s:AVX512BW, t:KMASK, c:KTEST, w:W|R, e:K20
KTESTD            ; rKd,mKd             ; n/a             ;  vex m:1 p:1 l:0 w:1 0x99 /r:reg      ; s:AVX512BW, t:KMASK, c:KTEST, w:W|R, e:K20

# 0x50 - 0x5F
VMOVMSKPS         ; Gy,Ux               ; n/a             ;  vex m:1 p:0 l:x w:i 0x50 /r:reg      ; s:AVX, t:DATAXFER, w:W|R, e:7, a:D64
VMOVMSKPD         ; Gy,Ux               ; n/a             ;  vex m:1 p:1 l:x w:i 0x50 /r:reg      ; s:AVX, t:DATAXFER, w:W|R, e:7, a:D64
VSQRTPS           ; Vx,Wx               ; n/a             ;  vex m:1 p:0 l:x w:i 0x51 /r          ; s:AVX, t:AVX, w:W|R, e:2
VSQRTPD           ; Vx,Wx               ; n/a             ;  vex m:1 p:1 l:x w:i 0x51 /r          ; s:AVX, t:AVX, w:W|R, e:2
VSQRTSS           ; Vss,Hss,Wss         ; n/a             ;  vex m:1 p:2 l:i w:i 0x51 /r          ; s:AVX, t:AVX, w:W|R|R, e:3
VSQRTSD           ; Vsd,Hsd,Wsd         ; n/a             ;  vex m:1 p:3 l:i w:i 0x51 /r          ; s:AVX, t:AVX, w:W|R|R, e:3
VRSQRTPS          ; Vx,Wx               ; n/a             ;  vex m:1 p:0 l:x w:i 0x52 /r          ; s:AVX, t:AVX, w:W|R, e:4
VRSQRTSS          ; Vss,Hss,Wss         ; n/a             ;  vex m:1 p:2 l:i w:i 0x52 /r          ; s:AVX, t:AVX, w:W|R|R, e:5
VRCPPS            ; Vps,Wps             ; n/a             ;  vex m:1 p:0 l:x w:i 0x53 /r          ; s:AVX, t:AVX, w:W|R, e:4
VRCPSS            ; Vss,Hss,Wss         ; n/a             ;  vex m:1 p:2 l:i w:i 0x53 /r          ; s:AVX, t:AVX, w:W|R|R, e:5
VANDPS            ; Vps,Hps,Wps         ; n/a             ;  vex m:1 p:0 l:x w:i 0x54 /r          ; s:AVX, t:LOGICAL_FP, w:W|R|R, e:4
VANDPD            ; Vpd,Hpd,Wpd         ; n/a             ;  vex m:1 p:1 l:x w:i 0x54 /r          ; s:AVX, t:LOGICAL_FP, w:W|R|R, e:4
VANDNPS           ; Vps,Hps,Wps         ; n/a             ;  vex m:1 p:0 l:x w:i 0x55 /r          ; s:AVX, t:LOGICAL_FP, w:W|R|R, e:4
VANDNPD           ; Vpd,Hpd,Wpd         ; n/a             ;  vex m:1 p:1 l:x w:i 0x55 /r          ; s:AVX, t:LOGICAL_FP, w:W|R|R, e:4
VORPS             ; Vps,Hps,Wps         ; n/a             ;  vex m:1 p:0 l:x w:i 0x56 /r          ; s:AVX, t:LOGICAL_FP, w:W|R|R, e:4
VORPD             ; Vpd,Hpd,Wpd         ; n/a             ;  vex m:1 p:1 l:x w:i 0x56 /r          ; s:AVX, t:LOGICAL_FP, w:W|R|R, e:4
VXORPS            ; Vps,Hps,Wps         ; n/a             ;  vex m:1 p:0 l:x w:i 0x57 /r          ; s:AVX, t:LOGICAL_FP, w:W|R|R, e:4
VXORPD            ; Vpd,Hpd,Wpd         ; n/a             ;  vex m:1 p:1 l:x w:i 0x57 /r          ; s:AVX, t:LOGICAL_FP, w:W|R|R, e:4
VADDPS            ; Vps,Hps,Wps         ; n/a             ;  vex m:1 p:0 l:x w:i 0x58 /r          ; s:AVX, t:AVX, w:W|R|R, e:2
VADDPD            ; Vpd,Hpd,Wpd         ; n/a             ;  vex m:1 p:1 l:x w:i 0x58 /r          ; s:AVX, t:AVX, w:W|R|R, e:2
VADDSS            ; Vss,Hss,Wss         ; n/a             ;  vex m:1 p:2 l:i w:i 0x58 /r          ; s:AVX, t:AVX, w:W|R|R, e:2
VADDSD            ; Vsd,Hsd,Wsd         ; n/a             ;  vex m:1 p:3 l:i w:i 0x58 /r          ; s:AVX, t:AVX, w:W|R|R, e:2
VMULPS            ; Vps,Hps,Wps         ; n/a             ;  vex m:1 p:0 l:x w:i 0x59 /r          ; s:AVX, t:AVX, w:W|R|R, e:2
VMULPD            ; Vpd,Hpd,Wpd         ; n/a             ;  vex m:1 p:1 l:x w:i 0x59 /r          ; s:AVX, t:AVX, w:W|R|R, e:2
VMULSS            ; Vss,Hss,Wss         ; n/a             ;  vex m:1 p:2 l:i w:i 0x59 /r          ; s:AVX, t:AVX, w:W|R|R, e:2
VMULSD            ; Vsd,Hsd,Wsd         ; n/a             ;  vex m:1 p:3 l:i w:i 0x59 /r          ; s:AVX, t:AVX, w:W|R|R, e:2
VCVTPS2PD         ; Vpd,Wq              ; n/a             ;  vex m:1 p:0 l:0 w:i 0x5A /r          ; s:AVX, t:CONVERT, w:W|R, e:2
VCVTPS2PD         ; Vqq,Wdq             ; n/a             ;  vex m:1 p:0 l:1 w:i 0x5A /r          ; s:AVX, t:CONVERT, w:W|R, e:2
VCVTPD2PS         ; Vdq,Wdq             ; n/a             ;  vex m:1 p:1 l:0 w:i 0x5A /r          ; s:AVX, t:CONVERT, w:W|R, e:2
VCVTPD2PS         ; Vdq,Wqq             ; n/a             ;  vex m:1 p:1 l:1 w:i 0x5A /r          ; s:AVX, t:CONVERT, w:W|R, e:2
VCVTSS2SD         ; Vsd,Hx,Wss          ; n/a             ;  vex m:1 p:2 l:i w:i 0x5A /r          ; s:AVX, t:CONVERT, w:W|R|R, e:3
VCVTSD2SS         ; Vss,Hx,Wsd          ; n/a             ;  vex m:1 p:3 l:i w:i 0x5A /r          ; s:AVX, t:CONVERT, w:W|R|R, e:3
VCVTDQ2PS         ; Vps,Wps             ; n/a             ;  vex m:1 p:0 l:x w:i 0x5B /r          ; s:AVX, t:CONVERT, w:W|R, e:2
VCVTPS2DQ         ; Vps,Wps             ; n/a             ;  vex m:1 p:1 l:x w:i 0x5B /r          ; s:AVX, t:CONVERT, w:W|R, e:2
VCVTTPS2DQ        ; Vps,Wps             ; n/a             ;  vex m:1 p:2 l:x w:i 0x5B /r          ; s:AVX, t:CONVERT, w:W|R, e:2
VSUBPS            ; Vps,Hps,Wps         ; n/a             ;  vex m:1 p:0 l:x w:i 0x5C /r          ; s:AVX, t:AVX, w:W|R|R, e:2
VSUBPD            ; Vpd,Hpd,Wpd         ; n/a             ;  vex m:1 p:1 l:x w:i 0x5C /r          ; s:AVX, t:AVX, w:W|R|R, e:2
VSUBSS            ; Vss,Hss,Wss         ; n/a             ;  vex m:1 p:2 l:i w:i 0x5C /r          ; s:AVX, t:AVX, w:W|R|R, e:2
VSUBSD            ; Vsd,Hsd,Wsd         ; n/a             ;  vex m:1 p:3 l:i w:i 0x5C /r          ; s:AVX, t:AVX, w:W|R|R, e:2
VMINPS            ; Vps,Hps,Wps         ; n/a             ;  vex m:1 p:0 l:x w:i 0x5D /r          ; s:AVX, t:AVX, w:W|R|R, e:2
VMINPD            ; Vpd,Hpd,Wpd         ; n/a             ;  vex m:1 p:1 l:x w:i 0x5D /r          ; s:AVX, t:AVX, w:W|R|R, e:2
VMINSS            ; Vss,Hss,Wss         ; n/a             ;  vex m:1 p:2 l:i w:i 0x5D /r          ; s:AVX, t:AVX, w:W|R|R, e:2
VMINSD            ; Vsd,Hsd,Wsd         ; n/a             ;  vex m:1 p:3 l:i w:i 0x5D /r          ; s:AVX, t:AVX, w:W|R|R, e:2
VDIVPS            ; Vps,Hps,Wps         ; n/a             ;  vex m:1 p:0 l:x w:i 0x5E /r          ; s:AVX, t:AVX, w:W|R|R, e:2
VDIVPD            ; Vpd,Hpd,Wpd         ; n/a             ;  vex m:1 p:1 l:x w:i 0x5E /r          ; s:AVX, t:AVX, w:W|R|R, e:2
VDIVSS            ; Vss,Hss,Wss         ; n/a             ;  vex m:1 p:2 l:i w:i 0x5E /r          ; s:AVX, t:AVX, w:W|R|R, e:2
VDIVSD            ; Vsd,Hsd,Wsd         ; n/a             ;  vex m:1 p:3 l:i w:i 0x5E /r          ; s:AVX, t:AVX, w:W|R|R, e:2
VMAXPS            ; Vps,Hps,Wps         ; n/a             ;  vex m:1 p:0 l:x w:i 0x5F /r          ; s:AVX, t:AVX, w:W|R|R, e:2
VMAXPD            ; Vpd,Hpd,Wpd         ; n/a             ;  vex m:1 p:1 l:x w:i 0x5F /r          ; s:AVX, t:AVX, w:W|R|R, e:2
VMAXSS            ; Vss,Hss,Wss         ; n/a             ;  vex m:1 p:2 l:i w:i 0x5F /r          ; s:AVX, t:AVX, w:W|R|R, e:2
