#
# Copyright (c) 2024 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# ADD
ADD             ; Eb,Gb         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0x00 /r           ; s:APX_F, t:ARITH, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:ARITH
ADD{NF}         ; Gv,Ev         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0x03 /r           ; s:APX_F, t:ARITH, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
ADD{NF}         ; Gv,Ev         ;        ; evex m:4 l:0 nd:0 nf:1 p:1 0x03 /r           ; s:APX_F, t:ARITH, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
ADD{NF}         ; Eb,Ib         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0x80 /0 ib        ; s:APX_F, t:ARITH, w:RW|R,     v:legacy, e:APX_EVEX_INT
ADD{NF}         ; Ev,Iz         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0x81 /0 iz        ; s:APX_F, t:ARITH, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
ADD{NF}         ; Ev,Iz         ;        ; evex m:4 l:0 nd:0 nf:1 p:1 0x81 /0 iz        ; s:APX_F, t:ARITH, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
ADD{NF}         ; Ev,Ib         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0x83 /0 ib        ; s:APX_F, t:ARITH, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
ADD{NF}         ; Ev,Ib         ;        ; evex m:4 l:0 nd:0 nf:1 p:1 0x83 /0 ib        ; s:APX_F, t:ARITH, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
ADD{ND}         ; Bb,Eb,Gb      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0x00 /r           ; s:APX_F, t:ARITH, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:ARITH
ADD{ND}         ; Bv,Ev,Gv      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0x01 /r           ; s:APX_F, t:ARITH, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
ADD{ND}         ; Bv,Ev,Gv      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:1 0x01 /r           ; s:APX_F, t:ARITH, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
ADD{ND}         ; Bb,Gb,Eb      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0x02 /r           ; s:APX_F, t:ARITH, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:ARITH
ADD{ND}         ; Bv,Gv,Ev      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0x03 /r           ; s:APX_F, t:ARITH, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
ADD{ND}         ; Bv,Gv,Ev      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:1 0x03 /r           ; s:APX_F, t:ARITH, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
ADD{ND}         ; Bb,Eb,Ib      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0x80 /0 ib        ; s:APX_F, t:ARITH, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:ARITH
ADD{ND}         ; Bv,Ev,Iz      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0x81 /0 iz        ; s:APX_F, t:ARITH, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
ADD{ND}         ; Bv,Ev,Iz      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:1 0x81 /0 iz        ; s:APX_F, t:ARITH, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
ADD{ND}         ; Bv,Ev,Ib      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0x83 /0 ib        ; s:APX_F, t:ARITH, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
ADD{ND}         ; Bv,Ev,Ib      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:1 0x83 /0 ib        ; s:APX_F, t:ARITH, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
ADD{ND}{NF}     ; Bb,Eb,Gb      ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0x00 /r           ; s:APX_F, t:ARITH, w:W|R|R,    v:legacy, e:APX_EVEX_INT
ADD{ND}{NF}     ; Bv,Ev,Gv      ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0x01 /r           ; s:APX_F, t:ARITH, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
ADD{ND}{NF}     ; Bv,Ev,Gv      ;        ; evex m:4 l:0 nd:1 nf:1 p:1 0x01 /r           ; s:APX_F, t:ARITH, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
ADD{ND}{NF}     ; Bb,Gb,Eb      ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0x02 /r           ; s:APX_F, t:ARITH, w:W|R|R,    v:legacy, e:APX_EVEX_INT
ADD{ND}{NF}     ; Bv,Gv,Ev      ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0x03 /r           ; s:APX_F, t:ARITH, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
ADD{ND}{NF}     ; Bv,Gv,Ev      ;        ; evex m:4 l:0 nd:1 nf:1 p:1 0x03 /r           ; s:APX_F, t:ARITH, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
ADD{ND}{NF}     ; Bb,Eb,Ib      ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0x80 /0 ib        ; s:APX_F, t:ARITH, w:W|R|R,    v:legacy, e:APX_EVEX_INT
ADD{ND}{NF}     ; Bv,Ev,Iz      ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0x81 /0 iz        ; s:APX_F, t:ARITH, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
ADD{ND}{NF}     ; Bv,Ev,Iz      ;        ; evex m:4 l:0 nd:1 nf:1 p:1 0x81 /0 iz        ; s:APX_F, t:ARITH, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
ADD{ND}{NF}     ; Bv,Ev,Ib      ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0x83 /0 ib        ; s:APX_F, t:ARITH, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
ADD{ND}{NF}     ; Bv,Ev,Ib      ;        ; evex m:4 l:0 nd:1 nf:1 p:1 0x83 /0 ib        ; s:APX_F, t:ARITH, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE


# SUB
SUB             ; Eb,Gb         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0x28 /r           ; s:APX_F, t:ARITH, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:ARITH
SUB             ; Ev,Gv         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0x29 /r           ; s:APX_F, t:ARITH, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
SUB             ; Ev,Gv         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:1 0x29 /r           ; s:APX_F, t:ARITH, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
SUB             ; Gb,Eb         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0x2A /r           ; s:APX_F, t:ARITH, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:ARITH
SUB             ; Gv,Ev         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0x2B /r           ; s:APX_F, t:ARITH, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
SUB             ; Gv,Ev         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:1 0x2B /r           ; s:APX_F, t:ARITH, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
SUB             ; Eb,Ib         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0x80 /5 ib        ; s:APX_F, t:ARITH, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:ARITH
SUB             ; Ev,Iz         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0x81 /5 iz        ; s:APX_F, t:ARITH, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
SUB             ; Ev,Iz         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:1 0x81 /5 iz        ; s:APX_F, t:ARITH, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
SUB             ; Ev,Ib         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0x83 /5 ib        ; s:APX_F, t:ARITH, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
SUB             ; Ev,Ib         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:1 0x83 /5 ib        ; s:APX_F, t:ARITH, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
SUB{NF}         ; Eb,Gb         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0x28 /r           ; s:APX_F, t:ARITH, w:RW|R,     v:legacy, e:APX_EVEX_INT
SUB{NF}         ; Ev,Gv         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0x29 /r           ; s:APX_F, t:ARITH, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
SUB{NF}         ; Ev,Gv         ;        ; evex m:4 l:0 nd:0 nf:1 p:1 0x29 /r           ; s:APX_F, t:ARITH, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
SUB{NF}         ; Gb,Eb         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0x2A /r           ; s:APX_F, t:ARITH, w:RW|R,     v:legacy, e:APX_EVEX_INT
SUB{NF}         ; Gv,Ev         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0x2B /r           ; s:APX_F, t:ARITH, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
SUB{NF}         ; Gv,Ev         ;        ; evex m:4 l:0 nd:0 nf:1 p:1 0x2B /r           ; s:APX_F, t:ARITH, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
SUB{NF}         ; Eb,Ib         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0x80 /5 ib        ; s:APX_F, t:ARITH, w:RW|R,     v:legacy, e:APX_EVEX_INT
SUB{NF}         ; Ev,Iz         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0x81 /5 iz        ; s:APX_F, t:ARITH, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
SUB{NF}         ; Ev,Iz         ;        ; evex m:4 l:0 nd:0 nf:1 p:1 0x81 /5 iz        ; s:APX_F, t:ARITH, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
SUB{NF}         ; Ev,Ib         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0x83 /5 ib        ; s:APX_F, t:ARITH, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
SUB{NF}         ; Ev,Ib         ;        ; evex m:4 l:0 nd:0 nf:1 p:1 0x83 /5 ib        ; s:APX_F, t:ARITH, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
SUB{ND}         ; Bb,Eb,Gb      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0x28 /r           ; s:APX_F, t:ARITH, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:ARITH
SUB{ND}         ; Bv,Ev,Gv      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0x29 /r           ; s:APX_F, t:ARITH, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
SUB{ND}         ; Bv,Ev,Gv      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:1 0x29 /r           ; s:APX_F, t:ARITH, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
SUB{ND}         ; Bb,Gb,Eb      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0x2A /r           ; s:APX_F, t:ARITH, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:ARITH
SUB{ND}         ; Bv,Gv,Ev      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0x2B /r           ; s:APX_F, t:ARITH, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
SUB{ND}         ; Bv,Gv,Ev      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:1 0x2B /r           ; s:APX_F, t:ARITH, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
SUB{ND}         ; Bb,Eb,Ib      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0x80 /5 ib        ; s:APX_F, t:ARITH, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:ARITH
SUB{ND}         ; Bv,Ev,Iz      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0x81 /5 iz        ; s:APX_F, t:ARITH, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
SUB{ND}         ; Bv,Ev,Iz      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:1 0x81 /5 iz        ; s:APX_F, t:ARITH, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
SUB{ND}         ; Bv,Ev,Ib      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0x83 /5 ib        ; s:APX_F, t:ARITH, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
SUB{ND}         ; Bv,Ev,Ib      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:1 0x83 /5 ib        ; s:APX_F, t:ARITH, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
SUB{ND}{NF}     ; Bb,Eb,Gb      ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0x28 /r           ; s:APX_F, t:ARITH, w:W|R|R,    v:legacy, e:APX_EVEX_INT
SUB{ND}{NF}     ; Bv,Ev,Gv      ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0x29 /r           ; s:APX_F, t:ARITH, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
SUB{ND}{NF}     ; Bv,Ev,Gv      ;        ; evex m:4 l:0 nd:1 nf:1 p:1 0x29 /r           ; s:APX_F, t:ARITH, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
SUB{ND}{NF}     ; Bb,Gb,Eb      ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0x2A /r           ; s:APX_F, t:ARITH, w:W|R|R,    v:legacy, e:APX_EVEX_INT
SUB{ND}{NF}     ; Bv,Gv,Ev      ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0x2B /r           ; s:APX_F, t:ARITH, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
SUB{ND}{NF}     ; Bv,Gv,Ev      ;        ; evex m:4 l:0 nd:1 nf:1 p:1 0x2B /r           ; s:APX_F, t:ARITH, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
SUB{ND}{NF}     ; Bb,Eb,Ib      ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0x80 /5 ib        ; s:APX_F, t:ARITH, w:W|R|R,    v:legacy, e:APX_EVEX_INT
SUB{ND}{NF}     ; Bv,Ev,Iz      ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0x81 /5 iz        ; s:APX_F, t:ARITH, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
SUB{ND}{NF}     ; Bv,Ev,Iz      ;        ; evex m:4 l:0 nd:1 nf:1 p:1 0x81 /5 iz        ; s:APX_F, t:ARITH, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
SUB{ND}{NF}     ; Bv,Ev,Ib      ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0x83 /5 ib        ; s:APX_F, t:ARITH, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
SUB{ND}{NF}     ; Bv,Ev,Ib      ;        ; evex m:4 l:0 nd:1 nf:1 p:1 0x83 /5 ib        ; s:APX_F, t:ARITH, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE


# AND
AND             ; Eb,Gb         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0x20 /r           ; s:APX_F, t:LOGIC, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:LOGIC
AND             ; Ev,Gv         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0x21 /r           ; s:APX_F, t:LOGIC, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:LOGIC, a:SCALABLE
AND             ; Ev,Gv         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:1 0x21 /r           ; s:APX_F, t:LOGIC, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:LOGIC, a:SCALABLE
AND             ; Gb,Eb         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0x22 /r           ; s:APX_F, t:LOGIC, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:LOGIC
AND             ; Gv,Ev         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0x23 /r           ; s:APX_F, t:LOGIC, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:LOGIC, a:SCALABLE
AND             ; Gv,Ev         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:1 0x23 /r           ; s:APX_F, t:LOGIC, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:LOGIC, a:SCALABLE
AND             ; Eb,Ib         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0x80 /4 ib        ; s:APX_F, t:LOGIC, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:LOGIC
AND             ; Ev,Iz         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0x81 /4 iz        ; s:APX_F, t:LOGIC, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:LOGIC, a:SCALABLE
AND             ; Ev,Iz         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:1 0x81 /4 iz        ; s:APX_F, t:LOGIC, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:LOGIC, a:SCALABLE
AND             ; Ev,Ib         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0x83 /4 ib        ; s:APX_F, t:LOGIC, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:LOGIC, a:SCALABLE
AND             ; Ev,Ib         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:1 0x83 /4 ib        ; s:APX_F, t:LOGIC, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:LOGIC, a:SCALABLE
AND{NF}         ; Eb,Gb         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0x20 /r           ; s:APX_F, t:LOGIC, w:RW|R,     v:legacy, e:APX_EVEX_INT
AND{NF}         ; Ev,Gv         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0x21 /r           ; s:APX_F, t:LOGIC, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
AND{NF}         ; Ev,Gv         ;        ; evex m:4 l:0 nd:0 nf:1 p:1 0x21 /r           ; s:APX_F, t:LOGIC, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
AND{NF}         ; Gb,Eb         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0x22 /r           ; s:APX_F, t:LOGIC, w:RW|R,     v:legacy, e:APX_EVEX_INT
AND{NF}         ; Gv,Ev         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0x23 /r           ; s:APX_F, t:LOGIC, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
AND{NF}         ; Gv,Ev         ;        ; evex m:4 l:0 nd:0 nf:1 p:1 0x23 /r           ; s:APX_F, t:LOGIC, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
AND{NF}         ; Eb,Ib         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0x80 /4 ib        ; s:APX_F, t:LOGIC, w:RW|R,     v:legacy, e:APX_EVEX_INT
AND{NF}         ; Ev,Iz         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0x81 /4 iz        ; s:APX_F, t:LOGIC, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
AND{NF}         ; Ev,Iz         ;        ; evex m:4 l:0 nd:0 nf:1 p:1 0x81 /4 iz        ; s:APX_F, t:LOGIC, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
AND{NF}         ; Ev,Ib         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0x83 /4 ib        ; s:APX_F, t:LOGIC, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
AND{NF}         ; Ev,Ib         ;        ; evex m:4 l:0 nd:0 nf:1 p:1 0x83 /4 ib        ; s:APX_F, t:LOGIC, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
AND{ND}         ; Bb,Eb,Gb      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0x20 /r           ; s:APX_F, t:LOGIC, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:LOGIC
AND{ND}         ; Bv,Ev,Gv      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0x21 /r           ; s:APX_F, t:LOGIC, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:LOGIC, a:SCALABLE
AND{ND}         ; Bv,Ev,Gv      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:1 0x21 /r           ; s:APX_F, t:LOGIC, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:LOGIC, a:SCALABLE
AND{ND}         ; Bb,Gb,Eb      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0x22 /r           ; s:APX_F, t:LOGIC, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:LOGIC
AND{ND}         ; Bv,Gv,Ev      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0x23 /r           ; s:APX_F, t:LOGIC, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:LOGIC, a:SCALABLE
AND{ND}         ; Bv,Gv,Ev      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:1 0x23 /r           ; s:APX_F, t:LOGIC, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:LOGIC, a:SCALABLE
AND{ND}         ; Bb,Eb,Ib      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0x80 /4 ib        ; s:APX_F, t:LOGIC, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:LOGIC
AND{ND}         ; Bv,Ev,Iz      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0x81 /4 iz        ; s:APX_F, t:LOGIC, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:LOGIC, a:SCALABLE
AND{ND}         ; Bv,Ev,Iz      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:1 0x81 /4 iz        ; s:APX_F, t:LOGIC, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:LOGIC, a:SCALABLE
AND{ND}         ; Bv,Ev,Ib      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0x83 /4 ib        ; s:APX_F, t:LOGIC, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:LOGIC, a:SCALABLE
AND{ND}         ; Bv,Ev,Ib      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:1 0x83 /4 ib        ; s:APX_F, t:LOGIC, w:W|R|R|W,  v:legacy, e:APX_EVEX_INT, f:LOGIC, a:SCALABLE
